fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mckinleyd,results_clinen,results_absentee_mckinleyd,results_absentee_clinen,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
54001,Barbour,6486,0,13,13,Merged into voters' home precincts and released with cumulative results,97,6659,97%,97% reported,edison,2,unknown,2032,4917,1569,0,0,2020-11-16T15:47:50Z,51.61887,R+52,McKinley +52,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54009,Brooke,10260,0,21,22,Merged into voters' home precincts and released with cumulative results,100,10227,>98%,>98% reported,edison,6,some,3091,7132,3128,0,0,2020-11-16T15:47:50Z,39.02534,R+39,McKinley +39,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54017,Doddridge,2975,0,11,12,Merged into voters' home precincts and released with cumulative results,95,3124,95%,95% reported,edison,2,unknown,1440,2492,483,0,0,2020-11-16T15:47:51Z,67.52941,R+68,McKinley +68,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54021,Gilmer,2521,0,9,10,Other,90,2797,90%,90% reported,edison,2,unknown,1074,1844,677,0,0,2020-11-16T15:47:51Z,46.29115,R+46,McKinley +46,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54023,Grant,5065,0,14,15,Merged into voters' home precincts and released with cumulative results,93,5452,93%,93% reported,edison,2,unknown,2250,4403,662,0,0,2020-11-16T15:47:52Z,73.85982,R+74,McKinley +74,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54029,Hancock,13322,0,23,24,Merged into voters' home precincts and released with cumulative results,95,13972,95%,95% reported,edison,4,all,3621,9358,3964,0,0,2020-11-16T15:47:52Z,40.48942,R+40,McKinley +40,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54033,Harrison,29462,0,64,67,Other,96,30756,96%,96% reported,edison,4,all,6885,20540,8922,0,0,2020-11-17T17:50:48Z,39.43385,R+39,McKinley +39,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54049,Marion,24898,14460,69,70,Merged into voters' home precincts and released with cumulative results,98,25332,98%,98% reported,edison,4,all,7667,16161,8737,8525,5935,2020-11-16T15:47:53Z,29.81766,R+30,McKinley +30,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54051,Marshall,13695,0,35,37,None,94,14538,94%,94% reported,edison,2,unknown,4835,10098,3597,0,0,2020-11-16T15:47:54Z,47.46988,R+47,McKinley +47,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54057,Mineral,12485,0,26,26,None,98,12720,98%,98% reported,edison,2,unknown,3014,9876,2609,0,0,2020-11-16T15:47:54Z,58.20585,R+58,McKinley +58,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54061,Monongalia,40851,29449,41,41,Released as a separate subtotal as first report of the night,100,39653,>98%,>98% reported,edison,4,all,14120,21611,19240,14266,15183,2020-11-16T15:47:56Z,5.80402,R+6,McKinley +6,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
54069,Ohio,19614,0,39,39,Released separately at end; NOT included in cumulative results,99,19732,>98%,>98% reported,edison,2,unknown,6715,13157,6457,0,0,2020-11-16T15:47:56Z,34.15927,R+34,McKinley +34,republican,,,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261343,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,541,559,97% reporting,97%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,37.95816,99201,R+38,McKinley +38,republican,"","",6,0,1604455258241
