fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_carrollb,results_la_rivag,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_carrollb,results_absentee_la_rivag,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
17001,Adams,33434,19084,69,74,Released as a separate subtotal at the end of tabulation,100,32202,>98%,>98% reported,edison,2,some,,8885,,,8569,24131,473,97,77,64,23,6454,12260,221,53,39,46,11,2020-11-16T15:47:45Z,46.54543,R+47,Trump +47,republican,46.54543,32310,46.8,30607,35.18,illinois,2020-11-19T00:43:06.695382Z
17003,Alexander,2625,0,11,11,None,87,3010,87%,87% reported,edison,6,unknown,,1150,,,1114,1486,7,5,7,0,6,0,0,0,0,0,0,0,2020-11-16T17:45:34Z,14.17143,R+14,Trump +14,republican,14.17143,2820,8.3,3501,-13.65,illinois,2020-11-19T00:43:06.695382Z
17005,Bond,8109,0,24,25,Released as a precinct at the end of tabulation,100,1160,>98%,>98% reported,edison,6,unknown,,2398,,,2275,5612,152,40,0,20,10,0,0,0,0,0,0,0,2020-11-16T15:47:46Z,41.15181,R+41,Trump +41,republican,41.15181,7570,37.3,7336,14.65,illinois,2020-11-19T00:43:06.695382Z
17007,Boone,24672,0,37,38,Other,100,22910,>98%,>98% reported,edison,4,some,,4522,,,10372,13762,350,141,0,26,21,0,0,0,0,0,0,0,2020-11-16T15:47:46Z,13.74027,R+14,Trump +14,republican,13.74027,23001,14.3,21365,5.68,illinois,2020-11-19T00:43:06.695382Z
17009,Brown,2523,0,13,14,None,97,2604,97%,97% reported,edison,4,some,,594,,,485,1930,47,10,4,39,8,0,0,0,0,0,0,0,2020-11-16T15:47:47Z,57.27309,R+57,Trump +57,republican,57.27309,2379,55.5,2364,30.71,illinois,2020-11-19T00:43:06.695382Z
17011,Bureau,17182,7409,47,50,Merged into voters' home precincts and released with cumulative results,95,18093,95%,95% reported,edison,4,unknown,,3786,,,6545,10296,202,90,0,37,12,3932,3375,52,33,0,12,5,2020-11-16T15:47:48Z,21.83099,R+22,Trump +22,republican,21.83099,16571,19.6,16631,0.18,illinois,2020-11-19T00:43:06.695382Z
17013,Calhoun,2767,0,7,7,Other,98,2827,98%,98% reported,edison,4,all,,710,,,674,2043,36,8,1,4,1,0,0,0,0,0,0,0,2020-11-16T15:47:49Z,49.47597,R+49,Trump +49,republican,49.47597,2571,38.2,2576,13.98,illinois,2020-11-19T00:43:06.695382Z
17015,Carroll,8006,0,21,22,Merged into voters' home precincts and released with cumulative results,100,1062,>98%,>98% reported,edison,6,unknown,,1638,,,2737,5098,111,39,0,11,10,0,0,0,0,0,0,0,2020-11-16T15:47:49Z,29.49038,R+29,Trump +29,republican,29.49038,7445,26.7,7386,-1.49,illinois,2020-11-19T00:43:06.695382Z
17017,Cass,5325,0,20,21,Other,95,5603,95%,95% reported,edison,4,some,,1222,,,1615,3624,50,17,9,6,4,0,0,0,0,0,0,0,2020-11-16T15:47:50Z,37.7277,R+38,Trump +38,republican,37.7277,5124,31.1,4862,13.45,illinois,2020-11-19T00:43:06.695382Z
17019,Champaign,94911,65966,110,118,None,94,101437,94%,94% reported,edison,4,unknown,,23782,,,56596,35122,1496,665,516,284,232,44428,19687,813,424,286,169,159,2020-11-16T15:47:51Z,22.62541,D+23,Biden +23,democrat,-22.62541,91628,-18.3,78359,-7.04,illinois,2020-11-19T00:43:06.695382Z
