fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_westk,results_jorgensenj,results_collinsp,results_hawkinsh,results_carrollb,results_blankenshipd,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_westk,results_absentee_jorgensenj,results_absentee_collinsp,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
28001,Adams,12268,0,19,19,None,100,12268,>98%,>98% reported,edison,6,all,,1098,,,5222,6914,47,42,16,10,8,7,2,0,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:25Z,13.79198,D+14,Biden +14,democrat,-13.79198,13836,-13.6,15447,-17.92,mississippi,2020-11-19T00:42:46.792655Z
28003,Alcorn,15811,0,17,17,Merged into voters' home precincts and released with cumulative results,100,15811,>98%,>98% reported,edison,10,unknown,,1390,,,12818,2782,30,118,12,9,7,11,4,20,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:26Z,63.4748,R+63,Trump +63,republican,63.4748,14783,61.8,14830,51.25,mississippi,2020-11-19T00:42:46.792655Z
28005,Amite,7207,0,21,21,Merged into voters' home precincts and released with cumulative results,100,7207,>98%,>98% reported,edison,10,all,,466,,,4503,2620,17,21,7,10,10,5,3,11,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:38Z,26.12738,R+26,Trump +26,republican,26.12738,7050,22.6,7706,15.21,mississippi,2020-11-19T00:42:46.792655Z
28007,Attala,8832,0,20,20,Merged into voters' home precincts and released with cumulative results,100,8832,>98%,>98% reported,edison,10,unknown,,476,,,5178,3542,22,36,7,11,8,15,4,9,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:42Z,18.52355,R+19,Trump +19,republican,18.52355,8256,20,9092,13.19,mississippi,2020-11-19T00:42:46.792655Z
28009,Benton,4292,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4292,>98%,>98% reported,edison,10,unknown,,442,,,2570,1679,6,12,5,5,6,3,3,3,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:42Z,20.75955,R+21,Trump +21,republican,20.75955,4022,13.2,4116,-0.24,mississippi,2020-11-19T00:42:46.792655Z
28011,Bolivar,13755,0,28,28,None,100,13755,>98%,>98% reported,edison,10,unknown,,410,,,4671,8904,62,48,10,19,20,7,3,11,0,0,0,0,0,0,0,0,0,0,2020-11-16T17:32:58Z,30.77426,D+31,Biden +31,democrat,-30.77426,13824,-32.2,15428,-38.12,mississippi,2020-11-19T00:42:46.792655Z
28013,Calhoun,6595,0,10,10,Merged into voters' home precincts and released with cumulative results,100,6595,>98%,>98% reported,edison,10,unknown,,532,,,4625,1902,17,15,10,4,2,9,6,5,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:42Z,41.28886,R+41,Trump +41,republican,41.28886,6396,38.8,7068,25.83,mississippi,2020-11-19T00:42:46.792655Z
28015,Carroll,5705,0,14,14,None,97,5874,97%,97% reported,edison,4,unknown,,342,,,3924,1729,12,14,3,7,2,8,2,4,0,0,0,0,0,0,0,0,0,0,2020-11-18T19:22:36Z,38.47502,R+38,Trump +38,republican,38.47502,5528,38.3,5992,32.59,mississippi,2020-11-19T00:42:46.792655Z
28017,Chickasaw,8148,0,15,15,None,100,8160,>98%,>98% reported,edison,10,unknown,,476,,,4175,3810,37,75,14,9,8,11,2,7,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:43Z,4.47963,R+4,Trump +4,republican,4.47963,7890,6.1,8503,-4.52,mississippi,2020-11-19T00:42:46.792655Z
28019,Choctaw,4225,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4225,>98%,>98% reported,edison,10,unknown,,246,,,3001,1185,6,16,4,2,3,5,1,2,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:44Z,42.98225,R+43,Trump +43,republican,42.98225,4065,38.6,4273,32.39,mississippi,2020-11-19T00:42:46.792655Z
28021,Claiborne,4453,0,11,11,Released as a separate subtotal at the end of tabulation,99,4489,>98%,>98% reported,edison,10,unknown,,776,,,603,3772,23,11,7,10,10,7,6,4,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:47:44Z,71.16551,D+71,Biden +71,democrat,-71.16551,4272,-74.2,5484,-76.82,mississippi,2020-11-19T00:42:46.792655Z
28023,Clarke,8347,1240,23,23,None,100,8348,>98%,>98% reported,edison,10,some,,708,,,5417,2838,20,28,6,14,5,7,3,9,734,498,2,4,0,2,0,0,0,0,2020-11-16T17:34:58Z,30.89733,R+31,Trump +31,republican,30.89733,7791,32.8,8253,23.48,mississippi,2020-11-19T00:42:46.792655Z
