fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
33001,Belknap,38453,2500,15,16,,,,,"",edison,,,,,,,16894,20899,598,62,1020,1423,35,22,2020-11-16T15:48:13Z,10.41531,R+10,Trump +10,republican,10.41531,35045,16.5,33887,4.96,new-hampshire,2020-11-19T00:43:33.772864Z
33003,Carroll,33272,0,18,18,,,,,"",edison,,,,,,,16649,16150,422,51,0,0,0,0,2020-11-16T15:48:09Z,1.49976,D+1.5,Biden +1.5,democrat,-1.49976,29616,5.6,28602,0.8,new-hampshire,2020-11-19T00:43:33.772864Z
33005,Cheshire,44229,0,26,27,,,,,"",edison,,,,,,,25522,17898,800,9,0,0,0,0,2020-11-16T15:48:03Z,17.23756,D+17,Biden +17,democrat,-17.23756,41895,-12.4,41360,-24.72,new-hampshire,2020-11-19T00:43:33.772864Z
33007,Coos,16528,0,26,26,,,,,"",edison,,,,,,,7640,8617,258,13,0,0,0,0,2020-11-16T15:48:11Z,5.91118,R+6,Trump +6,republican,5.91118,15627,8.9,15699,-17.54,new-hampshire,2020-11-19T00:43:33.772864Z
33009,Grafton,53989,235,40,41,,,,,"",edison,,,,,,,33180,19905,881,23,89,143,3,0,2020-11-16T15:48:01Z,24.58834,D+25,Biden +25,democrat,-24.58834,51191,-18.6,49014,-23.7,new-hampshire,2020-11-19T00:43:33.772864Z
33011,Hillsborough,231040,273,47,50,,,,,"",edison,,,,,,,122344,104625,3972,99,153,116,4,0,2020-11-16T15:48:03Z,7.66923,D+8,Biden +8,democrat,-7.66923,214157,0.2,205667,-1.12,new-hampshire,2020-11-19T00:43:33.772864Z
33013,Merrimack,89887,0,37,38,,,,,"",edison,,,,,,,48533,39711,1561,82,0,0,0,0,2020-11-16T15:48:01Z,9.81454,D+10,Biden +10,democrat,-9.81454,83648,-3,80514,-12.71,new-hampshire,2020-11-19T00:43:33.772864Z
33015,Rockingham,198943,3221,40,41,,,,,"",edison,,,,,,,100064,95858,2876,145,1360,1786,62,13,2020-11-16T15:48:12Z,2.11417,D+2,Biden +2,democrat,-2.11417,181434,5.8,170423,4.56,new-hampshire,2020-11-19T00:43:33.772864Z
33017,Strafford,73729,2946,27,27,,,,,"",edison,,,,,,,41721,30489,1386,133,1927,971,48,0,2020-11-16T15:48:17Z,15.23417,D+15,Biden +15,democrat,-15.23417,69000,-8.4,63969,-14.53,new-hampshire,2020-11-19T00:43:33.772864Z
33019,Sullivan,24383,0,17,17,,,,,"",edison,,,,,,,12390,11508,482,3,0,0,0,0,2020-11-16T15:48:15Z,3.61727,D+4,Biden +4,democrat,-3.61727,22683,2.6,21837,-13.27,new-hampshire,2020-11-19T00:43:33.772864Z
