fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
39001,Adams,12145,0,21,21,Merged into voters' home precincts and released with cumulative results,98,12400,98%,98% reported,edison,2,unknown,,5645,,,9870,2156,92,27,0,0,0,0,0,0,2020-11-18T18:55:49Z,63.51585,R+64,Trump +64,republican,63.51585,11412,55.5,11118,25.98,ohio,2020-11-19T00:43:36.073300Z
39003,Allen,46362,0,78,88,Merged into voters' home precincts and released with cumulative results,95,49000,95%,95% reported,edison,2,unknown,,21147,,,32052,13611,562,137,,0,0,0,0,,2020-11-16T15:48:05Z,39.77611,R+40,Trump +40,republican,39.77611,46234,37.2,48341,23.97,ohio,2020-11-19T00:43:36.073300Z
39005,Ashland,25883,16298,39,39,Released as a separate subtotal as first report of the night,100,25883,>98%,>98% reported,edison,6,all,,12763,,,19002,6448,330,103,0,10986,5093,157,62,0,2020-11-16T15:48:06Z,48.50288,R+49,Trump +49,republican,48.50288,24737,47.5,24340,29.74,ohio,2020-11-19T00:43:36.073300Z
39007,Ashtabula,44237,23058,104,104,Released as a separate subtotal as first report of the night,100,43253,>98%,>98% reported,edison,6,all,,17976,,,26890,16497,559,196,95,11458,11246,222,95,37,2020-11-18T19:17:02Z,23.49391,R+23,Trump +23,republican,23.49391,41180,18.8,43200,-12.74,ohio,2020-11-19T00:43:36.073300Z
39009,Athens,26120,15706,56,56,Merged into voters' home precincts and released with cumulative results,100,24809,>98%,>98% reported,edison,6,unknown,,15184,,,10862,14772,299,115,72,4256,11202,144,65,39,2020-11-18T19:09:38Z,14.96937,D+15,Biden +15,democrat,-14.96937,29709,-16.9,27728,-35.21,ohio,2020-11-19T00:43:36.073300Z
39011,Auglaize,25396,0,39,39,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,25396,>98%,>98% reported,edison,6,all,,9630,,,20451,4583,250,64,48,0,0,0,0,0,2020-11-16T15:48:10Z,62.48228,R+62,Trump +62,republican,62.48228,23794,61.7,23447,48.36,ohio,2020-11-19T00:43:36.073300Z
39013,Belmont,33141,0,70,70,Merged into voters' home precincts and released with cumulative results,100,33243,>98%,>98% reported,edison,4,some,,23979,,,23560,9138,285,98,60,0,0,0,0,0,2020-11-18T23:16:34Z,43.51709,R+44,Trump +44,republican,43.51709,31331,39.3,31688,8.21,ohio,2020-11-19T00:43:36.073300Z
39015,Brown,21139,0,29,32,Released as a separate subtotal as first report of the night,100,20326,>98%,>98% reported,edison,2,unknown,,7776,,,16480,4380,182,54,43,0,0,0,0,0,2020-11-18T23:20:11Z,57.24017,R+57,Trump +57,republican,57.24017,19682,51.9,19392,24.8,ohio,2020-11-19T00:43:36.073300Z
39017,Butler,186675,0,282,282,Merged into voters' home precincts and released with cumulative results,94,198176,94%,94% reported,edison,2,some,,78506,,,114392,69613,2177,493,0,0,0,0,0,0,2020-11-18T19:00:08Z,23.98768,R+24,Trump +24,republican,23.98768,174994,27.6,170530,25.09,ohio,2020-11-19T00:43:36.073300Z
39019,Carroll,14233,7672,22,23,Released as a separate subtotal as first report of the night,100,13748,>98%,>98% reported,edison,2,all,,5890,,,10745,3251,156,56,25,5216,2346,67,32,11,2020-11-18T22:23:49Z,52.65229,R+53,Trump +53,republican,52.65229,13148,46.4,13284,13.34,ohio,2020-11-19T00:43:36.073300Z
