fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_hollingswortht,results_ruffa,results_millist,results_absentee_hollingswortht,results_absentee_ruffa,results_absentee_millist,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
18013,Brown,8865,0,12,12,Merged into voters' home precincts and released with cumulative results,100,8774,>98%,>98% reported,edison,6,all,5280,5643,2831,391,0,0,0,2020-11-18T21:10:40Z,31.72025,R+32,Hollingsworth +32,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18019,Clark,56817,27937,72,72,None,100,56801,>98%,>98% reported,edison,6,all,16556,34130,20246,2441,14209,12753,975,2020-11-16T15:48:20Z,24.43635,R+24,Hollingsworth +24,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18025,Crawford,4013,1434,14,15,Merged into voters' home precincts and released with cumulative results,92,4356,92%,92% reported,edison,2,some,1953,2701,1154,158,786,606,42,2020-11-16T15:48:21Z,38.54971,R+39,Hollingsworth +39,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18043,Floyd,41360,0,60,60,Released separately AFTER election night,99,41707,>98%,>98% reported,edison,2,some,12876,24216,15680,1464,0,0,0,2020-11-16T15:48:21Z,20.6383,R+21,Hollingsworth +21,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18061,Harrison,20026,8213,38,39,Merged into voters' home precincts and released with cumulative results,97,20703,97%,97% reported,edison,2,some,7107,14532,4879,615,5157,2870,186,2020-11-16T15:48:22Z,48.20234,R+48,Hollingsworth +48,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18071,Jackson,18943,0,30,30,Merged into voters' home precincts and released with cumulative results,96,19638,96%,96% reported,edison,2,none,7797,14149,4038,756,0,0,0,2020-11-16T15:48:22Z,53.37592,R+53,Hollingsworth +53,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18081,Johnson,76480,55693,135,135,Merged into voters' home precincts and released with cumulative results,100,74176,>98%,>98% reported,edison,2,unknown,50885,51843,21466,3171,37474,16255,1964,2020-11-16T15:48:25Z,39.71888,R+40,Hollingsworth +40,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18093,Lawrence,20605,14467,39,40,Released as a separate subtotal as first report of the night,96,21366,96%,96% reported,edison,2,some,13809,15293,4415,897,10408,3553,506,2020-11-16T15:48:26Z,52.79301,R+53,Hollingsworth +53,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18105,Monroe,62381,0,79,82,Merged into voters' home precincts AFTER election night,96,64652,96%,96% reported,edison,2,unknown,56585,22484,37455,2442,0,0,0,2020-11-16T15:48:23Z,23.99929,D+24,Ruff +24,democrat,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
18109,Morgan,23690,18641,36,36,Merged into voters' home precincts and released with cumulative results,100,23686,>98%,>98% reported,edison,6,all,24375,18166,4455,1069,14057,3854,730,2020-11-16T18:04:45Z,57.87674,R+58,Hollingsworth +58,republican,IN-G-H-9-2020-11-03,in-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-rep,9,District 9,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",359066,129521,7,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,573,584,98% reporting,98%,99,364000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T21:10:42Z,TRUE,27.708,99490,R+28,Hollingsworth +28,republican,"","",0,0,1604462782548
