fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kellyt,results_eliasona,results_write_ins,results_absentee_kellyt,results_absentee_eliasona,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
28003,Alcorn,15226,0,17,17,Merged into voters' home precincts and released with cumulative results,100,15226,>98%,>98% reported,edison,10,unknown,1390,12780,2441,5,0,0,0,2020-11-16T15:48:20Z,67.90359,R+68,Kelly +68,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28009,Benton,4024,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4024,>98%,>98% reported,edison,10,unknown,442,2567,1454,3,0,0,0,2020-11-16T15:48:20Z,27.65905,R+28,Kelly +28,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28013,Calhoun,6395,0,10,10,Merged into voters' home precincts and released with cumulative results,100,6395,>98%,>98% reported,edison,10,unknown,532,4764,1628,3,0,0,0,2020-11-16T15:48:21Z,49.03831,R+49,Kelly +49,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28017,Chickasaw,7803,0,15,15,None,100,7803,>98%,>98% reported,edison,10,unknown,476,4548,3253,2,0,0,0,2020-11-16T15:48:21Z,16.59618,R+17,Kelly +17,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28019,Choctaw,4133,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4133,>98%,>98% reported,edison,10,unknown,246,3023,1109,1,0,0,0,2020-11-16T15:48:22Z,46.31019,R+46,Kelly +46,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28025,Clay,9784,1934,14,14,Merged into voters' home precincts and released with cumulative results,100,9784,>98%,>98% reported,edison,10,unknown,652,4714,5055,15,936,992,6,2020-11-16T15:48:22Z,3.48528,D+3,Eliason +3,democrat,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28033,DeSoto,75177,0,41,41,Merged into voters' home precincts and released with cumulative results,100,75177,>98%,>98% reported,edison,10,unknown,1400,47838,27255,84,0,0,0,2020-11-17T19:04:45Z,27.37938,R+27,Kelly +27,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28057,Itawamba,10569,0,28,28,Merged into voters' home precincts and released with cumulative results,100,10569,>98%,>98% reported,edison,10,unknown,362,9514,1048,7,0,0,0,2020-11-16T17:41:02Z,80.10219,R+80,Kelly +80,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28071,Lafayette,23082,0,18,18,Merged into voters' home precincts and released with cumulative results,100,23082,>98%,>98% reported,edison,10,some,2116,13941,9141,0,0,0,0,2020-11-16T15:48:24Z,20.79543,R+21,Kelly +21,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28081,Lee,35689,0,36,36,Merged into voters' home precincts and released with cumulative results,99,36204,>98%,>98% reported,edison,4,unknown,1452,25028,10620,41,0,0,0,2020-11-18T23:49:30Z,40.37098,R+40,Kelly +40,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
