fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_greenm,results_sreepadak,results_brownr,results_vieiras,results_absentee_greenm,results_absentee_sreepadak,results_absentee_brownr,results_absentee_vieiras,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
47005,Benton,6788,0,6,6,Merged into voters' home precincts and released with cumulative results,93,7292,93%,93% reported,edison,2,some,4922,5351,1260,135,42,0,0,0,0,2020-11-16T15:48:03Z,60.26812,R+60,Green +60,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47023,Chester,7270,0,11,11,Released as a separate subtotal as first report of the night,97,7505,97%,97% reported,edison,2,unknown,4605,5906,1240,85,39,0,0,0,0,2020-11-16T15:47:53Z,64.18157,R+64,Green +64,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47039,Decatur,4872,3505,12,13,"Released as first report, then NOT included in cumulative results",92,5319,92%,92% reported,edison,2,unknown,3109,3995,784,73,20,2819,626,51,9,2020-11-16T15:47:55Z,65.90722,R+66,Green +66,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47055,Giles,12006,0,13,14,"As a subtotal in the FIRST cumulative report, along with regular precincts",93,12908,93%,93% reported,edison,2,unknown,7703,9054,2652,236,64,0,0,0,0,2020-11-16T15:48:04Z,53.32334,R+53,Green +53,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47069,Hardeman,8942,0,11,13,None,83,10742,83%,83% reported,edison,2,unknown,5839,5302,3385,203,52,0,0,0,0,2020-11-16T15:47:56Z,21.43816,R+21,Green +21,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47071,Hardin,10834,0,13,14,"Released as first report, then NOT included in cumulative results",94,11541,94%,94% reported,edison,2,unknown,6210,9120,1532,147,35,0,0,0,0,2020-11-16T15:47:57Z,70.03877,R+70,Green +70,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47077,Henderson,11432,0,14,14,Released as a separate subtotal as first report of the night,97,11830,97%,97% reported,edison,2,unknown,7043,9457,1746,184,45,0,0,0,0,2020-11-16T15:47:57Z,67.45101,R+67,Green +67,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47081,Hickman,9329,0,14,14,Released as a separate subtotal as first report of the night,100,9017,>98%,>98% reported,edison,2,unknown,5573,7193,1888,206,42,0,0,0,0,2020-11-16T15:47:58Z,56.86569,R+57,Green +57,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47083,Houston,3515,0,7,7,Merged into voters' home precincts and released with cumulative results,96,3675,96%,96% reported,edison,2,unknown,2292,2697,747,57,14,0,0,0,0,2020-11-16T15:48:04Z,55.47653,R+55,Green +55,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
47085,Humphreys,7779,0,8,8,Released as a separate subtotal as first report of the night,94,8284,94%,94% reported,edison,2,unknown,5279,5855,1715,167,42,0,0,0,0,2020-11-16T15:48:05Z,53.22021,R+53,Green +53,republican,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349952,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:36Z,TRUE,42.54298,148880,R+43,Green +43,republican,"","",0,0,1604453063452
