fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gohmertl,results_gilberth,results_absentee_gohmertl,results_absentee_gilberth,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48005,Angelina,34385,28467,38,43,Released as a precinct as first report of the night,89,38535,89%,89% reported,edison,2,unknown,28954,25259,9126,20803,7664,2020-11-19T21:51:03Z,46.91871,R+47,Gohmert +47,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48183,Gregg,47456,42237,20,22,Released as a precinct as first report of the night,89,53527,89%,89% reported,edison,4,all,51605,32692,14764,29171,13066,2020-11-19T19:23:50Z,37.77815,R+38,Gohmert +38,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48203,Harrison,29338,25258,23,27,Released as a precinct as first report of the night,86,34088,86%,86% reported,edison,2,some,29321,21577,7761,18489,6769,2020-11-19T21:51:03Z,47.09251,R+47,Gohmert +47,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48347,Nacogdoches,26058,21783,23,26,Released as a precinct as first report of the night,90,28997,90%,90% reported,edison,2,some,20976,17329,8729,14096,7687,2020-11-19T21:51:09Z,33.0033,R+33,Gohmert +33,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48365,Panola,11232,7929,17,20,Released as a precinct as first report of the night,84,13433,84%,84% reported,edison,2,unknown,9139,9211,2021,6434,1495,2020-11-19T21:51:04Z,64.01353,R+64,Gohmert +64,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48401,Rusk,21260,16097,20,23,Released as a precinct as first report of the night,87,24502,87%,87% reported,edison,4,some,18369,16591,4669,12429,3668,2020-11-19T21:50:59Z,56.07714,R+56,Gohmert +56,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48403,Sabine,5382,4222,8,9,Released as a precinct as first report of the night,90,5996,90%,90% reported,edison,2,some,4544,4701,681,3678,544,2020-11-19T21:50:59Z,74.69342,R+75,Gohmert +75,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48405,San Augustine,3891,2849,10,12,Released as a precinct as first report of the night,85,4603,85%,85% reported,edison,2,unknown,3105,2942,949,2088,761,2020-11-19T21:50:58Z,51.22077,R+51,Gohmert +51,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48419,Shelby,9933,6592,12,15,Released as a precinct as first report of the night,85,11714,85%,85% reported,edison,2,unknown,7145,7942,1991,5169,1423,2020-11-19T21:50:56Z,59.91141,R+60,Gohmert +60,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
48423,Smith,99950,86726,68,74,Released as a precinct as first report of the night,100,99141,>98%,>98% reported,edison,6,all,90067,70001,29949,60807,25919,2020-11-19T21:50:54Z,40.07204,R+40,Gohmert +40,republican,TX-G-H-1-2020-11-03,tx-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",302742,253894,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,282,88% reporting,88%,89,339000,edison,89%,89% reported,edison,republican,FALSE,2020-11-19T21:51:16Z,TRUE,45.15726,136710,R+45,Gohmert +45,republican,"","",1,0,1604457199479
