fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_cheneyl,results_grey_bulll,results_brubakerr,results_haggitj,results_absentee_cheneyl,results_absentee_grey_bulll,results_absentee_brubakerr,results_absentee_haggitj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
56001,Albany,18198,0,14,14,Released as a separate subtotal as first report of the night,100,18198,>98%,>98% reported,edison,10,unknown,7554,8629,8440,737,392,0,0,0,0,2020-11-16T15:47:45Z,1.03858,R+1.0,Cheney +1.0,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56003,Big Horn,5634,0,13,13,Merged into voters' home precincts and released with cumulative results,100,5634,>98%,>98% reported,edison,10,unknown,1650,4587,724,143,180,0,0,0,0,2020-11-16T15:47:46Z,68.56585,R+69,Cheney +69,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56005,Campbell,18874,18872,37,37,Merged into voters' home precincts and released with cumulative results,100,18874,>98%,>98% reported,edison,10,unknown,8522,15732,1713,735,694,15730,1713,735,694,2020-11-16T15:47:46Z,74.27678,R+74,Cheney +74,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56007,Carbon,6498,2797,19,19,Merged into voters' home precincts and released with cumulative results,100,6498,>98%,>98% reported,edison,10,unknown,2373,4644,1337,313,204,1741,879,110,67,2020-11-16T15:47:47Z,50.89258,R+51,Cheney +51,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56009,Converse,6750,0,19,19,Merged into voters' home precincts and released with cumulative results,100,6750,>98%,>98% reported,edison,10,unknown,2742,5418,785,254,293,0,0,0,0,2020-11-16T15:47:48Z,68.63704,R+69,Cheney +69,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56011,Crook,4037,0,17,17,Merged into voters' home precincts and released with cumulative results,100,4037,>98%,>98% reported,edison,10,some,1090,3442,337,117,141,0,0,0,0,2020-11-16T15:47:49Z,76.91355,R+77,Cheney +77,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56013,Fremont,17778,0,33,33,Merged into voters' home precincts and released with cumulative results,100,17778,>98%,>98% reported,edison,10,unknown,5466,11505,5227,711,335,0,0,0,0,2020-11-16T15:47:49Z,35.31331,R+35,Cheney +35,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56015,Goshen,6128,0,25,25,Merged into voters' home precincts and released with cumulative results,100,6128,>98%,>98% reported,edison,10,unknown,1994,4722,1037,159,210,0,0,0,0,2020-11-16T15:47:49Z,60.13381,R+60,Cheney +60,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56017,Hot Springs,2520,0,4,4,Merged into voters' home precincts and released with cumulative results,100,2520,>98%,>98% reported,edison,10,unknown,862,1915,424,105,76,0,0,0,0,2020-11-16T15:47:50Z,59.16667,R+59,Cheney +59,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
56019,Johnson,4800,0,16,16,Merged into voters' home precincts and released with cumulative results,100,4800,>98%,>98% reported,edison,10,some,1765,3715,792,186,107,0,0,0,0,2020-11-16T15:47:50Z,60.89583,R+61,Cheney +61,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270367,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,483,483,100% reporting,100%,99,270367,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:24Z,TRUE,44.07195,119156,R+44,Cheney +44,republican,"","",0,0,1604455373884
