fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13001,Appling,8341,6237,9,9,None,100,8341,>98%,>98% reported,edison,6,unknown,,4621,,,1779,6526,36,,1442,4764,31,,2020-11-16T15:48:16Z,56.91164,R+57,Trump +57,republican,56.91164,7012,57.9,7086,49.04,georgia,2020-11-20T00:43:08.139660Z
13003,Atkinson,3155,2174,4,4,None,100,3155,>98%,>98% reported,edison,6,unknown,,2338,,,825,2300,30,0,575,1583,16,0,2020-11-16T15:48:17Z,46.75119,R+47,Trump +47,republican,46.75119,2610,45.2,2902,34.73,georgia,2020-11-20T00:43:08.139660Z
13005,Bacon,4668,4087,1,1,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4668,>98%,>98% reported,edison,10,unknown,,3600,,,625,4018,25,0,484,3586,17,0,2020-11-16T15:48:18Z,72.68638,R+73,Trump +73,republican,72.68638,4029,68.4,3931,58.56,georgia,2020-11-20T00:43:08.139660Z
13007,Baker,1555,1111,5,5,"Released as first report, then NOT included in cumulative results",100,1555,>98%,>98% reported,edison,10,unknown,,1091,,,652,897,6,,503,604,4,,2020-11-16T15:48:19Z,15.75563,R+16,Trump +16,republican,15.75563,1440,8.7,1589,-0.57,georgia,2020-11-20T00:43:08.139660Z
13009,Baldwin,18251,14783,14,14,Other,100,18251,>98%,>98% reported,edison,10,all,,14066,,,9140,8903,208,,7612,7026,145,,2020-11-16T15:48:20Z,1.29856,D+1.3,Biden +1.3,democrat,-1.29856,16116,-1.7,16238,-5.51,georgia,2020-11-20T00:43:08.139660Z
13011,Banks,8801,6974,13,13,None,100,8801,>98%,>98% reported,edison,6,unknown,,3683,,,932,7795,74,,779,6141,54,,2020-11-16T15:48:21Z,77.97978,R+78,Trump +78,republican,77.97978,6975,78.1,6195,73.83,georgia,2020-11-20T00:43:08.139660Z
13013,Barrow,38017,30087,8,8,None,100,38017,>98%,>98% reported,edison,10,unknown,,20877,,,10453,26804,664,96,8733,20916,438,0,2020-11-16T15:48:22Z,43.00971,R+43,Trump +43,republican,43.00971,29174,49.8,25199,50.39,georgia,2020-11-20T00:43:08.139660Z
13015,Bartow,50467,37807,17,17,None,100,50465,>98%,>98% reported,edison,6,unknown,,25757,,,12092,37674,701,,9909,27475,423,,2020-11-16T15:48:23Z,50.69055,R+51,Trump +51,republican,50.69055,39733,54.6,35802,51.62,georgia,2020-11-20T00:43:08.139660Z
13017,Ben Hill,6560,5764,3,3,Other,100,6560,>98%,>98% reported,edison,10,unknown,,5778,,,2392,4110,58,,2056,3668,40,,2020-11-16T15:48:24Z,26.18902,R+26,Trump +26,republican,26.18902,5936,27.6,5956,14.84,georgia,2020-11-20T00:43:08.139660Z
13019,Berrien,7743,5543,5,5,Released as a separate subtotal as first report of the night,100,7743,>98%,>98% reported,edison,10,unknown,,4416,,,1269,6419,55,,935,4574,34,,2020-11-16T15:48:25Z,66.51169,R+67,Trump +67,republican,66.51169,6613,66.2,6201,57.57,georgia,2020-11-20T00:43:08.139660Z
