fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_pierceb,results_westk,results_de_la_fuenter,results_write_ins,results_blankenshipd,results_hawkinsh,results_kingr,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_write_ins,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kingr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
19001,Adair,4183,2055,5,5,None,100,4171,>98%,>98% reported,edison,6,some,,,,,2917,1197,35,7,7,6,5,4,4,1,1204,822,14,1,2,5,0,4,3,0,2020-11-16T15:48:01Z,41.11881,R+41,Trump +41,republican,41.11881,3811,34.8,3996,8.11,iowa,2020-11-20T00:42:51.015144Z
19003,Adams,2158,1234,5,5,None,100,2154,>98%,>98% reported,edison,6,unknown,,,,,1528,590,27,0,2,2,5,3,1,0,776,437,12,0,1,2,3,3,0,0,2020-11-16T15:48:01Z,43.46617,R+43,Trump +43,republican,43.46617,2106,39.4,2185,3.66,iowa,2020-11-20T00:42:51.015144Z
19005,Allamakee,7459,4813,11,11,None,100,7152,>98%,>98% reported,edison,4,all,,,,,4733,2575,71,5,5,4,49,12,4,1,2690,2067,28,3,3,2,7,9,3,1,2020-11-16T15:48:02Z,28.93149,R+29,Trump +29,republican,28.93149,6923,24.2,6934,-4.17,iowa,2020-11-20T00:42:51.015144Z
19007,Appanoose,6506,3213,12,13,None,100,6406,>98%,>98% reported,edison,2,unknown,,,,,4512,1891,72,4,6,2,,5,9,5,1823,1348,29,1,4,0,,1,6,1,2020-11-16T15:48:03Z,40.28589,R+40,Trump +40,republican,40.28589,6136,36.2,6245,3.36,iowa,2020-11-20T00:42:51.015144Z
19009,Audubon,3416,2027,3,3,None,96,3559,96%,96% reported,edison,2,unknown,,,,,2295,1071,32,3,2,1,,5,7,0,1195,808,15,1,0,1,,5,2,0,2020-11-16T15:48:04Z,35.83138,R+36,Trump +36,republican,35.83138,3412,30.9,3457,5.53,iowa,2020-11-20T00:42:51.015144Z
19011,Benton,14627,6450,19,19,None,99,14703,>98%,>98% reported,edison,4,unknown,,,,,9179,5156,185,3,19,13,20,21,28,3,3122,3218,68,0,7,10,0,9,14,2,2020-11-16T15:48:04Z,27.50393,R+28,Trump +28,republican,27.50393,13844,25.7,14023,0.56,iowa,2020-11-20T00:42:51.015144Z
19013,Black Hawk,66549,40826,62,63,None,86,77548,86%,86% reported,edison,4,unknown,,,,,29623,35621,721,21,146,54,173,67,103,20,13766,26425,314,11,68,29,109,38,50,16,2020-11-16T15:48:06Z,9.01291,D+9,Biden +9,democrat,-9.01291,64405,-7.4,67141,-20.24,iowa,2020-11-20T00:42:51.015144Z
19015,Boone,15306,9474,13,13,None,100,15057,>98%,>98% reported,edison,4,unknown,,,,,8695,6303,198,11,34,15,,19,24,7,4344,4982,84,6,19,9,,13,13,4,2020-11-16T15:48:08Z,15.62786,R+16,Trump +16,republican,15.62786,14196,13.7,14388,-6.64,iowa,2020-11-20T00:42:51.015144Z
19017,Bremer,14534,8353,14,14,None,93,15704,93%,93% reported,edison,4,unknown,,,,,8287,5954,185,4,19,8,30,19,24,4,3730,4493,74,1,9,6,12,16,10,2,2020-11-16T15:48:09Z,16.05202,R+16,Trump +16,republican,16.05202,13538,13.7,13346,-2.68,iowa,2020-11-20T00:42:51.015144Z
19019,Buchanan,10764,5545,11,11,None,98,11039,98%,98% reported,edison,4,all,,,,,6420,4169,96,0,22,14,,19,20,4,2513,2962,30,0,9,7,,12,10,2,2020-11-16T15:48:11Z,20.9123,R+21,Trump +21,republican,20.9123,10252,15,10535,-13.87,iowa,2020-11-20T00:42:51.015144Z
19021,Buena Vista,8149,4719,8,8,None,93,8782,93%,93% reported,edison,4,some,,,,,5056,2961,66,3,20,15,,15,10,3,2527,2132,24,2,9,8,,9,7,1,2020-11-17T14:48:44Z,25.70868,R+26,Trump +26,republican,25.70868,8278,24.7,8383,10.19,iowa,2020-11-20T00:42:51.015144Z
19023,Butler,8084,4183,7,8,None,100,7770,>98%,>98% reported,edison,2,unknown,,,,,5542,2424,68,8,13,4,,8,14,3,2435,1695,27,4,8,2,,4,7,1,2020-11-16T15:48:13Z,38.57001,R+39,Trump +39,republican,38.57001,7513,36.8,7545,10.3,iowa,2020-11-20T00:42:51.015144Z
19025,Calhoun,5249,2515,10,11,None,96,5469,96%,96% reported,edison,2,unknown,,,,,3689,1470,59,2,10,5,,8,3,3,1456,1022,23,1,4,2,,5,0,2,2020-11-16T15:48:14Z,42.27472,R+42,Trump +42,republican,42.27472,5159,40.1,5230,12.49,iowa,2020-11-20T00:42:51.015144Z
19027,Carroll,11306,6370,13,14,None,100,11193,>98%,>98% reported,edison,2,unknown,,,,,7737,3454,68,0,15,9,,8,13,2,3658,2654,30,0,8,7,,5,6,2,2020-11-16T15:48:15Z,37.88254,R+38,Trump +38,republican,37.88254,10544,31.6,10674,6.13,iowa,2020-11-20T00:42:51.015144Z
19029,Cass,7266,4237,9,10,None,100,7265,>98%,>98% reported,edison,6,some,,,,,4969,2201,61,1,12,3,,10,8,1,2561,1640,20,0,6,1,,6,3,0,2020-11-16T15:48:16Z,38.09524,R+38,Trump +38,republican,38.09524,7125,39.4,7205,18.86,iowa,2020-11-20T00:42:51.015144Z
19031,Cedar,10703,5978,12,12,None,100,10108,>98%,>98% reported,edison,4,unknown,,,,,6161,4337,124,1,12,6,23,14,22,3,2721,3181,48,0,7,2,0,8,8,3,2020-11-16T15:48:17Z,17.04195,R+17,Trump +17,republican,17.04195,9541,17.8,9649,-4.59,iowa,2020-11-20T00:42:51.015144Z
19033,Cerro Gordo,23794,13953,26,27,None,95,24941,95%,95% reported,edison,4,unknown,,,,,12435,10941,196,9,48,36,57,25,42,5,5679,8104,83,4,21,19,0,16,25,2,2020-11-16T15:48:18Z,6.27889,R+6,Trump +6,republican,6.27889,22965,7.7,23824,-13.38,iowa,2020-11-20T00:42:51.015144Z
