fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tillist,results_cunninghamc,results_brays,results_hayesk,results_absentee_tillist,results_absentee_cunninghamc,results_absentee_brays,results_absentee_hayesk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
37001,Alamance,85508,67794,38,38,Released as a separate subtotal as first report of the night,99,86091,>98%,>98% reported,edison,10,none,,62360,,,44246,38038,2302,922,33367,32168,1632,627,2020-11-18T03:15:17Z,7.26014,R+7,Tillis +7,republican,north-carolina,2020-11-20T00:45:40.149237Z
37003,Alexander,20044,16684,10,10,Released as a separate subtotal as first report of the night,99,20236,>98%,>98% reported,edison,10,all,,15384,,,14739,4287,563,455,12206,3673,430,375,2020-11-18T03:15:56Z,52.14528,R+52,Tillis +52,republican,north-carolina,2020-11-20T00:45:40.149237Z
37005,Alleghany,6007,4963,4,4,Released as a separate subtotal as first report of the night,99,6076,>98%,>98% reported,edison,10,all,,5206,,,4082,1587,192,146,3310,1386,145,122,2020-11-18T03:16:16Z,41.53488,R+42,Tillis +42,republican,north-carolina,2020-11-20T00:45:40.149237Z
37007,Anson,11108,7865,8,9,Released as a precinct as first report of the night,99,11205,>98%,>98% reported,edison,10,unknown,,10515,,,4981,5756,204,167,3026,4595,145,99,2020-11-18T03:16:33Z,6.97695,D+7,Cunningham +7,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37009,Ashe,15636,11132,17,17,"As a precinct in the FIRST cumulative report, along with regular precincts",99,15814,>98%,>98% reported,edison,10,unknown,,9733,,,10619,4279,457,281,7163,3488,308,173,2020-11-18T03:16:57Z,40.54745,R+41,Tillis +41,republican,north-carolina,2020-11-20T00:45:40.149237Z
37011,Avery,9321,5895,19,19,Released as a separate subtotal as first report of the night,99,9458,>98%,>98% reported,edison,10,unknown,,4091,,,6865,2079,246,131,4080,1581,157,77,2020-11-18T03:17:25Z,51.34642,R+51,Tillis +51,republican,north-carolina,2020-11-20T00:45:40.149237Z
37013,Beaufort,26046,20174,21,21,Released as a precinct as first report of the night,99,26315,>98%,>98% reported,edison,10,all,,22376,,,15448,9439,706,453,11305,8010,537,322,2020-11-18T03:17:47Z,23.07072,R+23,Tillis +23,republican,north-carolina,2020-11-20T00:45:40.149237Z
37015,Bertie,9694,7680,12,12,Merged into voters' home precincts and released with cumulative results,99,9815,>98%,>98% reported,edison,10,all,,9773,,,3597,5825,158,114,2588,4877,122,93,2020-11-18T03:18:10Z,22.98329,D+23,Cunningham +23,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37017,Bladen,16881,13595,17,17,Released as a precinct as first report of the night,99,17125,>98%,>98% reported,edison,10,unknown,,16846,,,8967,7280,399,235,6973,6145,303,174,2020-11-18T03:18:30Z,9.99348,R+10,Tillis +10,republican,north-carolina,2020-11-20T00:45:40.149237Z
37019,Brunswick,89202,78235,25,25,Released as a separate subtotal as first report of the night,99,90175,>98%,>98% reported,edison,10,unknown,,65557,,,52971,32180,2881,1170,45373,29588,2288,986,2020-11-18T03:18:54Z,23.30777,R+23,Tillis +23,republican,north-carolina,2020-11-20T00:45:40.149237Z
37021,Buncombe,160042,140498,80,80,Released as a precinct as first report of the night,99,161569,>98%,>98% reported,edison,10,some,,142646,,,60688,92664,5054,1636,49463,85859,3926,1250,2020-11-18T03:19:19Z,19.97976,D+20,Cunningham +20,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37023,Burke,44170,36243,33,33,Released as a separate subtotal as first report of the night,99,44602,>98%,>98% reported,edison,10,unknown,,37205,,,28934,13108,1309,819,23461,11200,979,603,2020-11-18T03:19:43Z,35.82975,R+36,Tillis +36,republican,north-carolina,2020-11-20T00:45:40.149237Z
37025,Cabarrus,116102,96419,39,39,Released as a precinct as first report of the night,99,117227,>98%,>98% reported,edison,10,all,,66450,,,61231,48886,4261,1724,48859,43005,3253,1302,2020-11-18T03:20:07Z,10.63289,R+11,Tillis +11,republican,north-carolina,2020-11-20T00:45:40.149237Z
37027,Caldwell,42357,35254,20,20,Released as a precinct as first report of the night,99,42829,>98%,>98% reported,edison,10,unknown,,37674,,,29971,10288,1299,799,24794,8807,1018,635,2020-11-18T03:20:36Z,46.4693,R+46,Tillis +46,republican,north-carolina,2020-11-20T00:45:40.149237Z
37029,Camden,5838,4393,3,3,Released as a precinct as first report of the night,98,5953,98%,98% reported,edison,10,all,,4042,,,4181,1403,183,71,3021,1209,109,54,2020-11-18T03:20:50Z,47.58479,R+48,Tillis +48,republican,north-carolina,2020-11-20T00:45:40.149237Z
37031,Carteret,42228,34217,26,26,Released as a separate subtotal as first report of the night,99,42695,>98%,>98% reported,edison,10,all,,34930,,,28492,11823,1312,601,22435,10361,967,454,2020-11-18T03:21:14Z,39.47381,R+39,Tillis +39,republican,north-carolina,2020-11-20T00:45:40.149237Z
37033,Caswell,11961,8306,9,9,Released as a precinct as first report of the night,99,12051,>98%,>98% reported,edison,10,all,,9422,,,6643,4916,278,124,4145,3920,173,68,2020-11-18T03:21:32Z,14.43859,R+14,Tillis +14,republican,north-carolina,2020-11-20T00:45:40.149237Z
37035,Catawba,82883,67601,40,40,"As a precinct in the FIRST cumulative report, along with regular precincts",99,83425,>98%,>98% reported,edison,10,unknown,,67210,,,54004,24845,2550,1484,43473,21107,1896,1125,2020-11-18T03:21:59Z,35.18092,R+35,Tillis +35,republican,north-carolina,2020-11-20T00:45:40.149237Z
37037,Chatham,48338,43376,18,18,Released as a precinct as first report of the night,99,48599,>98%,>98% reported,edison,10,some,,39498,,,21039,25697,1171,431,17700,24352,977,347,2020-11-18T03:22:23Z,9.63631,D+10,Cunningham +10,democrat,north-carolina,2020-11-20T00:45:40.149237Z
37039,Cherokee,16286,11326,16,16,Released as a precinct as first report of the night,99,16423,>98%,>98% reported,edison,10,unknown,,10581,,,12048,3589,408,241,8063,2871,235,157,2020-11-18T03:22:47Z,51.94032,R+52,Tillis +52,republican,north-carolina,2020-11-20T00:45:40.149237Z
37041,Chowan,7689,6562,6,6,Released as a precinct as first report of the night,99,7784,>98%,>98% reported,edison,10,unknown,,8195,,,4353,3124,139,73,3636,2768,98,60,2020-11-18T03:29:01Z,15.98387,R+16,Tillis +16,republican,north-carolina,2020-11-20T00:45:40.149237Z
37043,Clay,6811,5170,9,9,Released as a precinct as first report of the night,99,6893,>98%,>98% reported,edison,10,all,,5792,,,4897,1676,140,98,3591,1426,90,63,2020-11-18T03:29:24Z,47.29115,R+47,Tillis +47,republican,north-carolina,2020-11-20T00:45:40.149237Z
37045,Cleveland,50777,41162,21,21,Released as a precinct as first report of the night,99,51308,>98%,>98% reported,edison,10,all,,35936,,,32022,16752,1235,768,25347,14311,924,580,2020-11-18T03:29:50Z,30.07267,R+30,Tillis +30,republican,north-carolina,2020-11-20T00:45:40.149237Z
37047,Columbus,26102,18863,26,26,Released as a precinct as first report of the night,99,26446,>98%,>98% reported,edison,10,unknown,,20755,,,15563,9599,516,424,10542,7683,351,287,2020-11-18T03:30:17Z,22.84882,R+23,Tillis +23,republican,north-carolina,2020-11-20T00:45:40.149237Z
