fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_carterb,results_griggsj,results_absentee_carterb,results_absentee_griggsj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13005,Bacon,4464,3918,1,1,"As a precinct in the FIRST cumulative report, along with regular precincts",87,5144,87%,87% reported,edison,2,some,3600,3910,554,3491,427,2020-11-20T21:21:10Z,75.17921,R+75,Carter +75,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13025,Brantley,7411,5357,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",92,8054,92%,92% reported,edison,2,unknown,3280,6749,662,4839,518,2020-11-20T21:28:15Z,82.13466,R+82,Carter +82,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13029,Bryan,20902,17464,10,10,Released as a precinct in the middle of the night,100,19309,>98%,>98% reported,edison,2,unknown,11968,14767,6135,12128,5336,2020-11-20T01:36:51Z,41.29748,R+41,Carter +41,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13039,Camden,22935,18180,14,14,"As a precinct in the FIRST cumulative report, along with regular precincts",95,24152,95%,95% reported,edison,2,unknown,14382,15220,7715,11656,6524,2020-11-20T21:30:11Z,32.72291,R+33,Carter +33,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13049,Charlton,4345,3044,8,8,Merged into voters' home precincts and released with cumulative results,85,5132,85%,85% reported,edison,2,unknown,2992,3359,986,2266,778,2020-11-20T21:34:18Z,54.6145,R+55,Carter +55,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13051,Chatham,130839,94251,92,92,Released as a precinct as first report of the night,92,142696,92%,92% reported,edison,4,all,63578,56993,73846,37552,56699,2020-11-20T23:06:25Z,12.88072,D+13,Griggs +13,democrat,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13065,Clinch,2668,1873,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",85,3132,85%,85% reported,edison,2,unknown,1870,2060,608,1452,421,2020-11-20T21:38:24Z,54.42279,R+54,Carter +54,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13101,Echols,1378,1138,1,1,None,92,1505,92%,92% reported,edison,2,unknown,886,1229,149,1020,118,2020-11-20T21:47:44Z,78.37446,R+78,Carter +78,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13103,Effingham,19126,13230,12,12,Merged into voters' home precincts and released with cumulative results,100,18721,>98%,>98% reported,edison,2,unknown,15051,14529,4597,9637,3593,2020-11-20T23:07:41Z,51.92931,R+52,Carter +52,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
13127,Glynn,40952,34112,20,20,Released as a precinct as first report of the night,94,43663,94%,94% reported,edison,2,unknown,28819,26199,14753,21400,12712,2020-11-20T21:48:18Z,27.94979,R+28,Carter +28,republican,GA-G-H-1-2020-11-03,ga-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",324962,248663,17,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,224,225,99% reporting,99%,94,345000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:22:40Z,TRUE,16.67764,54196,R+17,Carter +17,republican,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604458479959
