fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
38001,Adams,1269,0,1,1,Released as a separate subtotal as first report of the night,100,1269,>98%,>98% reported,edison,10,some,,1677,,,981,258,30,0,0,0,0,0,2020-11-16T15:47:45Z,56.974,R+57,Trump +57,republican,56.974,1218,56.9,1286,45.88,north-dakota,2020-11-21T00:43:17.245801Z
38003,Barnes,5565,0,15,15,Merged into voters' home precincts and released with cumulative results,100,5565,>98%,>98% reported,edison,10,unknown,,3917,,,3568,1820,161,16,0,0,0,0,2020-11-17T03:04:47Z,31.4106,R+31,Trump +31,republican,31.4106,5344,29.2,5522,10.32,north-dakota,2020-11-21T00:43:17.245801Z
38005,Benson,1961,0,4,4,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,1961,>98%,>98% reported,edison,10,unknown,,3273,,,1094,822,39,6,0,0,0,0,2020-11-17T03:04:53Z,13.87047,R+14,Trump +14,republican,13.87047,2011,4.3,2157,-17.01,north-dakota,2020-11-21T00:43:17.245801Z
38007,Billings,635,0,3,3,Merged into voters' home precincts and released with cumulative results,100,635,>98%,>98% reported,edison,10,unknown,,341,,,541,72,21,1,0,0,0,0,2020-11-17T03:07:36Z,73.85827,R+74,Trump +74,republican,73.85827,605,72.1,578,66.26,north-dakota,2020-11-21T00:43:17.245801Z
38009,Bottineau,3471,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3471,>98%,>98% reported,edison,10,unknown,,4617,,,2575,821,65,10,0,0,0,0,2020-11-17T03:04:57Z,50.53299,R+51,Trump +51,republican,50.53299,3494,50.3,3555,30.86,north-dakota,2020-11-21T00:43:17.245801Z
38011,Bowman,1657,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1657,>98%,>98% reported,edison,10,unknown,,764,,,1395,228,30,4,0,0,0,0,2020-11-17T03:05:09Z,70.42849,R+70,Trump +70,republican,70.42849,1787,68.2,1737,49.86,north-dakota,2020-11-21T00:43:17.245801Z
38013,Burke,1155,0,6,6,Merged into voters' home precincts and released with cumulative results,100,1155,>98%,>98% reported,edison,10,some,,1757,,,994,137,20,4,0,0,0,0,2020-11-17T02:55:49Z,74.19913,R+74,Trump +74,republican,74.19913,1052,73.8,1023,52.69,north-dakota,2020-11-21T00:43:17.245801Z
38015,Burleigh,50753,13955,36,36,Merged into voters' home precincts and released with cumulative results,100,50753,>98%,>98% reported,edison,10,unknown,,26229,,,34744,14348,1368,293,10581,2978,320,76,2020-11-17T03:05:13Z,40.18679,R+40,Trump +40,republican,40.18679,47979,45.1,43387,31.87,north-dakota,2020-11-21T00:43:17.245801Z
38017,Cass,86053,31659,38,38,Merged into voters' home precincts and released with cumulative results,100,86053,>98%,>98% reported,edison,10,unknown,,26127,,,42619,40311,2495,628,10639,19861,893,266,2020-11-17T03:05:18Z,2.68207,R+3,Trump +3,republican,2.68207,80821,10.5,73855,2.9,north-dakota,2020-11-21T00:43:17.245801Z
38019,Cavalier,2020,0,1,1,Merged into voters' home precincts and released with cumulative results,100,2020,>98%,>98% reported,edison,10,unknown,,3069,,,1499,474,40,7,0,0,0,0,2020-11-16T15:47:51Z,50.74257,R+51,Trump +51,republican,50.74257,2006,43.9,2069,18.22,north-dakota,2020-11-21T00:43:17.245801Z
