fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
45001,Abbeville,12433,6829,16,16,Merged into voters' home precincts and released with cumulative results,100,12439,>98%,>98% reported,edison,10,unknown,,3221,,,8215,4101,88,23,6,3901,2882,36,6,4,2020-11-16T15:48:06Z,33.08936,R+33,Trump +33,republican,33.08936,10775,28,10671,13.48,south-carolina,2020-11-21T00:43:36.706783Z
45003,Aiken,85185,44596,84,84,"As a precinct in the FIRST cumulative report, along with regular precincts",100,85185,>98%,>98% reported,edison,10,unknown,,20973,,,51589,32275,982,274,65,23768,20345,336,115,32,2020-11-16T15:48:07Z,22.67301,R+23,Trump +23,republican,22.67301,74851,27.5,70363,26.6,south-carolina,2020-11-21T00:43:36.706783Z
45005,Allendale,3593,2409,8,8,Released as a precinct as first report of the night,99,3625,>98%,>98% reported,edison,10,unknown,,2170,,,835,2718,19,19,2,389,1994,14,11,1,2020-11-16T15:48:09Z,52.40746,D+52,Biden +52,democrat,-52.40746,3592,-54.2,4163,-59.07,south-carolina,2020-11-21T00:43:36.706783Z
45007,Anderson,96093,31178,79,79,Released as a precinct at the end of tabulation,100,96093,>98%,>98% reported,edison,10,all,,15738,,,67565,27169,1123,178,58,17615,13252,243,49,19,2020-11-16T15:48:11Z,42.03844,R+42,Trump +42,republican,42.03844,80483,43.7,72212,36.43,south-carolina,2020-11-21T00:43:36.706783Z
45009,Bamberg,6482,3657,13,13,Released as a separate subtotal at the end of tabulation,100,6482,>98%,>98% reported,edison,10,unknown,,1944,,,2417,4010,31,17,7,1052,2574,16,9,6,2020-11-16T15:48:11Z,24.57575,D+25,Biden +25,democrat,-24.57575,6214,-27.3,6882,-35.31,south-carolina,2020-11-21T00:43:36.706783Z
45011,Barnwell,10321,5617,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,10321,>98%,>98% reported,edison,10,unknown,,2475,,,5492,4720,78,19,12,2618,2961,31,4,3,2020-11-16T15:48:12Z,7.4799,R+7,Trump +7,republican,7.4799,9485,5.2,9923,-5.33,south-carolina,2020-11-21T00:43:36.706783Z
45013,Beaufort,97835,56391,95,95,Released as a precinct at the end of tabulation,100,97915,>98%,>98% reported,edison,10,all,,27701,,,53194,43419,941,214,67,25926,29949,393,88,35,2020-11-16T15:48:13Z,9.99131,R+10,Trump +10,republican,9.99131,78524,13.7,73297,17.52,south-carolina,2020-11-21T00:43:36.706783Z
45015,Berkeley,104458,57080,96,96,"As a precinct in the FIRST cumulative report, along with regular precincts",100,104458,>98%,>98% reported,edison,10,all,,19053,,,57397,45223,1485,276,77,26688,29650,583,123,36,2020-11-16T15:48:14Z,11.65444,R+12,Trump +12,republican,11.65444,79517,17.5,68195,14.57,south-carolina,2020-11-21T00:43:36.706783Z
45017,Calhoun,8291,4327,12,12,Released as a precinct as first report of the night,100,8299,>98%,>98% reported,edison,10,unknown,,2608,,,4305,3905,58,18,5,1633,2661,22,9,2,2020-11-16T15:48:15Z,4.82451,R+5,Trump +5,republican,4.82451,7549,2.8,7834,-4.31,south-carolina,2020-11-21T00:43:36.706783Z
45019,Charleston,218857,161272,182,182,Released as a precinct as first report of the night,100,219114,>98%,>98% reported,edison,10,unknown,,54234,,,93297,121485,3177,743,155,63506,95351,1904,417,94,2020-11-16T15:48:16Z,12.87964,D+13,Biden +13,democrat,-12.87964,176345,-7.9,161707,-2.39,south-carolina,2020-11-21T00:43:36.706783Z
