fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sasseb,results_janicekc,results_siadekg,results_write_ins,results_absentee_sasseb,results_absentee_janicekc,results_absentee_siadekg,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
31001,Adams,13974,6530,27,29,Released as a precinct as first report of the night,92,15135,92%,92% reported,edison,2,some,,4675,,,9914,2544,890,626,4021,1615,373,521,2020-11-16T15:48:09Z,52.7408,R+53,Sasse +53,republican,nebraska,2020-11-21T00:45:42.185439Z
31003,Antelope,3366,0,13,14,Other,92,3675,92%,92% reported,edison,2,unknown,,934,,,2828,354,184,,0,0,0,,2020-11-16T15:48:09Z,73.4997,R+73,Sasse +73,republican,nebraska,2020-11-21T00:45:42.185439Z
31005,Arthur,270,0,1,1,Merged into voters' home precincts and released with cumulative results,88,306,88%,88% reported,edison,2,unknown,,66,,,228,21,21,,0,0,0,,2020-11-16T15:48:10Z,76.66667,R+77,Sasse +77,republican,nebraska,2020-11-21T00:45:42.185439Z
31007,Banner,395,0,1,1,Released as a separate subtotal at the end of tabulation,86,458,86%,86% reported,edison,2,unknown,,205,,,335,39,21,,0,0,0,,2020-11-16T15:48:10Z,74.93671,R+75,Sasse +75,republican,nebraska,2020-11-21T00:45:42.185439Z
31009,Blaine,291,0,1,1,Released as a separate subtotal at the end of tabulation,82,355,82%,82% reported,edison,2,unknown,,230,,,222,35,34,,0,0,0,,2020-11-16T15:48:11Z,64.26117,R+64,Sasse +64,republican,nebraska,2020-11-21T00:45:42.185439Z
31011,Boone,2931,0,8,9,Released as a precinct as first report of the night,90,3254,90%,90% reported,edison,2,unknown,,1536,,,2402,351,178,,0,0,0,,2020-11-16T15:48:11Z,69.97612,R+70,Sasse +70,republican,nebraska,2020-11-21T00:45:42.185439Z
31013,Box Butte,4988,0,9,10,Released as a precinct at the end of tabulation,90,5515,90%,90% reported,edison,2,unknown,,2298,,,3840,822,326,,0,0,0,,2020-11-16T15:48:11Z,60.50521,R+61,Sasse +61,republican,nebraska,2020-11-21T00:45:42.185439Z
31015,Boyd,1047,0,3,4,Released as a precinct as first report of the night,81,1295,81%,81% reported,edison,2,unknown,,379,,,883,89,75,,0,0,0,,2020-11-16T15:48:12Z,75.83572,R+76,Sasse +76,republican,nebraska,2020-11-21T00:45:42.185439Z
31017,Brown,1605,0,3,3,Merged into voters' home precincts and released with cumulative results,90,1789,90%,90% reported,edison,2,unknown,,589,,,1387,125,93,,0,0,0,,2020-11-16T15:48:12Z,78.62928,R+79,Sasse +79,republican,nebraska,2020-11-21T00:45:42.185439Z
31019,Buffalo,22867,9464,28,29,Released as a separate subtotal as first report of the night,97,23474,97%,97% reported,edison,6,all,,5402,,,16562,3813,1588,904,6033,2077,599,755,2020-11-16T15:48:13Z,55.75283,R+56,Sasse +56,republican,nebraska,2020-11-21T00:45:42.185439Z
31021,Burt,3504,0,3,3,Released as a precinct as first report of the night,88,3985,88%,88% reported,edison,2,unknown,,925,,,2639,678,187,,0,0,0,,2020-11-16T15:48:14Z,55.96461,R+56,Sasse +56,republican,nebraska,2020-11-21T00:45:42.185439Z
31023,Butler,4323,0,12,12,Released as a precinct as first report of the night,97,4459,97%,97% reported,edison,2,unknown,,1013,,,3512,613,198,,0,0,0,,2020-11-21T00:00:43Z,67.05991,R+67,Sasse +67,republican,nebraska,2020-11-21T00:45:42.185439Z
31025,Cass,14253,5294,30,30,Released as a separate subtotal as first report of the night,100,14071,>98%,>98% reported,edison,6,some,,4685,,,10493,2874,886,,3504,1453,337,,2020-11-16T15:48:14Z,53.45541,R+53,Sasse +53,republican,nebraska,2020-11-21T00:45:42.185439Z
31027,Cedar,4719,0,12,13,Released as a precinct as first report of the night,94,5000,94%,94% reported,edison,2,unknown,,4030,,,3902,545,272,,0,0,0,,2020-11-16T15:48:15Z,71.13795,R+71,Sasse +71,republican,nebraska,2020-11-21T00:45:42.185439Z
31029,Chase,1918,0,5,6,Released as a separate subtotal as first report of the night,90,2126,90%,90% reported,edison,2,unknown,,614,,,1666,173,79,,0,0,0,,2020-11-16T15:48:15Z,77.8415,R+78,Sasse +78,republican,nebraska,2020-11-21T00:45:42.185439Z
31031,Cherry,2922,0,17,20,Merged into voters' home precincts and released with cumulative results,84,3492,84%,84% reported,edison,2,unknown,,3326,,,2365,283,274,,0,0,0,,2020-11-16T15:48:16Z,71.25257,R+71,Sasse +71,republican,nebraska,2020-11-21T00:45:42.185439Z
31033,Cheyenne,4546,0,9,10,Released as a precinct as first report of the night,86,5276,86%,86% reported,edison,2,unknown,,1955,,,3505,718,323,,0,0,0,,2020-11-16T15:48:16Z,61.30664,R+61,Sasse +61,republican,nebraska,2020-11-21T00:45:42.185439Z
31035,Clay,3335,0,12,12,Released as a precinct as first report of the night,93,3600,93%,93% reported,edison,2,unknown,,699,,,2660,432,243,,0,0,0,,2020-11-16T15:48:16Z,66.8066,R+67,Sasse +67,republican,nebraska,2020-11-21T00:45:42.185439Z
31037,Colfax,3619,1465,6,6,"Released as first report, then NOT included in cumulative results",100,3600,>98%,>98% reported,edison,2,some,,1195,,,2651,746,156,66,965,368,78,54,2020-11-16T15:48:17Z,52.63885,R+53,Sasse +53,republican,nebraska,2020-11-21T00:45:42.185439Z
31039,Cuming,4273,0,7,8,None,94,4563,94%,94% reported,edison,2,unknown,,1174,,,3566,509,198,,0,0,0,,2020-11-16T15:48:17Z,71.54224,R+72,Sasse +72,republican,nebraska,2020-11-21T00:45:42.185439Z
