fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24001,Allegany,30511,0,23,26,"As a subtotal in the FIRST cumulative report, along with regular precincts",89,34332,89%,89% reported,edison,2,unknown,,4312,,,9158,20886,308,120,39,0,0,0,0,0,2020-11-16T15:48:18Z,38.4386,R+38,Trump +38,republican,38.4386,30654,43.7,29850,31.57,maryland,2020-11-22T00:48:08.909360Z
24003,Anne Arundel,306924,0,202,202,Released as a precinct as first report of the night,100,302491,>98%,>98% reported,edison,2,none,,61018,,,172823,127821,4652,1247,381,0,0,0,0,0,2020-11-16T22:57:43Z,14.66226,D+15,Biden +15,democrat,-14.66226,270081,-2.2,260155,0.08,maryland,2020-11-22T00:48:08.909360Z
24005,Baltimore,411291,0,236,236,Released separately AFTER election night,94,437564,94%,94% reported,edison,2,none,,89978,,,257948,146072,4910,1815,546,0,0,0,0,0,2020-11-21T03:01:01Z,27.20118,D+27,Biden +27,democrat,-27.20118,390682,-17.6,384782,-17,maryland,2020-11-22T00:48:08.909360Z
24510,Baltimore City,236189,0,260,296,Other,84,279607,84%,84% reported,edison,2,none,,72816,,,207260,25374,1761,1338,456,0,0,0,0,0,2020-11-19T14:28:05Z,77.00867,D+77,Biden +77,democrat,-77.00867,239402,-74.1,254005,-76.1,maryland,2020-11-22T00:48:08.909360Z
24009,Calvert,48832,0,22,24,"As a precinct in the FIRST cumulative report, along with regular precincts",92,53097,92%,92% reported,edison,2,unknown,,11262,,,22587,25346,733,127,39,0,0,0,0,0,2020-11-16T15:48:20Z,5.64998,R+6,Trump +6,republican,5.64998,47408,16.8,45518,7.52,maryland,2020-11-22T00:48:08.909360Z
24011,Caroline,15729,0,8,8,Released as a precinct as first report of the night,100,15807,>98%,>98% reported,edison,2,unknown,,3784,,,5095,10283,229,90,32,0,0,0,0,0,2020-11-16T15:48:21Z,32.98366,R+33,Trump +33,republican,32.98366,14113,38,13357,23.42,maryland,2020-11-22T00:48:08.909360Z
24013,Carroll,99408,58185,35,36,Released separately AFTER election night,97,102870,97%,97% reported,edison,4,some,,16653,,,36456,60218,2028,537,169,24488,32426,898,283,90,2020-11-16T16:13:50Z,23.90351,R+24,Trump +24,republican,23.90351,91848,34.5,87536,32.93,maryland,2020-11-22T00:48:08.909360Z
24015,Cecil,47273,0,26,28,Other,93,50701,93%,93% reported,edison,2,none,,9424,,,16809,29439,706,229,90,0,0,0,0,0,2020-11-16T15:48:22Z,26.71715,R+27,Trump +27,republican,26.71715,45269,33.6,42480,19.42,maryland,2020-11-22T00:48:08.909360Z
24017,Charles,89063,0,44,44,Released as a precinct as first report of the night,100,87699,>98%,>98% reported,edison,2,unknown,,19179,,,62171,25579,769,408,136,0,0,0,0,0,2020-11-16T15:48:23Z,41.08552,D+41,Biden +41,democrat,-41.08552,78303,-30.3,75222,-31.37,maryland,2020-11-22T00:48:08.909360Z
24019,Dorchester,15934,0,36,39,Other,93,17061,93%,93% reported,edison,2,none,,3944,,,6857,8764,174,97,42,0,0,0,0,0,2020-11-16T15:48:23Z,11.96812,R+12,Trump +12,republican,11.96812,15225,14.2,15444,4.66,maryland,2020-11-22T00:48:08.909360Z
24021,Frederick,144568,52530,79,79,Released as a precinct as first report of the night,100,140758,>98%,>98% reported,edison,4,some,,22179,,,77675,63682,2282,686,243,20063,31486,681,208,92,2020-11-20T02:31:00Z,9.67918,D+10,Biden +10,democrat,-9.67918,125677,2.4,117115,3.12,maryland,2020-11-22T00:48:08.909360Z
24023,Garrett,15579,0,20,20,Released separately AFTER election night,99,15692,>98%,>98% reported,edison,2,none,,2480,,,3281,12002,212,64,20,0,0,0,0,0,2020-11-16T20:43:42Z,55.9792,R+56,Trump +56,republican,55.9792,14011,58.6,13157,50.31,maryland,2020-11-22T00:48:08.909360Z
24025,Harford,147221,68976,85,86,Released as a separate subtotal as first report of the night,98,149713,98%,98% reported,edison,4,some,,26224,,,63095,80930,2473,577,146,22216,45623,899,200,38,2020-11-16T15:48:25Z,12.11444,R+12,Trump +12,republican,12.11444,133672,23,125954,18.41,maryland,2020-11-22T00:48:08.909360Z
24027,Howard,181324,60430,119,119,Released separately AFTER election night,100,181656,>98%,>98% reported,edison,2,some,,48738,,,129433,48390,2471,785,245,35872,23430,810,248,70,2020-11-16T15:48:26Z,44.69513,D+45,Biden +45,democrat,-44.69513,162193,-34,153108,-21.97,maryland,2020-11-22T00:48:08.909360Z
24029,Kent,10740,0,11,11,None,96,11224,96%,96% reported,edison,2,none,,3816,,,5329,5195,117,68,31,0,0,0,0,0,2020-11-16T15:48:26Z,1.24767,D+1.2,Biden +1.2,democrat,-1.24767,10021,3,9904,0.28,maryland,2020-11-22T00:48:08.909360Z
24031,Montgomery,511690,0,256,269,Released as a precinct as first report of the night,95,536338,95%,95% reported,edison,2,unknown,,124702,,,405401,97950,4082,2910,1347,0,0,0,0,0,2020-11-21T03:01:00Z,60.0854,D+60,Biden +60,democrat,-60.0854,478873,-55.4,455992,-43.87,maryland,2020-11-22T00:48:08.909360Z
24033,Prince George's,422851,306363,278,288,None,100,312395,>98%,>98% reported,edison,6,some,,111886,,,379208,37090,1810,3349,1394,278000,24509,982,2015,857,2020-11-21T03:01:00Z,80.90746,D+81,Biden +81,democrat,-80.90746,390385,-79.7,387744,-80.52,maryland,2020-11-22T00:48:08.909360Z
24035,Queen Anne's,30079,0,12,12,Other,100,29706,>98%,>98% reported,edison,2,unknown,,6419,,,10709,18741,411,164,54,0,0,0,0,0,2020-11-16T15:48:27Z,26.70302,R+27,Trump +27,republican,26.70302,26523,34,24888,29.2,maryland,2020-11-22T00:48:08.909360Z
24039,Somerset,10117,0,21,23,None,88,11516,88%,88% reported,edison,2,unknown,,2648,,,4241,5739,82,38,17,0,0,0,0,0,2020-11-16T15:47:45Z,14.80676,R+15,Trump +15,republican,14.80676,9900,11.6,10399,-1.9,maryland,2020-11-22T00:48:08.909360Z
24037,St. Mary's,55339,0,37,37,"As a precinct in the FIRST cumulative report, along with regular precincts",99,55823,>98%,>98% reported,edison,2,none,,11354,,,23138,30826,1112,200,63,0,0,0,0,0,2020-11-16T17:35:45Z,13.89255,R+14,Trump +14,republican,13.89255,49842,22.3,47824,14.82,maryland,2020-11-22T00:48:08.909360Z
24041,Talbot,22400,0,12,12,Released as a separate subtotal as first report of the night,97,23019,97%,97% reported,edison,2,unknown,,9517,,,11062,10946,274,83,35,0,0,0,0,0,2020-11-16T15:47:45Z,0.51786,D+0.52,Biden +0.52,democrat,-0.51786,20553,10.1,20459,12.37,maryland,2020-11-22T00:48:08.909360Z
24043,Washington,67510,32573,49,54,Released as a precinct as first report of the night,91,73910,91%,91% reported,edison,4,some,,11758,,,26044,40224,836,309,97,15952,16156,271,140,54,2020-11-20T16:30:51Z,21.0043,R+21,Trump +21,republican,21.0043,65991,30.1,62755,17.58,maryland,2020-11-22T00:48:08.909360Z
24045,Wicomico,45975,0,52,54,Released as a precinct as first report of the night,96,47653,96%,96% reported,edison,2,unknown,,10264,,,22054,22944,538,292,147,0,0,0,0,0,2020-11-16T16:37:43Z,1.93583,R+1.9,Trump +1.9,republican,1.93583,42547,9.7,42259,5.04,maryland,2020-11-22T00:48:08.909360Z
24047,Worcester,31567,0,16,16,Released as a precinct as first report of the night,100,31666,>98%,>98% reported,edison,2,unknown,,4518,,,12560,18571,336,80,20,0,0,0,0,0,2020-11-16T15:47:48Z,19.04204,R+19,Trump +19,republican,19.04204,28273,26.4,27420,18.01,maryland,2020-11-22T00:48:08.909360Z
