fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_richmondc,results_schillingd,results_harrisg,results_vincents,results_batisteb,results_jamesc,results_absentee_richmondc,results_absentee_schillingd,results_absentee_harrisg,results_absentee_vincents,results_absentee_batisteb,results_absentee_jamesc,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
22005,Ascension,8835,4722,11,11,Released as a separate subtotal as first report of the night,100,8835,>98%,>98% reported,edison,10,all,14310,4586,1635,1573,567,310,164,2699,891,683,285,97,67,2020-11-22T20:53:02Z,33.40125,D+33,Richmond +33,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22007,Assumption,3305,1311,10,10,Released as a separate subtotal as first report of the night,100,3305,>98%,>98% reported,edison,10,unknown,1998,1592,902,361,288,89,73,709,331,113,118,22,18,2020-11-22T20:53:16Z,20.87746,D+21,Richmond +21,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22033,East Baton Rouge,33811,12793,70,70,Released as a separate subtotal as first report of the night,100,33811,>98%,>98% reported,edison,10,all,54315,24560,884,6148,628,1072,519,10143,297,1854,190,196,113,2020-11-22T20:11:19Z,54.45565,D+54,Richmond +54,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22047,Iberville,9800,4071,25,25,Released as a separate subtotal as first report of the night,100,9800,>98%,>98% reported,edison,10,all,4955,4404,2501,1429,835,488,143,2079,1247,470,143,100,32,2020-11-22T20:12:02Z,19.41837,D+19,Richmond +19,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22051,Jefferson,71936,28592,113,113,Released as a separate subtotal as first report of the night,100,71936,>98%,>98% reported,edison,10,all,38152,39076,17109,6595,6074,1998,1084,18982,4821,2172,1886,453,278,2020-11-20T13:41:24Z,30.53687,D+31,Richmond +31,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22071,Orleans,141235,83560,301,301,Released as a separate subtotal as first report of the night,100,141235,>98%,>98% reported,edison,10,all,48486,105655,8784,12755,3476,6933,3632,67477,3524,5939,1354,3356,1910,2020-11-20T13:41:54Z,65.7769,D+66,Richmond +66,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22089,St. Charles,16522,8036,30,30,Released as a separate subtotal as first report of the night,100,16522,>98%,>98% reported,edison,10,all,7869,5419,7843,1153,1503,388,216,3111,3538,480,702,142,63,2020-11-22T20:13:28Z,14.67135,R+15,Schilling +15,republican,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22093,St. James,11477,6265,30,30,Released as a separate subtotal as first report of the night,100,11477,>98%,>98% reported,edison,10,all,4059,5320,3745,1078,894,305,135,3098,2060,458,471,119,59,2020-11-20T13:42:48Z,13.7231,D+14,Richmond +14,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22095,St. John the Baptist,13958,7263,28,28,Released as a separate subtotal as first report of the night,100,13958,>98%,>98% reported,edison,10,all,7978,8213,2513,1773,808,460,191,4977,1001,734,339,143,69,2020-11-22T20:14:06Z,40.8368,D+41,Richmond +41,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
22121,West Baton Rouge,6103,2944,13,13,Released as a separate subtotal as first report of the night,100,6103,>98%,>98% reported,edison,10,all,5213,2811,1659,819,492,225,97,1594,729,322,208,62,29,2020-11-22T20:14:50Z,18.87596,D+19,Richmond +19,democrat,LA-G-H-2-2020-11-03,la-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",316982,159557,10,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,631,631,100% reporting,100%,100,316982,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T20:48:36Z,TRUE,48.60244,154061,D+49,Richmond +49,democrat,-1,-1,1604464216311
