fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kustoffd,results_pearsone,results_hartj,results_dillardj,results_absentee_kustoffd,results_absentee_pearsone,results_absentee_hartj,results_absentee_dillardj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
47005,Benton,43,0,1,1,Merged into voters' home precincts and released with cumulative results,100,43,>98%,>98% reported,edison,2,some,4922,31,8,4,0,0,0,0,0,2020-11-16T15:48:07Z,53.48837,R+53,Kustoff +53,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47017,Carroll,11339,7530,18,19,Released as a separate subtotal as first report of the night,94,12021,94%,94% reported,edison,2,some,6252,8878,2194,158,109,5761,1607,91,71,2020-11-16T15:48:09Z,58.947,R+59,Kustoff +59,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47033,Crockett,5585,0,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",89,6255,89%,89% reported,edison,2,unknown,3380,4402,1067,88,28,0,0,0,0,2020-11-16T15:48:09Z,59.71352,R+60,Kustoff +60,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47045,Dyer,14086,0,15,16,Released as a separate subtotal as first report of the night,91,15423,91%,91% reported,edison,2,unknown,9314,11134,2693,145,114,0,0,0,0,2020-11-16T15:48:10Z,59.92475,R+60,Kustoff +60,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47047,Fayette,21572,0,14,15,Merged into voters' home precincts and released with cumulative results,96,22416,96%,96% reported,edison,2,unknown,13370,15474,5741,173,184,0,0,0,0,2020-11-16T15:48:17Z,45.11867,R+45,Kustoff +45,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47053,Gibson,21230,13999,26,28,Released as a separate subtotal as first report of the night,100,21230,>98%,>98% reported,edison,6,all,10676,16017,4817,222,174,10465,3306,123,105,2020-11-16T15:48:11Z,52.75553,R+53,Kustoff +53,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47075,Haywood,7061,0,10,11,Released as a separate subtotal as first report of the night,89,7927,89%,89% reported,edison,2,unknown,4957,3343,3581,81,56,0,0,0,0,2020-11-16T15:48:12Z,,–,–,"",TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47079,Henry,14177,0,12,13,Other,95,14980,95%,95% reported,edison,2,unknown,8915,10161,2891,983,142,0,0,0,0,2020-11-16T15:48:12Z,51.28024,R+51,Kustoff +51,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47095,Lake,1904,0,2,3,"Released as first report, then NOT included in cumulative results",83,2285,83%,83% reported,edison,2,unknown,1301,1399,458,27,20,0,0,0,0,2020-11-16T15:48:12Z,49.42227,R+49,Kustoff +49,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
47097,Lauderdale,8115,0,9,10,Released as a separate subtotal as first report of the night,87,9370,87%,87% reported,edison,2,unknown,5858,5457,2458,134,66,0,0,0,0,2020-11-16T15:48:13Z,36.95625,R+37,Kustoff +37,republican,TN-G-H-8-2020-11-03,tn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",331251,50548,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,224,238,94% reporting,94%,96,345000,edison,96%,96% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,39.06041,129388,R+39,Kustoff +39,republican,"","",0,0,1604456292138
