fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_carrollb,results_simmonsj,results_blankenshipd,results_boddiep,results_hammonsb,results_hoeflingt,results_pierceb,results_la_rivag,results_kennedya,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_carrollb,results_absentee_simmonsj,results_absentee_blankenshipd,results_absentee_boddiep,results_absentee_hammonsb,results_absentee_hoeflingt,results_absentee_pierceb,results_absentee_la_rivag,results_absentee_kennedya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
22001,Acadia,28425,9524,55,55,Released as a separate subtotal as first report of the night,100,28425,>98%,>98% reported,edison,10,all,,7053,,,22596,5443,241,45,25,18,16,12,8,8,6,4,3,7254,2166,65,9,5,4,4,6,2,4,3,1,1,2020-11-22T20:52:24Z,60.34477,R+60,Trump +60,republican,60.34477,27389,56.7,26835,49.83,louisiana,2020-11-23T00:44:26.001880Z
22003,Allen,9810,3084,29,29,Released as a separate subtotal as first report of the night,100,9810,>98%,>98% reported,edison,10,all,,2045,,,7574,2108,73,15,11,13,6,2,1,3,3,1,0,2239,814,17,3,2,3,4,0,0,1,1,0,0,2020-11-22T20:52:42Z,55.71865,R+56,Trump +56,republican,55.71865,9245,51.5,9307,41.67,louisiana,2020-11-23T00:44:26.001880Z
22005,Ascension,62325,34173,74,74,Released as a separate subtotal as first report of the night,100,62325,>98%,>98% reported,edison,10,all,,14310,,,40687,20399,816,134,89,46,20,32,16,19,28,26,13,21335,12346,307,49,40,19,10,21,4,11,13,10,8,2020-11-22T20:53:02Z,32.55195,R+33,Trump +33,republican,32.55195,54678,36,51073,34.28,louisiana,2020-11-23T00:44:26.001880Z
22007,Assumption,11235,3562,28,28,Released as a separate subtotal as first report of the night,100,11235,>98%,>98% reported,edison,10,all,,1998,,,7271,3833,68,16,13,6,8,5,5,1,3,2,4,1916,1618,10,4,5,0,2,3,0,1,2,0,1,2020-11-22T20:53:15Z,30.6008,R+31,Trump +31,republican,30.6008,10904,25.5,10992,12.09,louisiana,2020-11-23T00:44:26.001880Z
22009,Avoyelles,17292,5372,49,49,Released as a separate subtotal as first report of the night,100,17292,>98%,>98% reported,edison,10,all,,3747,,,12028,4979,161,41,20,11,8,23,1,7,3,5,5,3481,1827,34,8,3,4,2,8,1,1,0,1,2,2020-11-22T20:53:30Z,40.76452,R+41,Trump +41,republican,40.76452,16586,37,17032,26.97,louisiana,2020-11-23T00:44:26.001880Z
22011,Beauregard,16357,6905,40,40,Released as a separate subtotal as first report of the night,100,16357,>98%,>98% reported,edison,10,all,,5218,,,13575,2542,172,13,18,13,6,6,3,5,1,3,0,5190,1634,51,4,9,5,3,1,2,3,0,3,0,2020-11-22T20:53:49Z,67.45124,R+67,Trump +67,republican,67.45124,15078,65.3,14225,58.24,louisiana,2020-11-23T00:44:26.001880Z
22013,Bienville,7050,2868,33,33,Released as a separate subtotal as first report of the night,100,7050,>98%,>98% reported,edison,10,all,,1723,,,3891,3067,49,12,7,3,4,10,1,1,3,1,1,1202,1632,18,4,1,2,0,4,1,0,2,1,1,2020-11-20T16:31:15Z,11.68794,R+12,Trump +12,republican,11.68794,7005,9,7203,2.1,louisiana,2020-11-23T00:44:26.001880Z
22015,Bossier,54655,28127,82,82,Released as a separate subtotal as first report of the night,100,54655,>98%,>98% reported,edison,10,all,,13582,,,38074,15662,632,82,40,38,31,22,12,19,15,19,9,19088,8708,228,18,16,17,11,10,7,11,4,4,5,2020-11-20T16:31:54Z,41.00631,R+41,Trump +41,republican,41.00631,49848,45.8,48562,45.37,louisiana,2020-11-23T00:44:26.001880Z
22017,Caddo,104912,29697,151,151,Released as a separate subtotal as first report of the night,100,104912,>98%,>98% reported,edison,10,all,,19390,,,48021,55110,1021,290,122,98,38,50,37,27,33,37,28,10760,18646,160,37,21,13,5,14,13,5,8,10,5,2020-11-20T16:32:25Z,6.75709,D+7,Biden +7,democrat,-6.75709,105804,-4.2,111765,-5,louisiana,2020-11-23T00:44:26.001880Z
22019,Calcasieu,82663,47022,123,123,Released as a separate subtotal as first report of the night,100,82663,>98%,>98% reported,edison,10,all,,21757,,,55066,25982,1083,164,89,79,36,30,24,38,27,26,19,29017,17287,474,57,39,42,16,19,13,23,11,17,7,2020-11-20T16:02:26Z,35.18382,R+35,Trump +35,republican,35.18382,83785,33.3,81726,28.74,louisiana,2020-11-23T00:44:26.001880Z
22021,Caldwell,4762,2246,19,19,Released as a separate subtotal as first report of the night,100,4762,>98%,>98% reported,edison,10,all,,2117,,,3976,745,21,3,7,1,2,1,2,1,1,1,1,1865,364,8,1,4,1,1,0,1,1,0,0,0,2020-11-20T16:40:00Z,67.84964,R+68,Trump +68,republican,67.84964,4692,64.7,4716,55.64,louisiana,2020-11-23T00:44:26.001880Z
22023,Cameron,4039,2471,14,14,Released as a separate subtotal as first report of the night,100,4039,>98%,>98% reported,edison,10,all,,1277,,,3671,324,23,5,2,6,0,1,2,2,0,1,2,2226,229,5,0,1,5,0,1,2,1,0,0,1,2020-11-20T16:02:48Z,82.86705,R+83,Trump +83,republican,82.86705,3692,79.4,3744,76.18,louisiana,2020-11-23T00:44:26.001880Z
22025,Catahoula,4858,1924,25,25,Released as a separate subtotal as first report of the night,100,4858,>98%,>98% reported,edison,10,all,,1659,,,3541,1269,26,5,7,2,1,3,0,2,1,0,1,1479,435,6,0,1,0,0,1,0,2,0,0,0,2020-11-20T16:40:38Z,46.76822,R+47,Trump +47,republican,46.76822,4856,44.4,4193,31.86,louisiana,2020-11-23T00:44:26.001880Z
22027,Claiborne,6580,3714,25,25,Released as a separate subtotal as first report of the night,100,6580,>98%,>98% reported,edison,10,all,,3258,,,3770,2731,29,12,9,6,4,8,0,2,4,4,1,2066,1614,12,3,2,4,4,4,0,1,2,2,0,2020-11-20T16:32:56Z,15.79027,R+16,Trump +16,republican,15.79027,6421,13.5,6732,9.43,louisiana,2020-11-23T00:44:26.001880Z
22029,Concordia,8828,3591,20,20,Released as a separate subtotal as first report of the night,100,8828,>98%,>98% reported,edison,10,all,,2875,,,5550,3177,64,5,14,1,5,3,2,2,4,0,1,2413,1159,14,0,1,0,1,0,1,0,1,0,1,2020-11-20T16:41:22Z,26.88038,R+27,Trump +27,republican,26.88038,8872,24.9,9380,17.24,louisiana,2020-11-23T00:44:26.001880Z
22031,DeSoto,14736,8584,37,37,Released as a separate subtotal as first report of the night,100,14736,>98%,>98% reported,edison,10,all,,4304,,,9112,5457,79,21,22,4,3,14,1,7,9,3,4,5061,3437,31,12,12,3,3,12,0,4,4,2,3,2020-11-20T16:33:26Z,24.8032,R+25,Trump +25,republican,24.8032,13500,21.5,13051,13.79,louisiana,2020-11-23T00:44:26.001880Z
22033,East Baton Rouge,208182,99645,329,329,Released as a separate subtotal as first report of the night,100,208182,>98%,>98% reported,edison,10,all,,54315,,,88420,115577,2440,619,329,219,76,103,84,82,77,111,45,39344,58971,808,137,99,60,28,38,31,28,28,56,17,2020-11-22T20:11:19Z,13.04484,D+13,Biden +13,democrat,-13.04484,196491,-9.2,198171,-5.23,louisiana,2020-11-23T00:44:26.001880Z
22035,East Carroll,3036,1612,17,17,Released as a separate subtotal as first report of the night,100,3036,>98%,>98% reported,edison,10,all,,1030,,,1080,1900,20,4,12,1,1,12,2,0,1,2,1,568,1022,4,2,6,0,0,6,0,0,1,2,1,2020-11-20T16:42:25Z,27.00922,D+27,Biden +27,democrat,-27.00922,2939,-26.5,4008,-24.2,louisiana,2020-11-23T00:44:26.001880Z
22037,East Feliciana,10509,5470,24,24,Released as a separate subtotal as first report of the night,100,10509,>98%,>98% reported,edison,10,all,,3672,,,6064,4280,89,16,10,6,14,11,4,6,4,5,0,2994,2415,30,4,1,2,8,4,2,4,2,4,0,2020-11-22T20:11:43Z,16.97593,R+17,Trump +17,republican,16.97593,10042,13.3,10209,7.34,louisiana,2020-11-23T00:44:26.001880Z
22039,Evangeline,15412,5161,56,56,Released as a separate subtotal as first report of the night,100,15412,>98%,>98% reported,edison,10,all,,5072,,,11053,4158,96,22,22,11,5,19,4,5,5,7,5,3388,1715,29,7,4,2,1,7,0,1,1,3,3,2020-11-20T16:34:19Z,44.73787,R+45,Trump +45,republican,44.73787,14882,41.3,15770,30.76,louisiana,2020-11-23T00:44:26.001880Z
22041,Franklin,9720,5057,24,24,Released as a separate subtotal as first report of the night,100,9720,>98%,>98% reported,edison,10,all,,4117,,,6970,2658,45,8,10,6,3,7,1,0,5,4,3,3750,1264,22,5,4,3,2,3,1,0,1,2,0,2020-11-22T19:58:21Z,44.36214,R+44,Trump +44,republican,44.36214,9162,43.7,9336,36.13,louisiana,2020-11-23T00:44:26.001880Z
22043,Grant,9392,3013,34,34,Released as a separate subtotal as first report of the night,100,9392,>98%,>98% reported,edison,10,all,,2424,,,8117,1157,79,5,10,6,7,2,1,3,4,1,0,2396,597,6,4,2,2,2,1,0,1,2,0,0,2020-11-22T19:59:13Z,74.10562,R+74,Trump +74,republican,74.10562,8821,70.6,8667,65.31,louisiana,2020-11-23T00:44:26.001880Z
22045,Iberia,32713,14577,64,64,Released as a separate subtotal as first report of the night,100,32713,>98%,>98% reported,edison,10,all,,10381,,,21251,11027,253,60,30,23,10,20,5,10,11,8,5,9019,5424,81,10,5,8,5,8,1,6,4,4,2,2020-11-20T16:03:17Z,31.25363,R+31,Trump +31,republican,31.25363,32454,31.4,33397,26.23,louisiana,2020-11-23T00:44:26.001880Z
