fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tubervillet,results_jonesd,results_write_ins,results_absentee_tubervillet,results_absentee_jonesd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
01001,Autauga,27578,0,19,19,Released as a precinct as first report of the night,100,25781,>98%,>98% reported,edison,2,unknown,,1896,,,19320,8215,43,0,0,0,2020-11-16T15:48:19Z,40.2676,R+40,Tuberville +40,republican,alabama,2020-11-23T00:46:36.666785Z
01003,Baldwin,108617,0,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100,106641,>98%,>98% reported,edison,4,some,,6293,,,79737,28656,224,0,0,0,2020-11-16T15:48:20Z,47.02855,R+47,Tuberville +47,republican,alabama,2020-11-23T00:46:36.666785Z
01005,Barbour,10419,0,15,17,Released as a precinct as first report of the night,100,10457,>98%,>98% reported,edison,6,all,,1554,,,5434,4976,9,0,0,0,2020-11-16T15:48:20Z,4.39582,R+4,Tuberville +4,republican,alabama,2020-11-23T00:46:36.666785Z
01007,Bibb,9559,570,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9104,>98%,>98% reported,edison,2,unknown,,410,,,7306,2236,17,336,234,0,2020-11-16T15:48:21Z,53.03902,R+53,Tuberville +53,republican,alabama,2020-11-23T00:46:36.666785Z
01009,Blount,27376,0,24,25,"As a precinct in the FIRST cumulative report, along with regular precincts",100,27459,>98%,>98% reported,edison,6,all,,1181,,,24049,3274,53,0,0,0,2020-11-16T15:48:21Z,75.88764,R+76,Tuberville +76,republican,alabama,2020-11-23T00:46:36.666785Z
01011,Bullock,4591,0,14,16,Released as a precinct as first report of the night,100,4603,>98%,>98% reported,edison,6,none,,557,,,1105,3484,2,0,0,0,2020-11-16T15:48:21Z,51.81878,D+52,Jones +52,democrat,alabama,2020-11-23T00:46:36.666785Z
01013,Butler,9414,1045,22,23,Released as a precinct as first report of the night,99,9466,>98%,>98% reported,edison,6,all,,4735,,,5223,4180,11,419,626,0,2020-11-16T15:48:22Z,11.07924,R+11,Tuberville +11,republican,alabama,2020-11-23T00:46:36.666785Z
01015,Calhoun,50578,0,42,45,Released with cumulative results periodically election night,100,49412,>98%,>98% reported,edison,2,unknown,,1917,,,33797,16704,77,0,0,0,2020-11-16T15:48:22Z,33.79533,R+34,Tuberville +34,republican,alabama,2020-11-23T00:46:36.666785Z
01017,Chambers,15219,0,21,21,Released as a precinct as first report of the night,100,15083,>98%,>98% reported,edison,2,unknown,,883,,,8307,6898,14,0,0,0,2020-11-16T15:47:38Z,9.25816,R+9,Tuberville +9,republican,alabama,2020-11-23T00:46:36.666785Z
01019,Cherokee,12224,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,12275,>98%,>98% reported,edison,6,all,,800,,,10102,2105,17,0,0,0,2020-11-16T15:47:42Z,65.42048,R+65,Tuberville +65,republican,alabama,2020-11-23T00:46:36.666785Z
01021,Chilton,19179,0,18,19,"As a subtotal in the FIRST cumulative report, along with regular precincts",98,19581,98%,98% reported,edison,2,some,,1819,,,15676,3481,22,0,0,0,2020-11-16T15:47:43Z,63.58517,R+64,Tuberville +64,republican,alabama,2020-11-23T00:46:36.666785Z
