fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_guthrieb,results_lindermanh,results_perryr,results_carterl,results_write_ins,results_absentee_guthrieb,results_absentee_lindermanh,results_absentee_perryr,results_absentee_carterl,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
21009,Barren,19805,15819,25,25,Merged into voters' home precincts and released with cumulative results,100,19805,>98%,>98% reported,edison,10,all,1384,15268,4074,309,153,1,12015,3483,205,116,0,2020-11-23T01:31:03Z,56.52108,R+57,Guthrie +57,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21021,Boyle,14223,10388,25,25,Merged into voters' home precincts and released with cumulative results,100,14223,>98%,>98% reported,edison,10,some,1078,9044,4805,285,89,0,6378,3780,168,62,0,2020-11-23T01:31:16Z,29.80384,R+30,Guthrie +30,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21027,Breckinridge,9991,7064,16,16,None,100,9991,>98%,>98% reported,edison,10,all,874,7821,1909,184,77,0,5311,1596,104,53,0,2020-11-23T14:34:42Z,59.17326,R+59,Guthrie +59,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21029,Bullitt,41286,0,47,47,Released as a precinct as first report of the night,100,41286,>98%,>98% reported,edison,10,all,1784,30285,9770,968,263,0,0,0,0,0,0,2020-11-23T14:34:57Z,49.68997,R+50,Guthrie +50,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21031,Butler,6075,1018,12,12,Merged into voters' home precincts and released with cumulative results,100,6075,>98%,>98% reported,edison,10,all,483,5137,819,88,31,0,638,362,11,7,0,2020-11-23T14:35:08Z,71.07819,R+71,Guthrie +71,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21059,Daviess,48683,0,57,57,Released as a separate subtotal as first report of the night,100,48683,>98%,>98% reported,edison,10,all,3053,32385,14835,1088,375,0,0,0,0,0,0,2020-11-23T01:32:33Z,36.04955,R+36,Guthrie +36,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21061,Edmonson,6062,0,8,8,Merged into voters' home precincts and released with cumulative results,100,6062,>98%,>98% reported,edison,10,all,496,4992,953,94,23,0,0,0,0,0,0,2020-11-23T01:32:44Z,66.62818,R+67,Guthrie +67,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21079,Garrard,8509,0,14,14,Other,100,8509,>98%,>98% reported,edison,10,all,571,6713,1593,170,33,0,0,0,0,0,0,2020-11-23T01:33:00Z,60.17158,R+60,Guthrie +60,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21085,Grayson,11836,3454,22,22,Released as a separate subtotal as first report of the night,100,11836,>98%,>98% reported,edison,10,all,773,9620,1915,221,79,1,2170,1207,51,26,0,2020-11-23T01:33:13Z,65.09801,R+65,Guthrie +65,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21087,Green,5689,0,10,10,Released as a precinct as first report of the night,100,5689,>98%,>98% reported,edison,10,all,848,4832,744,84,29,0,0,0,0,0,0,2020-11-23T01:33:25Z,71.85797,R+72,Guthrie +72,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360399,87265,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,545,545,100% reporting,100%,100,360399,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:07Z,TRUE,44.69824,161092,R+45,Guthrie +45,republican,"","",3,0,1604449875973
