fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_massiet,results_owensbya,results_write_ins,results_absentee_massiet,results_absentee_owensbya,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
21015,Boone,66315,39098,63,63,"As a precinct in the FIRST cumulative report, along with regular precincts",100,66315,>98%,>98% reported,edison,10,all,5563,46330,19985,0,25068,14030,0,2020-11-23T14:33:16Z,39.72706,R+40,Massie +40,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21019,Boyd,16818,0,38,38,Merged into voters' home precincts and released with cumulative results,100,16818,>98%,>98% reported,edison,10,all,1979,10732,6086,0,0,0,0,2020-11-23T02:46:26Z,27.62516,R+28,Massie +28,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21023,Bracken,4197,1952,8,8,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4197,>98%,>98% reported,edison,10,all,493,3354,843,0,1424,528,0,2020-11-23T01:38:53Z,59.82845,R+60,Massie +60,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21037,Campbell,48313,0,67,67,Released as a precinct as first report of the night,100,48313,>98%,>98% reported,edison,10,all,3285,29567,18746,0,0,0,0,2020-11-23T01:39:04Z,22.3977,R+22,Massie +22,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21041,Carroll,4053,868,11,11,Merged into voters' home precincts and released with cumulative results,100,4053,>98%,>98% reported,edison,10,unknown,261,2872,1181,0,502,366,0,2020-11-20T17:44:28Z,41.72218,R+42,Massie +42,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21077,Gallatin,3804,0,8,8,Merged into voters' home precincts and released with cumulative results,100,3804,>98%,>98% reported,edison,10,all,299,2931,873,0,0,0,0,2020-11-23T01:39:20Z,54.10095,R+54,Massie +54,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21081,Grant,10996,0,22,22,"As a precinct in the FIRST cumulative report, along with regular precincts",100,10996,>98%,>98% reported,edison,10,all,739,8705,2291,0,0,0,0,2020-11-23T01:39:28Z,58.3303,R+58,Massie +58,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21089,Greenup,17860,12876,29,29,Released as a precinct as first report of the night,100,17860,>98%,>98% reported,edison,10,all,1344,12842,5018,0,8763,4113,0,2020-11-23T01:39:37Z,43.80739,R+44,Massie +44,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21097,Harrison,5429,0,12,12,Merged into voters' home precincts and released with cumulative results,100,5429,>98%,>98% reported,edison,10,all,542,4102,1327,0,0,0,0,2020-11-23T02:57:02Z,51.11439,R+51,Massie +51,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
21103,Henry,7981,0,20,20,Merged into voters' home precincts and released with cumulative results,100,7981,>98%,>98% reported,edison,10,all,421,5808,2173,0,0,0,0,2020-11-23T01:39:55Z,45.54567,R+46,Massie +46,republican,KY-G-H-4-2020-11-03,ky-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382509,67459,8,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,552,552,100% reporting,100%,100,382509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:02:51Z,TRUE,34.17358,130717,R+34,Massie +34,republican,"","",3,0,1604450596986
