fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_rogersh,results_bestm,results_write_ins,results_absentee_rogersh,results_absentee_bestm,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
21013,Bell,9866,0,30,30,Merged into voters' home precincts and released with cumulative results,100,9866,>98%,>98% reported,edison,10,all,963,8428,1438,0,0,0,0,2020-11-23T02:46:17Z,70.84938,R+71,Rogers +71,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21019,Boyd,4515,0,10,10,Merged into voters' home precincts and released with cumulative results,100,4515,>98%,>98% reported,edison,10,all,1979,3315,1200,0,0,0,0,2020-11-23T02:46:25Z,46.84385,R+47,Rogers +47,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21025,Breathitt,5580,1444,21,21,Released as a separate subtotal as first report of the night,100,5580,>98%,>98% reported,edison,10,all,454,4428,1145,7,891,550,3,2020-11-23T14:34:20Z,58.83513,R+59,Rogers +59,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21043,Carter,11260,0,26,26,Released as a separate subtotal as first report of the night,100,11260,>98%,>98% reported,edison,10,all,899,8506,2754,0,0,0,0,2020-11-23T02:46:42Z,51.08348,R+51,Rogers +51,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21051,Clay,7540,0,20,20,Merged into voters' home precincts and released with cumulative results,100,7540,>98%,>98% reported,edison,10,all,659,6842,698,0,0,0,0,2020-11-23T02:46:52Z,81.48541,R+81,Rogers +81,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21063,Elliott,2900,584,7,7,None,100,2900,>98%,>98% reported,edison,10,all,344,2070,830,0,265,319,0,2020-11-23T02:47:18Z,42.75862,R+43,Rogers +43,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21071,Floyd,16245,3986,42,42,Released as a precinct as first report of the night,100,16245,>98%,>98% reported,edison,10,all,981,12980,3265,0,2360,1626,0,2020-11-23T02:47:29Z,59.80302,R+60,Rogers +60,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21095,Harlan,10860,0,32,32,None,100,10860,>98%,>98% reported,edison,10,all,586,9554,1306,0,0,0,0,2020-11-23T02:47:40Z,75.94843,R+76,Rogers +76,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21109,Jackson,6050,1183,14,14,Released as a separate subtotal as first report of the night,100,6050,>98%,>98% reported,edison,10,all,666,5556,494,0,928,255,0,2020-11-23T02:48:03Z,83.66942,R+84,Rogers +84,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21115,Johnson,10138,2253,31,31,Released as a separate subtotal as first report of the night,100,10138,>98%,>98% reported,edison,10,all,992,8862,1276,0,1611,642,0,2020-11-23T02:48:14Z,74.82738,R+75,Rogers +75,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21119,Knott,6181,0,30,30,Other,100,6181,>98%,>98% reported,edison,10,all,376,4920,1261,0,0,0,0,2020-11-23T02:48:28Z,59.19754,R+59,Rogers +59,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21121,Knox,13124,2455,30,30,"Released as first report, then NOT included in cumulative results",100,13124,>98%,>98% reported,edison,10,all,1179,11523,1601,0,1723,732,0,2020-11-23T02:48:56Z,75.60195,R+76,Rogers +76,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21125,Laurel,28036,0,45,45,Released as a precinct as first report of the night,100,28036,>98%,>98% reported,edison,10,all,2752,24267,3769,0,0,0,0,2020-11-23T02:49:15Z,73.11314,R+73,Rogers +73,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21127,Lawrence,6835,0,18,18,None,100,6835,>98%,>98% reported,edison,10,all,506,5658,1177,0,0,0,0,2020-11-23T02:49:25Z,65.55962,R+66,Rogers +66,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
21129,Lee,2766,0,10,10,Merged into voters' home precincts and released with cumulative results,100,2766,>98%,>98% reported,edison,10,all,299,2366,400,0,0,0,0,2020-11-23T02:49:47Z,71.07737,R+71,Rogers +71,republican,KY-G-H-5-2020-11-03,ky-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",297977,33480,11,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,734,734,100% reporting,100%,100,297977,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:22Z,TRUE,68.41401,203858,R+68,Rogers +68,republican,"","",3,0,1604446196365
