fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_barra,results_hicksj,results_harrisf,results_write_ins,results_absentee_barra,results_absentee_hicksj,results_absentee_harrisf,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
21005,Anderson,13256,2510,14,14,Released as a precinct as first report of the night,100,13256,>98%,>98% reported,edison,10,all,690,9755,3320,181,0,1096,1376,38,0,2020-11-23T02:55:29Z,48.54406,R+49,Barr +49,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21011,Bath,5619,0,12,12,Released as a precinct as first report of the night,100,5619,>98%,>98% reported,edison,10,unknown,570,3873,1667,79,,0,0,0,,2020-11-20T17:32:45Z,39.25965,R+39,Barr +39,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21017,Bourbon,9653,0,16,16,Merged into voters' home precincts and released with cumulative results,100,9653,>98%,>98% reported,edison,10,all,674,6463,3013,177,0,0,0,0,0,2020-11-23T02:55:48Z,35.74018,R+36,Barr +36,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21049,Clark,18068,0,26,26,Released as a precinct as first report of the night,100,18068,>98%,>98% reported,edison,10,unknown,1064,12163,5582,323,0,0,0,0,0,2020-11-20T17:46:39Z,36.42351,R+36,Barr +36,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21065,Estill,6531,0,15,15,Merged into voters' home precincts and released with cumulative results,100,6531,>98%,>98% reported,edison,10,all,485,5125,1336,70,0,0,0,0,0,2020-11-23T02:56:07Z,58.01562,R+58,Barr +58,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21067,Fayette,153156,83672,286,286,Released as a precinct as first report of the night,100,153156,>98%,>98% reported,edison,10,all,8515,69170,81436,2550,0,27628,55015,1029,0,2020-11-23T02:56:31Z,8.00883,D+8,Hicks +8,democrat,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21069,Fleming,7059,0,18,18,None,100,7059,>98%,>98% reported,edison,10,all,496,5077,1902,80,0,0,0,0,0,2020-11-23T02:56:41Z,44.97804,R+45,Barr +45,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21073,Franklin,26102,0,44,44,Other,100,26102,>98%,>98% reported,edison,10,all,1779,13691,11855,556,0,0,0,0,0,2020-11-23T02:56:53Z,7.03394,R+7,Barr +7,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21097,Harrison,3351,0,7,7,Merged into voters' home precincts and released with cumulative results,100,3351,>98%,>98% reported,edison,10,all,542,2272,1020,59,0,0,0,0,0,2020-11-23T02:57:02Z,37.36198,R+37,Barr +37,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
21113,Jessamine,18548,0,25,25,Merged into voters' home precincts and released with cumulative results,100,18548,>98%,>98% reported,edison,10,all,1824,12593,5668,287,0,0,0,0,0,2020-11-23T02:57:11Z,37.33556,R+37,Barr +37,republican,KY-G-H-6-2020-11-03,ky-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",378450,93049,5,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,628,628,100% reporting,100%,100,378450,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-23T03:03:43Z,TRUE,16.36597,61937,R+16,Barr +16,republican,"","",3,0,1604455755508
