fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_letlowl,results_harrisl,results_christophec,results_lemellem,results_guillorya,results_robinsons,results_hastym,results_snowdenp,results_lagardej,results_absentee_letlowl,results_absentee_harrisl,results_absentee_christophec,results_absentee_lemellem,results_absentee_guillorya,results_absentee_robinsons,results_absentee_hastym,results_absentee_snowdenp,results_absentee_lagardej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
22009,Avoyelles,15556,4957,49,49,Released as a separate subtotal as first report of the night,100,15556,>98%,>98% reported,edison,10,all,3747,5483,3466,2406,1187,1098,689,557,347,323,1618,971,978,404,366,201,173,145,101,2020-11-22T20:53:30Z,12.96606,R+13,Letlow +13,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22021,Caldwell,4441,2138,19,19,Released as a separate subtotal as first report of the night,100,4441,>98%,>98% reported,edison,10,all,2117,2550,408,306,196,360,323,159,85,54,1267,188,149,95,155,165,57,40,22,2020-11-23T00:59:05Z,48.23238,R+48,Letlow +48,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22025,Catahoula,4540,1840,25,25,Released as a separate subtotal as first report of the night,100,4540,>98%,>98% reported,edison,10,all,1659,2314,505,720,258,288,145,166,61,83,1006,204,264,70,110,75,53,21,37,2020-11-23T00:59:43Z,35.11013,R+35,Letlow +35,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22029,Concordia,8067,3373,20,20,Released as a separate subtotal as first report of the night,100,8067,>98%,>98% reported,edison,10,all,2875,3611,640,1236,981,598,277,228,306,190,1631,282,508,322,243,116,85,108,78,2020-11-23T01:00:26Z,29.44093,R+29,Letlow +29,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22035,East Carroll,2724,1480,17,17,Released as a separate subtotal as first report of the night,100,2724,>98%,>98% reported,edison,10,all,1030,819,152,707,567,68,78,41,168,124,454,72,392,320,22,39,17,99,65,2020-11-23T01:01:27Z,4.1116,R+4,Letlow +4,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22037,East Feliciana,4667,2554,12,12,Released as a separate subtotal as first report of the night,100,4667,>98%,>98% reported,edison,10,all,3672,903,399,1705,274,618,202,218,184,164,518,221,1026,115,318,110,89,84,73,2020-11-23T01:01:48Z,,–,–,"",LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22041,Franklin,9122,4756,24,24,Released as a separate subtotal as first report of the night,100,9122,>98%,>98% reported,edison,10,all,4117,5435,654,1111,704,334,357,163,190,174,2992,304,580,274,156,201,80,87,82,2020-11-23T01:02:34Z,47.40189,R+47,Letlow +47,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22043,Grant,8787,2851,34,34,Released as a separate subtotal as first report of the night,100,8787,>98%,>98% reported,edison,10,all,2424,2513,3482,695,165,803,318,611,117,83,802,1062,361,77,232,102,126,52,37,2020-11-23T01:02:53Z,11.02765,R+11,Harris +11,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22049,Jackson,7203,3387,31,31,Released as a separate subtotal as first report of the night,100,7203,>98%,>98% reported,edison,10,all,2581,2791,830,819,973,532,667,372,127,92,1274,345,448,549,196,324,144,57,50,2020-11-23T01:03:57Z,25.23948,R+25,Letlow +25,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
22059,LaSalle,6664,3121,24,24,Released as a separate subtotal as first report of the night,100,6664,>98%,>98% reported,edison,10,all,2909,3761,1265,387,98,518,247,275,57,56,1836,577,205,33,202,110,111,28,19,2020-11-23T01:05:43Z,37.45498,R+37,Letlow +37,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,134652,24,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,824,824,100% reporting,100%,100,309556,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-22T20:50:50Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1605726297824
