fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mceachind,results_benjaminl,results_absentee_mceachind,results_absentee_benjaminl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
51036,Charles City,4365,2805,4,4,Released separately AFTER election night,100,4365,>98%,>98% reported,edison,10,unknown,611,2640,1725,2023,782,2020-11-22T15:08:44Z,20.9622,D+21,McEachin +21,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51550,Chesapeake,70117,49836,35,35,"As a precinct in the FIRST cumulative report, along with regular precincts",100,70117,>98%,>98% reported,edison,10,none,15226,30515,39602,25423,24413,2020-11-22T15:09:09Z,12.95977,R+13,Benjamin +13,republican,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51041,Chesterfield,54845,37877,23,23,Released as a precinct at the end of tabulation,100,54845,>98%,>98% reported,edison,10,all,17975,26781,28064,20817,17060,2020-11-22T19:19:10Z,2.33932,R+2,Benjamin +2,republican,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51570,Colonial Heights,8927,5620,6,6,Released as a separate subtotal at the end of tabulation,100,8927,>98%,>98% reported,edison,10,unknown,1209,3052,5875,2121,3499,2020-11-22T15:10:11Z,31.62317,R+32,Benjamin +32,republican,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51053,Dinwiddie,14783,8144,14,14,None,100,14783,>98%,>98% reported,edison,10,all,1542,6288,8495,4263,3881,2020-11-22T14:21:40Z,14.92931,R+15,Benjamin +15,republican,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51595,Emporia,2302,1010,8,8,Merged into voters' home precincts and released with cumulative results,100,2302,>98%,>98% reported,edison,10,all,2367,1574,728,776,234,2020-11-22T15:11:51Z,36.75065,D+37,McEachin +37,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51081,Greensville,4452,1954,10,10,Merged into voters' home precincts and released with cumulative results,100,4452,>98%,>98% reported,edison,10,all,4363,2643,1809,1331,623,2020-11-22T14:27:31Z,18.73315,D+19,McEachin +19,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51087,Henrico,47238,29020,24,24,Released as a precinct at the end of tabulation,100,47238,>98%,>98% reported,edison,10,unknown,17095,36224,11014,24720,4300,2020-11-22T15:18:04Z,53.36805,D+53,McEachin +53,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51670,Hopewell,9468,5335,8,8,Released as a precinct at the end of tabulation,100,9468,>98%,>98% reported,edison,10,unknown,788,5552,3916,3433,1902,2020-11-22T16:29:22Z,17.27926,D+17,McEachin +17,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51730,Petersburg,13813,9149,8,8,Released as a precinct in the middle of the night,100,13813,>98%,>98% reported,edison,10,unknown,2313,12172,1641,8274,875,2020-11-22T15:28:01Z,76.23977,D+76,McEachin +76,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",390767,250109,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,265,265,100% reporting,100%,100,390767,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-22T19:49:42Z,TRUE,23.41984,91517,D+23,McEachin +23,democrat,"","",3,0,1604497369632
