fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_write_ins,results_carrollb,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_write_ins,results_absentee_carrollb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
55001,Adams,11818,0,20,20,Merged into voters' home precincts and released with cumulative results,100,11818,>98%,>98% reported,edison,10,unknown,,2010,,,4329,7362,85,27,12,3,0,0,0,0,0,0,2020-11-16T15:48:14Z,25.66424,R+26,Trump +26,republican,25.66424,10130,21.9,10287,-8.73,wisconsin,2020-11-24T00:45:52.467869Z
55003,Ashland,8757,0,17,17,Merged into voters' home precincts and released with cumulative results,100,8757,>98%,>98% reported,edison,10,unknown,,1553,,,4801,3841,70,11,23,11,0,0,0,0,0,0,2020-11-16T15:48:14Z,10.96266,D+11,Biden +11,democrat,-10.96266,8032,-11.5,8372,-30.81,wisconsin,2020-11-24T00:45:52.467869Z
55005,Barron,25346,0,36,36,Merged into voters' home precincts and released with cumulative results,100,25346,>98%,>98% reported,edison,10,unknown,,4648,,,9194,15803,262,37,29,21,0,0,0,0,0,0,2020-11-16T15:48:15Z,26.07512,R+26,Trump +26,republican,26.07512,22671,25.3,22692,2.44,wisconsin,2020-11-24T00:45:52.467869Z
55007,Bayfield,10880,0,29,29,Merged into voters' home precincts and released with cumulative results,100,10880,>98%,>98% reported,edison,10,unknown,,2054,,,6147,4617,80,11,12,13,0,0,0,0,0,0,2020-11-16T15:48:15Z,14.0625,D+14,Biden +14,democrat,-14.0625,9612,-8.6,9788,-24.83,wisconsin,2020-11-24T00:45:52.467869Z
55009,Brown,144017,0,95,95,Merged into voters' home precincts and released with cumulative results,100,144017,>98%,>98% reported,edison,10,unknown,,55945,,,65511,75871,1829,215,385,206,0,0,0,0,0,0,2020-11-17T18:02:43Z,7.1936,R+7,Trump +7,republican,7.1936,129011,10.7,128928,1.79,wisconsin,2020-11-24T00:45:52.467869Z
55011,Buffalo,7816,0,23,23,Merged into voters' home precincts and released with cumulative results,100,7816,>98%,>98% reported,edison,10,unknown,,1338,,,2860,4834,80,20,12,10,0,0,0,0,0,0,2020-11-16T15:48:16Z,25.25589,R+25,Trump +25,republican,25.25589,6981,21.8,7039,-2.93,wisconsin,2020-11-24T00:45:52.467869Z
55013,Burnett,10141,0,24,24,Merged into voters' home precincts and released with cumulative results,100,10141,>98%,>98% reported,edison,10,all,,1150,,,3569,6462,86,13,2,9,0,0,0,0,0,0,2020-11-16T15:48:17Z,28.52776,R+29,Trump +29,republican,28.52776,8738,28.2,8677,6.5,wisconsin,2020-11-24T00:45:52.467869Z
55015,Calumet,30774,0,36,36,Merged into voters' home precincts and released with cumulative results,100,30774,>98%,>98% reported,edison,10,unknown,,10174,,,12116,18156,363,42,22,75,0,0,0,0,0,0,2020-11-16T15:48:17Z,19.62696,R+20,Trump +20,republican,19.62696,26595,21.5,26420,11.54,wisconsin,2020-11-24T00:45:52.467869Z
55017,Chippewa,35938,0,47,47,Merged into voters' home precincts and released with cumulative results,100,35938,>98%,>98% reported,edison,10,some,,5366,,,13983,21317,501,60,32,45,0,0,0,0,0,0,2020-11-17T18:07:59Z,20.40737,R+20,Trump +20,republican,20.40737,31568,19.1,30932,0.27,wisconsin,2020-11-24T00:45:52.467869Z
55019,Clark,14898,0,51,51,Merged into voters' home precincts and released with cumulative results,100,14898,>98%,>98% reported,edison,10,unknown,,1937,,,4524,10002,168,32,25,147,0,0,0,0,0,0,2020-11-16T15:48:18Z,36.77004,R+37,Trump +37,republican,36.77004,13673,32.4,13801,8.98,wisconsin,2020-11-24T00:45:52.467869Z
55021,Columbia,33869,0,40,40,Merged into voters' home precincts and released with cumulative results,100,33869,>98%,>98% reported,edison,10,unknown,,8394,,,16410,16927,421,61,18,32,0,0,0,0,0,0,2020-11-16T19:13:52Z,1.52647,R+1.5,Trump +1.5,republican,1.52647,29698,2.1,30546,-13.58,wisconsin,2020-11-24T00:45:52.467869Z
