fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_banksj,results_coldironc,results_absentee_banksj,results_absentee_coldironc,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
18001,Adams,13999,1307,25,25,Released as a separate subtotal as first report of the night,100,13998,>98%,>98% reported,edison,6,some,7625,10954,3045,765,542,2020-11-24T13:23:25Z,56.49689,R+56,Banks +56,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18003,Allen,166545,31085,292,292,Merged into voters' home precincts and released with cumulative results,100,163648,>98%,>98% reported,edison,4,some,79356,98427,68118,18766,12319,2020-11-24T13:23:20Z,18.19869,R+18,Banks +18,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18009,Blackford,1167,0,3,3,Merged into voters' home precincts and released with cumulative results,98,1187,98%,98% reported,edison,2,some,4640,918,249,0,0,2020-11-24T13:23:25Z,57.32648,R+57,Banks +57,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18033,DeKalb,19321,12480,39,39,Released as a separate subtotal as first report of the night,100,19321,>98%,>98% reported,edison,6,all,10371,14630,4691,9013,3467,2020-11-24T13:23:21Z,51.44144,R+51,Banks +51,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18069,Huntington,17550,0,36,37,Released as a precinct as first report of the night,100,17037,>98%,>98% reported,edison,2,unknown,9828,13586,3964,0,0,2020-11-24T13:23:25Z,54.82621,R+55,Banks +55,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18075,Jay,8280,4898,18,18,Released as a separate subtotal as first report of the night,100,8280,>98%,>98% reported,edison,6,all,5825,6399,1881,3605,1293,2020-11-24T13:23:26Z,54.56522,R+55,Banks +55,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18085,Kosciusko,22436,0,48,48,Merged into voters' home precincts and released with cumulative results,100,22407,>98%,>98% reported,edison,6,all,11537,17322,5114,0,0,2020-11-24T13:23:21Z,54.41255,R+54,Banks +54,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18087,LaGrange,10441,0,16,16,Merged into voters' home precincts and released with cumulative results,98,10691,98%,98% reported,edison,2,unknown,3360,8318,2123,0,0,2020-11-24T13:23:22Z,59.3334,R+59,Banks +59,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18113,Noble,18843,0,29,29,None,100,18843,>98%,>98% reported,edison,6,all,7676,14461,4382,0,0,2020-11-24T13:23:22Z,53.48936,R+53,Banks +53,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18151,Steuben,15905,8135,23,23,None,100,15896,>98%,>98% reported,edison,6,all,6699,11809,4096,5394,2741,2020-11-24T13:23:23Z,48.49418,R+48,Banks +48,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18179,Wells,13933,0,22,22,Released as a separate subtotal as first report of the night,100,13933,>98%,>98% reported,edison,6,all,7625,10916,3017,0,0,2020-11-24T13:23:26Z,56.69274,R+57,Banks +57,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
18183,Whitley,17331,8928,34,34,Released as a separate subtotal as first report of the night,100,16570,>98%,>98% reported,edison,4,unknown,9132,13249,4082,6221,2707,2020-11-24T13:23:24Z,52.89366,R+53,Banks +53,republican,IN-G-H-3-2020-11-03,in-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",325751,66833,6,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,585,586,99% reporting,99%,100,327000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:23Z,TRUE,35.67971,116227,R+36,Banks +36,republican,FALSE,"","",0,0,1604450222191
