fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_thompsonb,results_flowersb,results_write_ins,results_absentee_thompsonb,results_absentee_flowersb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
28007,Attala,8703,0,20,20,Merged into voters' home precincts and released with cumulative results,100,8703,>98%,>98% reported,edison,10,unknown,476,3764,4931,8,0,0,0,2020-11-24T13:23:57Z,13.40917,R+13,Flowers +13,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28011,Bolivar,13501,0,28,28,None,100,13501,>98%,>98% reported,edison,10,unknown,410,9132,4367,2,0,0,0,2020-11-24T13:23:58Z,35.29368,D+35,Thompson +35,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28015,Carroll,5613,0,14,14,None,97,5772,97%,97% reported,edison,4,unknown,342,1923,3681,9,0,0,0,2020-11-24T13:23:58Z,31.32015,R+31,Flowers +31,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28021,Claiborne,4430,0,11,11,Released as a separate subtotal at the end of tabulation,100,4430,>98%,>98% reported,edison,10,unknown,776,3854,572,4,0,0,0,2020-11-24T13:23:58Z,74.08578,D+74,Thompson +74,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28027,Coahoma,8432,0,18,18,Merged into voters' home precincts and released with cumulative results,100,8432,>98%,>98% reported,edison,10,unknown,,6234,2194,4,0,0,0,2020-11-24T13:23:58Z,47.91271,D+48,Thompson +48,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28029,Copiah,12665,0,19,19,None,100,12665,>98%,>98% reported,edison,10,unknown,542,6710,5947,8,0,0,0,2020-11-24T13:23:58Z,6.02448,D+6,Thompson +6,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28043,Grenada,10696,0,13,13,None,97,10976,97%,97% reported,edison,2,unknown,1570,5099,5597,0,0,0,0,2020-11-24T13:24:03Z,4.65595,R+5,Flowers +5,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28049,Hinds,85669,0,93,93,Merged into voters' home precincts and released with cumulative results,95,89948,95%,95% reported,edison,2,none,2988,66151,19418,100,0,0,0,2020-11-24T13:23:59Z,54.55065,D+55,Thompson +55,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28051,Holmes,7920,0,15,15,None,100,6332,>98%,>98% reported,edison,6,unknown,726,6671,1249,0,0,0,0,2020-11-24T13:23:59Z,68.4596,D+68,Thompson +68,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
28053,Humphreys,4089,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4089,>98%,>98% reported,edison,10,unknown,214,3095,990,4,0,0,0,2020-11-24T13:23:59Z,51.47958,D+51,Thompson +51,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",297571,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,491,491,100% reporting,100%,93,321000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-24T13:23:55Z,TRUE,32.02395,95294,D+32,Thompson +32,democrat,FALSE,"","",7,0,1604459127305
