fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_tittles,results_la_rivag,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_tittles,results_absentee_la_rivag,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
35001,Bernalillo,317590,0,608,608,Released as a separate subtotal as first report of the night,100,315332,>98%,>98% reported,edison,6,all,,298190,,,193757,116135,4829,1614,629,626,0,0,0,0,0,0,2020-11-24T13:22:27Z,24.44095,D+24,Biden +24,democrat,-24.44095,274662,-17.7,270969,-16.36,new-mexico,2020-11-25T00:45:56.395382Z
35003,Catron,2326,0,9,9,Released as a precinct as first report of the night,100,2284,>98%,>98% reported,edison,6,unknown,,1475,,,595,1698,17,7,6,3,0,0,0,0,0,0,2020-11-24T13:22:29Z,47.42046,R+47,Trump +47,republican,47.42046,2049,50.6,2123,43.99,new-mexico,2020-11-25T00:45:56.395382Z
35005,Chaves,22443,0,61,63,Released as a separate subtotal as first report of the night,100,22306,>98%,>98% reported,edison,6,all,,18822,,,6381,15656,268,70,40,28,0,0,0,0,0,0,2020-11-24T13:22:31Z,41.32692,R+41,Trump +41,republican,41.32692,20271,36.2,20292,31.95,new-mexico,2020-11-25T00:45:56.395382Z
35006,Cibola,8903,0,17,17,Released as a separate subtotal at the end of tabulation,100,8790,>98%,>98% reported,edison,2,unknown,,5168,,,4745,3975,99,49,16,19,0,0,0,0,0,0,2020-11-24T13:22:32Z,8.64877,D+9,Biden +9,democrat,-8.64877,8063,-6.8,8243,-23.81,new-mexico,2020-11-25T00:45:56.395382Z
35007,Colfax,6016,0,10,10,Released as a separate subtotal at the end of tabulation,91,6629,91%,91% reported,edison,2,unknown,,3562,,,2611,3271,87,25,9,13,0,0,0,0,0,0,2020-11-24T13:22:33Z,10.97074,R+11,Trump +11,republican,10.97074,5332,8.6,5764,-2.24,new-mexico,2020-11-25T00:45:56.395382Z
35009,Curry,15101,0,36,37,Released as a precinct at the end of tabulation,100,14812,>98%,>98% reported,edison,6,all,,10835,,,4307,10444,245,53,23,29,0,0,0,0,0,0,2020-11-24T13:22:34Z,40.63969,R+41,Trump +41,republican,40.63969,13370,44.2,13625,38.38,new-mexico,2020-11-25T00:45:56.395382Z
35011,DeBaca,901,0,3,4,Other,100,901,>98%,>98% reported,edison,6,unknown,,541,,,231,656,11,1,2,0,0,0,0,0,0,0,2020-11-24T13:22:34Z,47.16981,R+47,Trump +47,republican,47.16981,910,46.9,902,33.15,new-mexico,2020-11-25T00:45:56.395382Z
35013,Dona Ana,82642,0,170,170,Released as a separate subtotal as first report of the night,100,75339,>98%,>98% reported,edison,4,some,,55667,,,47958,32802,1129,415,178,160,0,0,0,0,0,0,2020-11-24T13:22:35Z,18.33934,D+18,Biden +18,democrat,-18.33934,70648,-17.8,66423,-14.78,new-mexico,2020-11-25T00:45:56.395382Z
35015,Eddy,23222,0,55,55,Merged into voters' home precincts and released with cumulative results,100,21193,>98%,>98% reported,edison,4,none,,14448,,,5424,17454,239,44,31,30,0,0,0,0,0,0,2020-11-24T13:22:36Z,51.80432,R+52,Trump +52,republican,51.80432,19667,41.3,19269,33.43,new-mexico,2020-11-25T00:45:56.395382Z
35017,Grant,14435,0,38,39,Released as a separate subtotal as first report of the night,98,14800,98%,98% reported,edison,2,unknown,,12286,,,7590,6553,159,98,16,19,0,0,0,0,0,0,2020-11-24T13:22:36Z,7.18393,D+7,Biden +7,democrat,-7.18393,12811,-7.7,12902,-13.42,new-mexico,2020-11-25T00:45:56.395382Z
35019,Guadalupe,2189,0,7,7,Released as a separate subtotal at the end of tabulation,100,2179,>98%,>98% reported,edison,6,unknown,,1781,,,1234,917,21,8,4,5,0,0,0,0,0,0,2020-11-24T13:22:38Z,14.4815,D+14,Biden +14,democrat,-14.4815,1827,-20.5,2135,-43.61,new-mexico,2020-11-25T00:45:56.395382Z
35021,Harding,505,0,3,4,Merged into voters' home precincts and released with cumulative results,78,647,78%,78% reported,edison,2,unknown,,578,,,179,319,3,0,2,2,0,0,0,0,0,0,2020-11-24T13:22:41Z,27.72277,R+28,Trump +28,republican,27.72277,527,29.4,601,11.15,new-mexico,2020-11-25T00:45:56.395382Z
35023,Hidalgo,1985,0,7,7,Released as a precinct at the end of tabulation,96,2063,96%,96% reported,edison,4,unknown,,1219,,,829,1125,13,6,5,7,0,0,0,0,0,0,2020-11-24T13:22:43Z,14.91184,R+15,Trump +15,republican,14.91184,1872,6.7,1935,-4.96,new-mexico,2020-11-25T00:45:56.395382Z
35025,Lea,20918,0,49,49,Other,100,20679,>98%,>98% reported,edison,6,unknown,,13517,,,4061,16531,214,50,38,24,0,0,0,0,0,0,2020-11-24T13:22:43Z,59.61373,R+60,Trump +60,republican,59.61373,17712,48.4,17015,49.77,new-mexico,2020-11-25T00:45:56.395382Z
35027,Lincoln,10306,0,22,22,Released as a separate subtotal in the middle of the tabulation,100,9959,>98%,>98% reported,edison,4,unknown,,9222,,,3194,6942,113,33,15,9,0,0,0,0,0,0,2020-11-24T13:22:44Z,36.36716,R+36,Trump +36,republican,36.36716,8902,40,9242,32.67,new-mexico,2020-11-25T00:45:56.395382Z
35028,Los Alamos,12293,0,21,21,Released as a separate subtotal as first report of the night,98,12518,98%,98% reported,edison,4,unknown,,11450,,,7554,4278,360,53,36,12,0,0,0,0,0,0,2020-11-24T13:22:45Z,26.64931,D+27,Biden +27,democrat,-26.64931,10885,-20.2,10654,-3.71,new-mexico,2020-11-25T00:45:56.395382Z
35029,Luna,8104,0,16,17,Released separately at end; NOT included in cumulative results,100,7998,>98%,>98% reported,edison,2,unknown,,6902,,,3565,4407,73,38,12,9,0,0,0,0,0,0,2020-11-24T13:22:45Z,10.38993,R+10,Trump +10,republican,10.38993,7295,3.9,7500,1.16,new-mexico,2020-11-25T00:45:56.395382Z
35031,McKinley,26481,0,54,54,Released as a separate subtotal as first report of the night,100,24880,>98%,>98% reported,edison,6,all,,10742,,,18023,7802,266,202,103,85,0,0,0,0,0,0,2020-11-24T13:22:47Z,38.59748,D+39,Biden +39,democrat,-38.59748,21703,-39,21929,-46.95,new-mexico,2020-11-25T00:45:56.395382Z
35033,Mora,2686,0,11,11,Released as a separate subtotal as first report of the night,89,3003,89%,89% reported,edison,2,unknown,,1890,,,1745,903,14,13,5,6,0,0,0,0,0,0,2020-11-24T13:22:48Z,31.34773,D+31,Biden +31,democrat,-31.34773,2441,-35.7,2611,-52.09,new-mexico,2020-11-25T00:45:56.395382Z
35035,Otero,23571,0,10,10,Released as a separate subtotal as first report of the night,100,23300,>98%,>98% reported,edison,2,unknown,,19006,,,8485,14521,387,108,40,30,0,0,0,0,0,0,2020-11-24T13:22:49Z,25.60774,R+26,Trump +26,republican,25.60774,20060,28.7,20012,28.09,new-mexico,2020-11-25T00:45:56.395382Z
35037,Quay,3873,0,11,12,Other,97,3995,97%,97% reported,edison,2,unknown,,3005,,,1170,2634,41,17,5,6,0,0,0,0,0,0,2020-11-24T13:22:50Z,37.80015,R+38,Trump +38,republican,37.80015,3572,33.5,3707,22.09,new-mexico,2020-11-25T00:45:56.395382Z
35039,Rio Arriba,16628,0,23,23,None,78,21300,78%,78% reported,edison,4,none,,8994,,,10990,5408,119,59,20,32,0,0,0,0,0,0,2020-11-24T13:22:51Z,33.56988,D+34,Biden +34,democrat,-33.56988,14878,-40.3,15343,-52.58,new-mexico,2020-11-25T00:45:56.395382Z
35041,Roosevelt,6608,0,19,19,Released as a separate subtotal as first report of the night,100,6557,>98%,>98% reported,edison,6,unknown,,4750,,,1802,4634,138,15,12,7,0,0,0,0,0,0,2020-11-24T13:22:51Z,42.85714,R+43,Trump +43,republican,42.85714,5950,40.8,5969,38.8,new-mexico,2020-11-25T00:45:56.395382Z
35045,San Juan,52293,0,76,77,Released as a separate subtotal as first report of the night,99,53000,>98%,>98% reported,edison,2,unknown,,40944,,,18081,32874,827,251,156,104,0,0,0,0,0,0,2020-11-24T13:22:53Z,28.28868,R+28,Trump +28,republican,28.28868,46110,32.7,46237,28.1,new-mexico,2020-11-25T00:45:56.395382Z
35047,San Miguel,11531,0,30,32,Released as a separate subtotal at the end of tabulation,87,13235,87%,87% reported,edison,2,unknown,,8403,,,7888,3421,115,57,23,27,0,0,0,0,0,0,2020-11-24T13:22:55Z,38.73905,D+39,Biden +39,democrat,-38.73905,10751,-46.2,11509,-56.89,new-mexico,2020-11-25T00:45:56.395382Z
35043,Sandoval,76562,0,139,139,Released as a separate subtotal in the middle of the tabulation,100,75000,>98%,>98% reported,edison,2,unknown,,59458,,,40588,34174,1187,350,157,106,0,0,0,0,0,0,2020-11-24T13:22:52Z,8.37752,D+8,Biden +8,democrat,-8.37752,61690,-2.9,54078,-5.27,new-mexico,2020-11-25T00:45:56.395382Z
35049,Santa Fe,82227,0,154,154,Released as a separate subtotal as first report of the night,100,82149,>98%,>98% reported,edison,4,unknown,,66573,,,62530,18329,758,403,80,127,0,0,0,0,0,0,2020-11-24T13:22:56Z,53.75485,D+54,Biden +54,democrat,-53.75485,71434,-51,69245,-51.08,new-mexico,2020-11-25T00:45:56.395382Z
35051,Sierra,5945,0,10,10,Released as a separate subtotal in the middle of the tabulation,100,5525,>98%,>98% reported,edison,4,unknown,,4688,,,2265,3542,66,36,22,14,0,0,0,0,0,0,2020-11-24T13:22:57Z,21.48024,R+21,Trump +21,republican,21.48024,5181,27,5102,18.89,new-mexico,2020-11-25T00:45:56.395382Z
35053,Socorro,7160,0,27,27,Released as a separate subtotal as first report of the night,100,7111,>98%,>98% reported,edison,6,unknown,,5411,,,3722,3255,113,39,15,16,0,0,0,0,0,0,2020-11-24T13:22:58Z,6.52235,D+7,Biden +7,democrat,-6.52235,6868,-10.1,7193,-18.57,new-mexico,2020-11-25T00:45:56.395382Z
35055,Taos,17181,0,51,52,Released as a separate subtotal as first report of the night,97,17640,97%,97% reported,edison,4,some,,13710,,,13121,3715,152,146,20,27,0,0,0,0,0,0,2020-11-24T13:22:59Z,54.74652,D+55,Biden +55,democrat,-54.74652,15260,-52,15339,-60.29,new-mexico,2020-11-25T00:45:56.395382Z
35057,Torrance,7281,0,22,22,Released as a precinct as first report of the night,100,6898,>98%,>98% reported,edison,2,unknown,,3667,,,2344,4772,105,29,20,11,0,0,0,0,0,0,2020-11-24T13:22:59Z,33.34707,R+33,Trump +33,republican,33.34707,6324,30.5,6402,17.2,new-mexico,2020-11-25T00:45:56.395382Z
35059,Union,1789,0,5,6,Released as a separate subtotal as first report of the night,94,1896,94%,94% reported,edison,2,unknown,,1322,,,383,1388,11,2,3,2,0,0,0,0,0,0,2020-11-24T13:23:00Z,56.17663,R+56,Trump +56,republican,56.17663,1702,52.6,1759,43.43,new-mexico,2020-11-25T00:45:56.395382Z
35061,Valencia,32277,0,62,62,None,100,29569,>98%,>98% reported,edison,2,unknown,,23248,,,14263,17364,406,135,64,45,0,0,0,0,0,0,2020-11-24T13:23:00Z,9.60746,R+10,Trump +10,republican,9.60746,27592,8.6,27728,-2.47,new-mexico,2020-11-25T00:45:56.395382Z
