fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48001,Anderson,19221,14454,20,23,Released as a precinct as first report of the night,96,20048,96%,96% reported,edison,2,none,,15380,,,15110,3955,134,22,,11103,3234,96,21,,2020-11-24T13:26:52Z,58.03548,R+58,Trump +58,republican,58.03548,16977,57.9,16212,52.12,texas,2020-11-25T00:44:10.486132Z
48003,Andrews,5863,4776,5,5,Released as a precinct as first report of the night,100,5837,>98%,>98% reported,edison,2,unknown,,4805,,,4943,850,60,10,,4025,700,45,6,,2020-11-24T13:26:52Z,69.81068,R+70,Trump +70,republican,69.81068,4943,62.5,4482,63.45,texas,2020-11-25T00:44:10.486132Z
48005,Angelina,34628,28676,38,43,Released as a precinct as first report of the night,98,35322,98%,98% reported,edison,2,unknown,,28954,,,25070,9136,273,75,74,20655,7713,199,54,55,2020-11-24T13:26:52Z,46.01479,R+46,Trump +46,republican,46.01479,29911,47.2,28406,43.9,texas,2020-11-25T00:44:10.486132Z
48007,Aransas,12289,10983,5,6,Released as a precinct as first report of the night,99,12414,>98%,>98% reported,edison,2,unknown,,10783,,,9239,2916,103,31,,8220,2653,84,26,,2020-11-24T13:26:53Z,51.45252,R+51,Trump +51,republican,51.45252,10512,50.2,9648,42.77,texas,2020-11-25T00:44:10.486132Z
48009,Archer,4796,3623,10,12,Released as a precinct as first report of the night,91,5288,91%,91% reported,edison,2,unknown,,2737,,,4300,446,45,4,1,3236,356,28,2,1,2020-11-24T13:26:53Z,80.35863,R+80,Trump +80,republican,80.35863,4283,79.2,4164,73.85,texas,2020-11-25T00:44:10.486132Z
48011,Armstrong,1112,846,7,8,Released as a precinct as first report of the night,88,1260,88%,88% reported,edison,2,unknown,,777,,,1035,75,2,0,,784,61,1,0,,2020-11-24T13:26:53Z,86.33094,R+86,Trump +86,republican,86.33094,1021,83.6,935,78.07,texas,2020-11-25T00:44:10.486132Z
48013,Atascosa,18116,14759,25,25,Released as a precinct as first report of the night,100,17775,>98%,>98% reported,edison,2,unknown,,10647,,,12039,5876,143,58,,9761,4842,112,44,,2020-11-24T13:26:53Z,34.01965,R+34,Trump +34,republican,34.01965,13673,29,12721,18.3,texas,2020-11-25T00:44:10.486132Z
48015,Austin,14554,11550,16,18,Released as a precinct as first report of the night,96,15153,96%,96% reported,edison,2,some,,9966,,,11447,2951,123,33,,8997,2436,91,26,,2020-11-24T13:26:53Z,58.3757,R+58,Trump +58,republican,58.3757,12274,59.6,11649,60.2,texas,2020-11-25T00:44:10.486132Z
48017,Bailey,1859,1281,4,5,Released as a precinct as first report of the night,79,2361,79%,79% reported,edison,2,unknown,,1464,,,1434,409,14,2,,1021,253,7,0,,2020-11-24T13:26:53Z,55.13717,R+55,Trump +55,republican,55.13717,1793,52.8,1816,48.07,texas,2020-11-25T00:44:10.486132Z
48019,Bandera,12712,11074,11,11,Released as a precinct as first report of the night,100,12614,>98%,>98% reported,edison,2,unknown,,10011,,,10057,2505,120,30,,8665,2295,92,22,,2020-11-24T13:26:53Z,59.40843,R+59,Trump +59,republican,59.40843,10218,63,9448,58.87,texas,2020-11-25T00:44:10.486132Z
48021,Bastrop,36709,31298,23,23,Released as a precinct as first report of the night,100,33601,>98%,>98% reported,edison,2,unknown,,25791,,,20486,15452,530,128,113,16881,13890,406,107,14,2020-11-24T13:26:54Z,13.71326,R+14,Trump +14,republican,13.71326,28665,20.1,24481,17.03,texas,2020-11-25T00:44:10.486132Z
48023,Baylor,1700,1373,4,5,Released as a precinct as first report of the night,90,1880,90%,90% reported,edison,2,unknown,,1554,,,1494,183,22,1,,1211,145,16,1,,2020-11-24T13:26:54Z,77.11765,R+77,Trump +77,republican,77.11765,1499,71.8,1592,64.7,texas,2020-11-25T00:44:10.486132Z
48025,Bee,9414,7530,15,18,Released as a precinct as first report of the night,94,10020,94%,94% reported,edison,2,some,,7301,,,6006,3288,93,27,,4688,2753,68,21,,2020-11-24T13:26:54Z,28.87189,R+29,Trump +29,republican,28.87189,8485,15.3,7879,11.47,texas,2020-11-25T00:44:10.486132Z
48027,Bell,127327,102905,49,49,Released as a precinct as first report of the night,100,117276,>98%,>98% reported,edison,4,all,,89466,,,67893,57014,1980,440,,53404,47880,1303,318,,2020-11-24T13:26:54Z,8.54414,R+9,Trump +9,republican,8.54414,95701,14.8,86206,16.31,texas,2020-11-25T00:44:10.486132Z
