fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_stauberp,results_nystromq,results_schwartzbackerj,results_absentee_stauberp,results_absentee_nystromq,results_absentee_schwartzbackerj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
27001,Aitkin,9747,0,49,54,Merged into voters' home precincts and released with cumulative results,100,9740,>98%,>98% reported,edison,6,all,2973,6063,3227,457,0,0,0,2020-11-25T13:48:12Z,29.09613,R+29,Stauber +29,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27007,Beltrami,8992,0,23,24,Merged into voters' home precincts and released with cumulative results,95,9455,95%,95% reported,edison,2,unknown,4845,5523,3004,465,0,0,0,2020-11-25T13:52:43Z,28.01379,R+28,Stauber +28,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27017,Carlton,20199,0,36,38,Merged into voters' home precincts and released with cumulative results,100,20190,>98%,>98% reported,edison,6,all,3884,10244,8935,1020,0,0,0,2020-11-25T14:00:08Z,6.48052,R+6,Stauber +6,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27021,Cass,17994,0,71,73,Merged into voters' home precincts and released with cumulative results,97,18585,97%,97% reported,edison,2,unknown,4911,11202,5702,1090,0,0,0,2020-11-25T14:04:17Z,30.56574,R+31,Stauber +31,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27025,Chisago,33317,0,22,23,Merged into voters' home precincts and released with cumulative results,95,35109,95%,95% reported,edison,2,some,5696,20591,10345,2381,0,0,0,2020-11-25T14:07:01Z,30.75307,R+31,Stauber +31,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27031,Cook,3304,0,11,13,Merged into voters' home precincts and released with cumulative results,84,3931,84%,84% reported,edison,2,some,1133,1154,1987,163,0,0,0,2020-11-25T14:16:17Z,25.21186,D+25,Nystrom +25,democrat,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27035,Crow Wing,39415,0,59,62,Merged into voters' home precincts and released with cumulative results,95,41615,95%,95% reported,edison,4,none,10353,24546,12993,1876,0,0,0,2020-11-25T14:18:43Z,29.31118,R+29,Stauber +29,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27057,Hubbard,12741,0,36,38,Merged into voters' home precincts and released with cumulative results,95,13344,95%,95% reported,edison,2,unknown,3437,8064,3977,700,0,0,0,2020-11-25T14:28:45Z,32.07754,R+32,Stauber +32,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27059,Isanti,23210,0,18,19,Merged into voters' home precincts and released with cumulative results,95,24425,95%,95% reported,edison,2,unknown,3609,15049,6308,1853,0,0,0,2020-11-25T14:29:10Z,37.66049,R+38,Stauber +38,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27061,Itasca,26200,0,72,76,Merged into voters' home precincts and released with cumulative results,100,26191,>98%,>98% reported,edison,6,unknown,5760,15400,9545,1255,0,0,0,2020-11-25T14:29:45Z,22.34733,R+22,Stauber +22,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
27065,Kanabec,8912,0,19,20,Merged into voters' home precincts and released with cumulative results,94,9506,94%,94% reported,edison,4,all,1575,5818,2510,584,0,0,0,2020-11-25T14:30:41Z,37.11849,R+37,Stauber +37,republican,MN-G-H-8-2020-11-03,mn-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",393064,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,748,799,94% reporting,94%,93,421000,edison,93%,93% reported,edison,republican,FALSE,2020-11-24T18:40:58Z,TRUE,19.28058,75785,R+19,Stauber +19,republican,FALSE,7,0,1604468955848
