fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_write_ins,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,7191,3593,8,9,Released as a separate subtotal as first report of the night,94,7634,94%,94% reported,edison,2,unknown,,4000,,,3486,3291,414,,1422,2008,163,,2020-11-24T13:22:59Z,2.71172,R+3,Sullivan +3,republican,alaska,2020-11-26T00:51:05.488394Z
02910,ED 10,11061,5647,11,11,Released as a separate subtotal as first report of the night,100,10396,>98%,>98% reported,edison,2,unknown,,4000,,,7724,2739,598,,3550,1868,229,,2020-11-24T13:23:12Z,45.06826,R+45,Sullivan +45,republican,alaska,2020-11-26T00:51:05.488394Z
02911,ED 11,10569,5924,9,9,Released as a separate subtotal as first report of the night,95,11142,95%,95% reported,edison,2,unknown,,4000,,,7047,3046,476,,3515,2183,226,,2020-11-24T13:23:14Z,37.85599,R+38,Sullivan +38,republican,alaska,2020-11-26T00:51:05.488394Z
02912,ED 12,11121,5685,7,7,Released as a separate subtotal as first report of the night,100,10974,>98%,>98% reported,edison,2,unknown,,4000,,,7873,2823,425,,3478,2021,186,,2020-11-24T13:23:15Z,45.40959,R+45,Sullivan +45,republican,alaska,2020-11-26T00:51:05.488394Z
02913,ED 13,7450,4354,6,6,Released as a separate subtotal as first report of the night,99,7513,>98%,>98% reported,edison,2,unknown,,4000,,,4681,2397,372,,2417,1746,191,,2020-11-24T13:23:16Z,30.65772,R+31,Sullivan +31,republican,alaska,2020-11-26T00:51:05.488394Z
02914,ED 14,11417,7175,7,7,Released as a separate subtotal as first report of the night,95,11983,95%,95% reported,edison,2,unknown,,4000,,,7110,3892,415,,3947,3011,217,,2020-11-24T13:23:17Z,28.18604,R+28,Sullivan +28,republican,alaska,2020-11-26T00:51:05.488394Z
02915,ED 15,5348,3124,5,5,Released as a separate subtotal as first report of the night,93,5729,93%,93% reported,edison,2,unknown,,4000,,,2599,2442,307,,1356,1613,155,,2020-11-24T13:23:18Z,2.93568,R+3,Sullivan +3,republican,alaska,2020-11-26T00:51:05.488394Z
02916,ED 16,8068,4608,7,7,Released as a separate subtotal as first report of the night,94,8551,94%,94% reported,edison,2,unknown,,4000,,,3548,4109,411,,1578,2841,189,,2020-11-24T13:23:20Z,6.9534,D+7,Gross +7,democrat,alaska,2020-11-26T00:51:05.488394Z
02917,ED 17,7092,4414,6,7,Released as a separate subtotal as first report of the night,91,7806,91%,91% reported,edison,2,unknown,,4000,,,2864,3918,310,,1410,2866,138,,2020-11-24T13:23:21Z,14.86182,D+15,Gross +15,democrat,alaska,2020-11-26T00:51:05.488394Z
02918,ED 18,7639,5083,9,10,Released as a separate subtotal as first report of the night,90,8512,90%,90% reported,edison,2,unknown,,4000,,,2803,4549,287,,1526,3424,133,,2020-11-24T13:23:22Z,22.85639,D+23,Gross +23,democrat,alaska,2020-11-26T00:51:05.488394Z
02919,ED 19,5225,2868,6,6,Released as a separate subtotal as first report of the night,95,5511,95%,95% reported,edison,2,unknown,,4000,,,1872,3043,310,,769,1982,117,,2020-11-24T13:23:23Z,22.41148,D+22,Gross +22,democrat,alaska,2020-11-26T00:51:05.488394Z
02902,ED 2,5642,2630,4,4,Released as a separate subtotal as first report of the night,89,6316,89%,89% reported,edison,2,unknown,,4000,,,3377,1893,372,,1315,1190,125,,2020-11-24T13:23:00Z,26.30273,R+26,Sullivan +26,republican,alaska,2020-11-26T00:51:05.488394Z
02920,ED 20,7339,5164,8,9,Released as a separate subtotal as first report of the night,89,8211,89%,89% reported,edison,2,unknown,,4000,,,2489,4611,239,,1457,3582,125,,2020-11-24T13:23:24Z,28.91402,D+29,Gross +29,democrat,alaska,2020-11-26T00:51:05.488394Z
02921,ED 21,9407,5784,8,8,Released as a separate subtotal as first report of the night,95,9944,95%,95% reported,edison,2,unknown,,4000,,,3974,5137,296,,1852,3807,125,,2020-11-24T13:23:25Z,12.36313,D+12,Gross +12,democrat,alaska,2020-11-26T00:51:05.488394Z
02922,ED 22,9480,5303,7,7,Released as a separate subtotal as first report of the night,98,9628,98%,98% reported,edison,2,unknown,,4000,,,4954,4191,335,,2161,2990,152,,2020-11-24T13:23:26Z,8.04852,R+8,Sullivan +8,republican,alaska,2020-11-26T00:51:05.488394Z
