fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_desjarlaiss,results_halec,results_absentee_desjarlaiss,results_absentee_halec,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
47003,Bedford,17720,0,11,11,Released as a separate subtotal as first report of the night,100,17797,>98%,>98% reported,edison,2,unknown,10626,13226,4494,0,0,2020-11-24T13:23:25Z,49.27765,R+49,DesJarlais +49,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47007,Bledsoe,5445,0,12,12,None,100,5396,>98%,>98% reported,edison,2,unknown,1711,4319,1126,0,0,2020-11-24T13:23:18Z,58.64096,R+59,DesJarlais +59,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47011,Bradley,31329,24487,12,12,Released as a separate subtotal as first report of the night,100,31329,>98%,>98% reported,edison,6,all,30918,23074,8255,17971,6516,2020-11-24T13:24:35Z,47.30122,R+47,DesJarlais +47,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47051,Franklin,18113,10163,17,18,Released as a separate subtotal as first report of the night,100,18113,>98%,>98% reported,edison,6,unknown,10688,13119,4994,7233,2930,2020-11-24T13:23:20Z,44.85728,R+45,DesJarlais +45,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47061,Grundy,5309,0,10,10,Released as a precinct as first report of the night,96,5523,96%,96% reported,edison,2,unknown,2619,4370,939,0,0,2020-11-24T13:23:20Z,64.62611,R+65,DesJarlais +65,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47103,Lincoln,15034,0,19,20,Released as a separate subtotal as first report of the night,97,15428,97%,97% reported,edison,2,unknown,7444,12065,2969,0,0,2020-11-24T13:23:21Z,60.50286,R+61,DesJarlais +61,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47115,Marion,12786,0,17,17,Merged into voters' home precincts and released with cumulative results,100,12588,>98%,>98% reported,edison,2,unknown,6153,9405,3381,0,0,2020-11-24T13:23:22Z,47.11403,R+47,DesJarlais +47,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47117,Marshall,13659,0,9,9,Released as a separate subtotal as first report of the night,100,13253,>98%,>98% reported,edison,2,unknown,8159,9859,3800,0,0,2020-11-24T13:24:35Z,44.35903,R+44,DesJarlais +44,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47119,Maury,34430,21128,15,15,Released as a separate subtotal as first report of the night,100,34430,>98%,>98% reported,edison,6,all,27483,23248,11182,14381,6747,2020-11-24T13:23:23Z,35.04502,R+35,DesJarlais +35,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
47121,Meigs,5011,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5007,>98%,>98% reported,edison,2,unknown,3052,3886,1125,0,0,2020-11-24T13:24:35Z,55.09878,R+55,DesJarlais +55,republican,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334438,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:26:26Z,TRUE,33.47766,111962,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828
