fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
23001,Androscoggin,58796,17255,23,24,,,,,"",edison,,,,,,,27617,29268,1105,603,108,95,10839,5901,254,202,27,32,2020-11-24T13:26:15Z,2.80801,R+3,Trump +3,republican,2.80801,55601,9.4,52862,-12.78,maine,2020-11-27T00:47:00.224758Z
23003,Aroostook,37807,0,66,67,,,,,"",edison,,,,,,,14884,22071,454,257,58,83,0,0,0,0,0,0,2020-11-24T13:26:10Z,19.00971,R+19,Trump +19,republican,19.00971,35097,17.2,33860,-7.62,maine,2020-11-27T00:47:00.224758Z
23005,Cumberland,194180,22592,49,49,,,,,"",edison,,,,,,,128759,59584,2957,2226,332,322,16907,5115,257,245,23,45,2020-11-24T13:26:10Z,35.62416,D+36,Biden +36,democrat,-35.62416,171818,-26.3,163786,-26.94,maine,2020-11-27T00:47:00.224758Z
23007,Franklin,17433,0,21,22,,,,,"",edison,,,,,,,8038,8737,351,181,31,95,0,0,0,0,0,0,2020-11-24T15:46:53Z,4.00964,R+4,Trump +4,republican,4.00964,16488,5.5,16282,-18.41,maine,2020-11-27T00:47:00.224758Z
23009,Hancock,35380,3337,41,42,,,,,"",edison,,,,,,,19363,14975,549,380,50,63,1866,1333,72,39,7,20,2020-11-24T13:26:10Z,12.40249,D+12,Biden +12,democrat,-12.40249,32130,-7.5,30799,-17.03,maine,2020-11-27T00:47:00.224758Z
23011,Kennebec,71899,821,32,32,,,,,"",edison,,,,,,,34902,34721,1406,730,91,49,414,380,14,8,0,5,2020-11-24T13:26:18Z,0.25174,D+0.25,Biden +0.25,democrat,-0.25174,66208,3.6,63497,-13.46,maine,2020-11-27T00:47:00.224758Z
23013,Knox,25734,0,18,18,,,,,"",edison,,,,,,,15110,9982,355,248,34,5,0,0,0,0,0,0,2020-11-24T13:26:11Z,19.92694,D+20,Biden +20,democrat,-19.92694,23147,-14.2,22067,-22.54,maine,2020-11-27T00:47:00.224758Z
23015,Lincoln,23617,1828,19,19,,,,,"",edison,,,,,,,12684,10256,420,200,35,22,1307,479,19,16,5,2,2020-11-24T13:26:12Z,10.28073,D+10,Biden +10,democrat,-10.28073,21503,-2.4,20757,-11.64,maine,2020-11-27T00:47:00.224758Z
23017,Oxford,33205,0,36,37,,,,,"",edison,,,,,,,14603,17539,638,337,47,41,0,0,0,0,0,0,2020-11-24T13:26:13Z,8.84204,R+9,Trump +9,republican,8.84204,31201,12.9,29420,-14.73,maine,2020-11-27T00:47:00.224758Z
23019,Penobscot,84948,4223,60,61,,,,,"",edison,,,,,,,37563,44477,1847,745,129,187,3040,980,99,62,7,35,2020-11-24T13:26:09Z,8.1391,R+8,Trump +8,republican,8.1391,80540,10.9,77306,-2.93,maine,2020-11-27T00:47:00.224758Z
23021,Piscataquis,9918,0,19,20,,,,,"",edison,,,,,,,3517,6143,173,60,12,13,0,0,0,0,0,0,2020-11-24T13:26:15Z,26.47711,R+26,Trump +26,republican,26.47711,9182,25.1,8955,4.25,maine,2020-11-27T00:47:00.224758Z
23023,Sagadahoc,24038,0,10,10,,,,,"",edison,,,,,,,13528,9755,474,248,31,2,0,0,0,0,0,0,2020-11-24T13:26:45Z,15.69598,D+16,Biden +16,democrat,-15.69598,21616,-6.3,20794,-16.31,maine,2020-11-27T00:47:00.224758Z
23025,Somerset,27367,1524,33,34,,,,,"",edison,,,,,,,10136,16471,463,226,38,33,917,563,16,15,7,6,2020-11-24T13:26:10Z,23.14832,R+23,Trump +23,republican,23.14832,26064,22.7,24787,-1.68,maine,2020-11-27T00:47:00.224758Z
23027,Waldo,24956,0,28,28,,,,,"",edison,,,,,,,12632,11477,423,357,34,33,0,0,0,0,0,0,2020-11-24T13:26:44Z,4.62815,D+5,Biden +5,democrat,-4.62815,22707,-0.3,21061,-10.63,maine,2020-11-27T00:47:00.224758Z
23029,Washington,17332,0,45,46,,,,,"",edison,,,,,,,6752,10173,232,143,22,10,0,0,0,0,0,0,2020-11-24T16:13:36Z,19.73806,R+20,Trump +20,republican,19.73806,16365,18.4,15836,-1.6,maine,2020-11-27T00:47:00.224758Z
23031,York,129818,8476,43,43,,,,,"",edison,,,,,,,71189,54817,2189,1259,200,164,5506,2696,113,85,22,54,2020-11-24T13:26:10Z,12.6115,D+13,Biden +13,democrat,-12.6115,114274,-4.8,108057,-16.33,maine,2020-11-27T00:47:00.224758Z
