fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_hawkinsh,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
26001,Alcona,7063,0,12,12,Merged into voters' home precincts and released with cumulative results,100,7063,>98%,>98% reported,edison,6,all,,731,,,2142,4848,50,12,11,0,0,0,0,0,0,0,0,0,2020-11-24T13:22:58Z,38.31233,R+38,Trump +38,republican,38.31233,6198,39.8,6104,18,michigan,2020-11-27T00:46:32.907092Z
26003,Alger,5135,0,9,9,Merged into voters' home precincts and released with cumulative results,100,5135,>98%,>98% reported,edison,6,unknown,,484,,,2053,3014,41,9,9,2,7,0,0,0,0,0,0,0,2020-11-24T13:22:59Z,18.7147,R+19,Trump +19,republican,18.7147,4518,20.4,4618,2.56,michigan,2020-11-27T00:46:32.907092Z
26005,Allegan,67195,0,42,42,Merged into voters' home precincts and released with cumulative results,100,67182,>98%,>98% reported,edison,6,unknown,,9594,,,24449,41392,943,118,143,37,113,0,0,0,0,0,0,0,2020-11-24T13:23:00Z,25.21467,R+25,Trump +25,republican,25.21467,56120,28.7,52619,19.61,michigan,2020-11-27T00:46:32.907092Z
26007,Alpena,16966,0,19,19,Merged into voters' home precincts and released with cumulative results,100,16771,>98%,>98% reported,edison,6,unknown,,2738,,,6000,10686,220,26,28,6,0,0,0,0,0,0,0,0,2020-11-24T13:23:00Z,27.61995,R+28,Trump +28,republican,27.61995,14768,28.5,14014,5.34,michigan,2020-11-27T00:46:32.907092Z
26009,Antrim,15969,0,16,16,Merged into voters' home precincts AFTER election night,100,15415,>98%,>98% reported,edison,2,unknown,,2188,,,5960,9748,189,16,28,8,20,0,0,0,0,0,0,0,2020-11-24T13:23:01Z,23.72096,R+24,Trump +24,republican,23.72096,13667,29.4,13195,21.3,michigan,2020-11-27T00:46:32.907092Z
26011,Arenac,8831,0,15,15,Merged into voters' home precincts and released with cumulative results,100,8830,>98%,>98% reported,edison,6,unknown,,563,,,2774,5928,97,17,12,3,,0,0,0,0,0,0,,2020-11-24T13:23:03Z,35.71509,R+36,Trump +36,republican,35.71509,7729,33.2,7841,4.95,michigan,2020-11-27T00:46:32.907092Z
26013,Baraga,4036,0,8,8,Merged into voters' home precincts and released with cumulative results,100,4033,>98%,>98% reported,edison,6,unknown,,489,,,1478,2512,31,5,10,0,,0,0,0,0,0,0,,2020-11-24T13:23:04Z,25.61943,R+26,Trump +26,republican,25.61943,3518,28.5,3490,8.37,michigan,2020-11-27T00:46:32.907092Z
26015,Barry,35905,0,24,24,Merged into voters' home precincts and released with cumulative results,100,35914,>98%,>98% reported,edison,6,unknown,,5623,,,11797,23471,479,59,83,16,0,0,0,0,0,0,0,0,2020-11-24T13:23:05Z,32.51358,R+33,Trump +33,republican,32.51358,30517,33.1,28512,18.11,michigan,2020-11-27T00:46:32.907092Z
26017,Bay,60253,0,75,75,Merged into voters' home precincts and released with cumulative results,100,53505,>98%,>98% reported,edison,6,unknown,,11503,,,26151,33125,688,102,155,32,0,0,0,0,0,0,0,0,2020-11-24T13:23:07Z,11.57453,R+12,Trump +12,republican,11.57453,53274,12.6,53381,-5.56,michigan,2020-11-27T00:46:32.907092Z
26019,Benzie,12260,0,13,13,Merged into voters' home precincts and released with cumulative results,100,12259,>98%,>98% reported,edison,6,unknown,,2388,,,5480,6601,128,13,29,9,,0,0,0,0,0,0,,2020-11-24T13:23:07Z,9.14356,R+9,Trump +9,republican,9.14356,10228,14,9901,3.94,michigan,2020-11-27T00:46:32.907092Z
26021,Berrien,82379,0,60,62,Merged into voters' home precincts and released with cumulative results,97,85000,97%,97% reported,edison,2,none,,15349,,,37438,43519,1062,140,173,47,,0,0,0,0,0,0,,2020-11-24T13:23:08Z,7.38174,R+7,Trump +7,republican,7.38174,72031,12.7,72497,6.54,michigan,2020-11-27T00:46:32.907092Z
26023,Branch,20536,0,22,22,Merged into voters' home precincts and released with cumulative results,100,20540,>98%,>98% reported,edison,6,unknown,,2519,,,6159,14064,216,38,47,12,0,0,0,0,0,0,0,0,2020-11-24T13:23:10Z,38.49338,R+38,Trump +38,republican,38.49338,17663,38.1,17147,18.21,michigan,2020-11-27T00:46:32.907092Z
26025,Calhoun,66276,0,67,67,Merged into voters' home precincts and released with cumulative results,100,65568,>98%,>98% reported,edison,6,unknown,,9574,,,28877,36221,890,117,137,34,0,0,0,0,0,0,0,0,2020-11-24T13:23:12Z,11.08093,R+11,Trump +11,republican,11.08093,58902,12.5,58327,-1.6,michigan,2020-11-27T00:46:32.907092Z
26027,Cass,26242,0,24,24,Merged into voters' home precincts and released with cumulative results,100,26221,>98%,>98% reported,edison,6,unknown,,2750,,,9130,16699,286,40,45,13,29,0,0,0,0,0,0,0,2020-11-24T13:23:14Z,28.84308,R+29,Trump +29,republican,28.84308,22595,30.9,22490,13.64,michigan,2020-11-27T00:46:32.907092Z
26029,Charlevoix,17000,0,20,20,Merged into voters' home precincts and released with cumulative results,100,17000,>98%,>98% reported,edison,6,unknown,,2686,,,6939,9841,160,13,43,4,,0,0,0,0,0,0,,2020-11-24T13:23:15Z,17.07059,R+17,Trump +17,republican,17.07059,14654,24.1,14090,14.63,michigan,2020-11-27T00:46:32.907092Z
26031,Cheboygan,15868,0,22,22,None,100,15849,>98%,>98% reported,edison,6,unknown,,2254,,,5437,10186,196,18,23,8,,0,0,0,0,0,0,,2020-11-24T13:23:15Z,29.92816,R+30,Trump +30,republican,29.92816,13672,32,13311,10.93,michigan,2020-11-27T00:46:32.907092Z
26033,Chippewa,17671,0,18,18,Merged into voters' home precincts and released with cumulative results,100,17675,>98%,>98% reported,edison,6,unknown,,1942,,,6648,10681,233,26,39,13,31,0,0,0,0,0,0,0,2020-11-24T13:23:16Z,22.8227,R+23,Trump +23,republican,22.8227,15552,24.1,15564,7.57,michigan,2020-11-27T00:46:32.907092Z
26035,Clare,16281,0,20,20,Merged into voters' home precincts and released with cumulative results,100,16280,>98%,>98% reported,edison,6,unknown,,2290,,,5199,10861,162,22,34,3,0,0,0,0,0,0,0,0,2020-11-24T13:23:17Z,34.77673,R+35,Trump +35,republican,34.77673,13449,31.6,13504,4.81,michigan,2020-11-27T00:46:32.907092Z
26037,Clinton,47910,4519,34,34,Merged into voters' home precincts and released with cumulative results,100,47902,>98%,>98% reported,edison,6,unknown,,9045,,,21968,25098,659,63,94,28,,2937,1519,45,9,8,1,,2020-11-24T13:23:18Z,6.53308,R+7,Trump +7,republican,6.53308,40937,12.6,39235,6.27,michigan,2020-11-27T00:46:32.907092Z
26039,Crawford,7861,0,10,10,Merged into voters' home precincts and released with cumulative results,100,7665,>98%,>98% reported,edison,6,unknown,,1244,,,2672,5087,69,4,24,5,,0,0,0,0,0,0,,2020-11-24T13:23:19Z,30.72128,R+31,Trump +31,republican,30.72128,6844,32.8,6814,11.01,michigan,2020-11-27T00:46:32.907092Z
26041,Delta,21156,0,27,27,Merged into voters' home precincts and released with cumulative results,100,21154,>98%,>98% reported,edison,6,all,,3134,,,7606,13207,249,33,42,14,5,0,0,0,0,0,0,0,2020-11-24T13:23:21Z,26.47476,R+26,Trump +26,republican,26.47476,18594,25.2,18050,6.67,michigan,2020-11-27T00:46:32.907092Z
26043,Dickinson,14589,0,15,15,Released as a separate subtotal as first report of the night,100,13268,>98%,>98% reported,edison,6,unknown,,1960,,,4744,9617,187,15,15,11,,0,0,0,0,0,0,,2020-11-24T13:23:21Z,33.40188,R+33,Trump +33,republican,33.40188,13232,35.2,12810,21.36,michigan,2020-11-27T00:46:32.907092Z
26045,Eaton,64454,33719,51,51,Merged into voters' home precincts and released with cumulative results,100,64451,>98%,>98% reported,edison,6,unknown,,15665,,,31299,31798,895,114,166,32,150,21048,12058,360,67,77,17,92,2020-11-24T13:23:23Z,0.7742,R+0.77,Trump +0.77,republican,0.7742,56575,4.7,54788,-3.13,michigan,2020-11-27T00:46:32.907092Z
