fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_westk,results_de_la_fuenter,results_write_ins,results_kennedya,results_la_rivag,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_write_ins,results_absentee_kennedya,results_absentee_la_rivag,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
27001,Aitkin,10025,0,54,54,Merged into voters' home precincts and released with cumulative results,100,10025,>98%,>98% reported,edison,10,all,,2973,,,3607,6258,55,24,24,22,15,15,3,2,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:21:27Z,26.44389,R+26,Trump +26,republican,26.44389,9231,25.8,9142,1.32,minnesota,2020-11-27T00:46:30.478791Z
27003,Anoka,211132,0,128,128,Merged into voters' home precincts and released with cumulative results,100,211132,>98%,>98% reported,edison,10,all,,34809,,,100893,104902,2475,731,408,513,467,641,36,66,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:20:45Z,1.89881,R+1.9,Trump +1.9,republican,1.89881,185758,9.6,186465,2.58,minnesota,2020-11-27T00:46:30.478791Z
27005,Becker,19401,6296,48,48,Merged into voters' home precincts and released with cumulative results,100,19025,>98%,>98% reported,edison,6,all,,4508,,,6589,12438,168,35,27,52,37,43,4,8,3416,2792,38,11,10,13,15,0,0,1,2020-11-26T18:22:23Z,30.14793,R+30,Trump +30,republican,30.14793,17222,32.9,16382,14.5,minnesota,2020-11-27T00:46:30.478791Z
27007,Beltrami,24189,0,63,63,Merged into voters' home precincts and released with cumulative results,95,25461,95%,95% reported,edison,2,all,,4845,,,11426,12188,256,75,33,95,32,58,9,17,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:23:19Z,3.15019,R+3,Trump +3,republican,3.15019,21564,9.7,22051,-9.89,minnesota,2020-11-27T00:46:30.478791Z
27009,Benton,22260,0,27,27,Merged into voters' home precincts and released with cumulative results,100,22088,>98%,>98% reported,edison,2,all,,3225,,,7280,14382,351,81,40,45,29,42,5,5,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:24:10Z,31.90476,R+32,Trump +32,republican,31.90476,20058,36.1,19619,13.64,minnesota,2020-11-27T00:46:30.478791Z
27011,Big Stone,2974,0,23,23,Merged into voters' home precincts and released with cumulative results,100,2987,>98%,>98% reported,edison,4,all,,612,,,1053,1863,14,14,8,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:24:46Z,27.23605,R+27,Trump +27,republican,27.23605,2755,24.9,2789,1.43,minnesota,2020-11-27T00:46:30.478791Z
27013,Blue Earth,36051,0,54,54,Merged into voters' home precincts and released with cumulative results,91,39485,91%,91% reported,edison,4,all,,5756,,,18330,16731,477,139,82,120,64,82,16,10,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:25:32Z,4.43538,D+4,Biden +4,democrat,-4.43538,33593,3.7,34274,-9.48,minnesota,2020-11-27T00:46:30.478791Z
27015,Brown,14635,0,32,32,Merged into voters' home precincts and released with cumulative results,99,14847,>98%,>98% reported,edison,4,all,,2808,,,4753,9552,136,38,41,33,33,40,3,6,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:26:11Z,32.79125,R+33,Trump +33,republican,32.79125,13779,35.9,13929,16.57,minnesota,2020-11-27T00:46:30.478791Z
27017,Carlton,20369,0,38,38,Merged into voters' home precincts and released with cumulative results,100,20361,>98%,>98% reported,edison,6,all,,3884,,,10098,9791,231,61,40,43,48,49,4,4,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:27:18Z,1.50719,D+1.5,Biden +1.5,democrat,-1.50719,18211,-1.6,18436,-26.05,minnesota,2020-11-27T00:46:30.478791Z
27019,Carver,66361,0,35,35,Merged into voters' home precincts and released with cumulative results,100,65382,>98%,>98% reported,edison,6,all,,12048,,,30774,34009,822,141,107,126,124,240,5,13,0,0,0,0,0,0,0,0,0,0,2020-11-26T18:29:00Z,4.87485,R+5,Trump +5,republican,4.87485,55696,13.6,52899,19.68,minnesota,2020-11-27T00:46:30.478791Z
27021,Cass,18289,0,73,73,Merged into voters' home precincts and released with cumulative results,100,17708,>98%,>98% reported,edison,2,all,,4911,,,6342,11620,111,60,27,46,34,34,3,12,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:04:16Z,28.85888,R+29,Trump +29,republican,28.85888,15999,31.5,16141,13,minnesota,2020-11-27T00:46:30.478791Z
27023,Chippewa,6611,0,25,25,Merged into voters' home precincts and released with cumulative results,99,6655,>98%,>98% reported,edison,2,all,,1308,,,2226,4250,58,12,21,22,8,12,2,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:04:51Z,30.61564,R+31,Trump +31,republican,30.61564,6222,28.7,6201,-1.87,minnesota,2020-11-27T00:46:30.478791Z
27025,Chisago,34570,0,23,23,Merged into voters' home precincts and released with cumulative results,100,33288,>98%,>98% reported,edison,2,all,,5696,,,11806,21916,464,111,68,53,70,73,1,8,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:06:59Z,29.24501,R+29,Trump +29,republican,29.24501,30228,30.3,29441,12.58,minnesota,2020-11-27T00:46:30.478791Z
27027,Clay,32239,0,58,58,Merged into voters' home precincts and released with cumulative results,95,34102,95%,95% reported,edison,2,all,,6609,,,16357,15043,410,101,57,79,76,101,6,9,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:09:35Z,4.07581,D+4,Biden +4,democrat,-4.07581,29398,1.9,28886,-7.92,minnesota,2020-11-27T00:46:30.478791Z
27029,Clearwater,4708,0,29,29,Merged into voters' home precincts and released with cumulative results,100,4556,>98%,>98% reported,edison,4,all,,869,,,1260,3372,28,14,8,12,4,9,0,1,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:11:35Z,44.85981,R+45,Trump +45,republican,44.85981,4245,43,4197,14.44,minnesota,2020-11-27T00:46:30.478791Z
27031,Cook,3806,0,13,13,Merged into voters' home precincts and released with cumulative results,100,3644,>98%,>98% reported,edison,2,all,,1133,,,2496,1203,36,15,9,16,5,21,2,3,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:16:16Z,33.97267,D+34,Biden +34,democrat,-33.97267,3395,-22.3,3322,-23.24,minnesota,2020-11-27T00:46:30.478791Z
27033,Cottonwood,6107,0,29,29,Merged into voters' home precincts and released with cumulative results,95,6440,95%,95% reported,edison,2,all,,1245,,,1834,4165,55,13,10,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:18:02Z,38.16931,R+38,Trump +38,republican,38.16931,5721,35,5862,15.06,minnesota,2020-11-27T00:46:30.478791Z
27035,Crow Wing,40173,0,62,62,Merged into voters' home precincts and released with cumulative results,100,39471,>98%,>98% reported,edison,4,all,,10353,,,13726,25676,357,92,66,81,61,100,5,9,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:18:42Z,29.74635,R+30,Trump +30,republican,29.74635,35842,31.5,34920,13.33,minnesota,2020-11-27T00:46:30.478791Z
27037,Dakota,262259,0,141,141,Merged into voters' home precincts and released with cumulative results,98,268470,98%,98% reported,edison,2,all,,57003,,,146155,109638,2957,827,456,593,535,984,31,83,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:19:45Z,13.92402,D+14,Biden +14,democrat,-13.92402,231860,-4.6,230821,-2.92,minnesota,2020-11-27T00:46:30.478791Z
27039,Dodge,12187,0,22,22,Merged into voters' home precincts and released with cumulative results,100,11733,>98%,>98% reported,edison,4,all,,1812,,,4079,7783,167,39,26,30,27,30,3,3,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:21:47Z,30.39304,R+30,Trump +30,republican,30.39304,10654,32.1,10327,10.02,minnesota,2020-11-27T00:46:30.478791Z
27041,Douglas,24165,0,37,37,Merged into voters' home precincts and released with cumulative results,96,25271,96%,96% reported,edison,2,all,,5981,,,7868,15799,238,56,57,55,40,45,5,2,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:23:42Z,32.82019,R+33,Trump +33,republican,32.82019,21785,35.5,20953,15.42,minnesota,2020-11-27T00:46:30.478791Z
27043,Faribault,7914,0,33,33,Merged into voters' home precincts and released with cumulative results,96,8223,96%,96% reported,edison,2,all,,1508,,,2531,5191,72,19,24,31,21,22,1,2,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:25:07Z,33.61132,R+34,Trump +34,republican,33.61132,7412,33.8,7713,9.04,minnesota,2020-11-27T00:46:30.478791Z
27045,Fillmore,12141,0,37,37,Merged into voters' home precincts and released with cumulative results,100,12174,>98%,>98% reported,edison,4,all,,1887,,,4551,7301,135,24,19,36,34,37,4,0,0,0,0,0,0,0,0,0,0,0,2020-11-25T14:25:42Z,22.65052,R+23,Trump +23,republican,22.65052,11055,21.7,10892,-7.34,minnesota,2020-11-27T00:46:30.478791Z
