fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_merkleyj,results_perkinsj,results_dyeg,results_taheri,results_write_ins,results_absentee_merkleyj,results_absentee_perkinsj,results_absentee_dyeg,results_absentee_taheri,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
41001,Baker,9750,0,17,17,Other,98,9932,98%,98% reported,edison,8,unknown,,,,,2633,6863,176,71,7,0,0,0,0,0,2020-11-24T13:23:42Z,43.38462,R+43,Perkins +43,republican,oregon,2020-11-27T00:49:51.081599Z
41003,Benton,52043,0,22,24,Other,99,52719,>98%,>98% reported,edison,8,some,,,,,35021,14811,1041,1118,52,0,0,0,0,0,2020-11-24T13:23:42Z,38.83327,D+39,Merkley +39,democrat,oregon,2020-11-27T00:49:51.081599Z
41005,Clackamas,250413,0,120,120,Other,98,255664,98%,98% reported,edison,8,some,,,,,134813,106838,4767,3995,,0,0,0,0,,2020-11-24T20:00:51Z,11.17154,D+11,Merkley +11,democrat,oregon,2020-11-27T00:49:51.081599Z
41007,Clatsop,23504,0,33,33,Other,99,23764,>98%,>98% reported,edison,8,some,,,,,13052,9623,438,391,,0,0,0,0,,2020-11-24T13:23:43Z,14.58901,D+15,Merkley +15,democrat,oregon,2020-11-27T00:49:51.081599Z
41009,Columbia,31637,0,33,33,Other,100,31518,>98%,>98% reported,edison,8,unknown,,,,,14375,15948,767,507,40,0,0,0,0,0,2020-11-24T13:23:44Z,4.97203,R+5,Perkins +5,republican,oregon,2020-11-27T00:49:51.081599Z
41011,Coos,36106,0,18,18,Other,99,36484,>98%,>98% reported,edison,8,some,,,,,14885,20051,676,470,24,0,0,0,0,0,2020-11-24T13:23:44Z,14.30787,R+14,Perkins +14,republican,oregon,2020-11-27T00:49:51.081599Z
41013,Crook,15129,0,17,17,Other,100,15165,>98%,>98% reported,edison,8,unknown,,,,,4133,10628,250,118,,0,0,0,0,,2020-11-24T13:23:44Z,42.9308,R+43,Perkins +43,republican,oregon,2020-11-27T00:49:51.081599Z
41015,Curry,14608,0,27,27,Other,98,14925,98%,98% reported,edison,8,unknown,,,,,6170,7993,268,170,7,0,0,0,0,0,2020-11-26T13:23:17Z,12.47946,R+12,Perkins +12,republican,oregon,2020-11-27T00:49:51.081599Z
41017,Deschutes,122690,0,50,50,Other,100,121732,>98%,>98% reported,edison,8,unknown,,,,,65264,53285,2244,1769,128,0,0,0,0,0,2020-11-24T13:23:45Z,9.76363,D+10,Merkley +10,democrat,oregon,2020-11-27T00:49:51.081599Z
41019,Douglas,62685,0,28,28,Other,99,63107,>98%,>98% reported,edison,8,some,,,,,20707,40036,1217,660,65,0,0,0,0,0,2020-11-24T13:23:45Z,30.83513,R+31,Perkins +31,republican,oregon,2020-11-27T00:49:51.081599Z
