fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_lattab,results_rubandon,results_absentee_lattab,results_absentee_rubandon,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
39039,Defiance,19176,12954,33,33,Merged into voters' home precincts and released with cumulative results,100,19176,>98%,>98% reported,edison,10,unknown,9581,14024,5152,8846,4108,2020-11-27T21:44:25Z,46.26617,R+46,Latta +46,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39051,Fulton,22354,0,29,29,Released as a separate subtotal as first report of the night,100,22354,>98%,>98% reported,edison,10,unknown,8866,16945,5409,0,0,2020-11-27T22:36:27Z,51.60598,R+52,Latta +52,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39063,Hancock,37891,0,60,60,Merged into voters' home precincts and released with cumulative results,100,37891,>98%,>98% reported,edison,10,unknown,19219,27919,9972,0,0,2020-11-27T21:49:04Z,47.36481,R+47,Latta +47,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39065,Hardin,12836,0,21,21,Other,100,12836,>98%,>98% reported,edison,10,unknown,6294,10063,2773,0,0,2020-11-27T22:36:48Z,56.79339,R+57,Latta +57,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39069,Henry,14659,0,23,23,Merged into voters' home precincts and released with cumulative results,100,14659,>98%,>98% reported,edison,10,unknown,7016,11423,3236,0,0,2020-11-27T22:36:37Z,55.84965,R+56,Latta +56,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39095,Lucas,110546,0,165,165,Released as a separate subtotal as first report of the night,100,110546,>98%,>98% reported,edison,10,unknown,101640,60942,49604,0,0,2020-11-27T22:42:10Z,10.25636,R+10,Latta +10,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39107,Mercer,10944,7640,17,17,Released as a separate subtotal as first report of the night,100,10944,>98%,>98% reported,edison,10,all,12162,8821,2123,5876,1764,2020-11-27T22:40:32Z,61.20249,R+61,Latta +61,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39123,Ottawa,10909,0,17,17,Merged into voters' home precincts and released with cumulative results,100,10909,>98%,>98% reported,edison,10,unknown,11056,7546,3363,0,0,2020-11-27T22:42:19Z,38.34449,R+38,Latta +38,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39125,Paulding,9189,5587,16,16,Merged into voters' home precincts and released with cumulative results,100,9189,>98%,>98% reported,edison,10,all,4563,7154,2035,4087,1500,2020-11-27T22:05:56Z,55.70791,R+56,Latta +56,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
39137,Putnam,19396,0,25,25,Merged into voters' home precincts AFTER election night,100,19396,>98%,>98% reported,edison,10,unknown,8054,16935,2461,0,0,2020-11-27T22:36:32Z,74.62363,R+75,Latta +75,republican,OH-G-H-5-2020-11-03,oh-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",377978,26181,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,589,589,100% reporting,100%,100,377978,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T22:55:31Z,TRUE,35.9968,136060,R+36,Latta +36,republican,TRUE,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604451701594
