fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
18001,Adams,14209,9142,25,25,Released as a separate subtotal as first report of the night,100,14209,>98%,>98% reported,edison,10,all,,7625,,,10686,3236,287,0,6473,2506,163,0,2020-11-26T17:45:07Z,52.43156,R+52,Trump +52,republican,52.43156,13194,51.9,13011,39.44,indiana,2020-11-28T00:47:33.237463Z
18003,Allen,169082,69982,292,292,Merged into voters' home precincts and released with cumulative results,100,169082,>98%,>98% reported,edison,10,all,,79356,,,92083,73189,3728,82,33991,34832,1159,0,2020-11-26T14:36:52Z,11.17446,R+11,Trump +11,republican,11.17446,148632,19.2,146939,16.73,indiana,2020-11-28T00:47:33.237463Z
18005,Bartholomew,36235,27233,68,68,Merged into voters' home precincts and released with cumulative results,100,36235,>98%,>98% reported,edison,10,all,,15848,,,22410,12934,872,19,15670,11042,521,0,2020-11-26T17:45:25Z,26.15151,R+26,Trump +26,republican,26.15151,32717,33,29326,25.43,indiana,2020-11-28T00:47:33.237463Z
18007,Benton,4114,0,15,15,Merged into voters' home precincts and released with cumulative results,100,4114,>98%,>98% reported,edison,10,all,,1863,,,3007,1009,92,6,0,0,0,0,2020-11-26T14:38:04Z,48.56587,R+49,Trump +49,republican,48.56587,3688,46.6,3578,32.7,indiana,2020-11-28T00:47:33.237463Z
18009,Blackford,5350,0,12,12,Merged into voters' home precincts and released with cumulative results,100,5350,>98%,>98% reported,edison,10,all,,4640,,,3841,1376,131,2,0,0,0,0,2020-11-26T14:38:36Z,46.07477,R+46,Trump +46,republican,46.07477,4881,43.2,4743,16.53,indiana,2020-11-28T00:47:33.237463Z
18011,Boone,38520,27924,53,53,Released as a separate subtotal as first report of the night,100,38520,>98%,>98% reported,edison,10,all,,20573,,,22351,15244,905,20,15975,11378,571,0,2020-11-26T14:39:08Z,18.45016,R+18,Trump +18,republican,18.45016,32537,29.1,27737,37.78,indiana,2020-11-28T00:47:33.237463Z
18013,Brown,8981,0,12,12,Merged into voters' home precincts and released with cumulative results,100,8981,>98%,>98% reported,edison,10,all,,5280,,,5777,3036,168,,0,0,0,,2020-11-24T13:21:52Z,30.51999,R+31,Trump +31,republican,30.51999,8001,31.2,7604,16.73,indiana,2020-11-28T00:47:33.237463Z
18015,Carroll,9495,0,19,19,None,100,9510,>98%,>98% reported,edison,10,all,,3417,,,7086,2224,185,0,0,0,0,0,2020-11-26T14:40:11Z,51.2059,R+51,Trump +51,republican,51.2059,8701,50.4,7810,30.27,indiana,2020-11-28T00:47:33.237463Z
18017,Cass,15198,0,40,40,Released as a separate subtotal as first report of the night,100,15198,>98%,>98% reported,edison,10,all,,4407,,,10552,4304,333,9,0,0,0,0,2020-11-26T17:45:33Z,41.11067,R+41,Trump +41,republican,41.11067,14209,41.8,14161,21.69,indiana,2020-11-28T00:47:33.237463Z
18019,Clark,57869,28446,72,72,None,100,57869,>98%,>98% reported,edison,10,all,,16556,,,33668,23093,1108,0,13524,14463,459,0,2020-11-26T14:41:13Z,18.27403,R+18,Trump +18,republican,18.27403,51789,21.7,47146,9.85,indiana,2020-11-28T00:47:33.237463Z
18021,Clay,12267,6576,24,24,Released as a separate subtotal as first report of the night,100,12267,>98%,>98% reported,edison,10,all,,6617,,,9499,2552,208,8,4745,1741,90,0,2020-11-26T17:45:39Z,56.63161,R+57,Trump +57,republican,56.63161,11335,54.9,10784,33.72,indiana,2020-11-28T00:47:33.237463Z
18023,Clinton,12949,0,39,39,Merged into voters' home precincts and released with cumulative results,100,12949,>98%,>98% reported,edison,10,all,,5508,,,9334,3361,246,8,0,0,0,0,2020-11-26T17:45:46Z,46.12711,R+46,Trump +46,republican,46.12711,11991,47.6,9883,30.66,indiana,2020-11-28T00:47:33.237463Z
18025,Crawford,4944,1733,18,18,Merged into voters' home precincts and released with cumulative results,100,4944,>98%,>98% reported,edison,10,all,,1953,,,3483,1355,106,0,964,731,38,0,2020-11-26T17:43:11Z,43.04207,R+43,Trump +43,republican,43.04207,4642,36.4,4590,8.28,indiana,2020-11-28T00:47:33.237463Z
