fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_kennedya,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53001,Adams,5836,0,31,31,None,100,5784,>98%,>98% reported,edison,8,all,,,,,1814,3907,82,18,10,5,,0,0,0,0,0,0,,2020-11-24T18:10:42Z,35.86361,R+36,Trump +36,republican,35.86361,4782,37.3,4793,34.03,washington,2020-11-28T00:46:52.495806Z
53003,Asotin,11880,0,26,26,None,100,11795,>98%,>98% reported,edison,8,all,,,,,4250,7319,260,36,9,6,,0,0,0,0,0,0,,2020-11-24T18:40:53Z,25.83333,R+26,Trump +26,republican,25.83333,9974,26.1,9901,16.68,washington,2020-11-28T00:46:52.495806Z
53005,Benton,102307,0,245,245,None,100,101965,>98%,>98% reported,edison,8,unknown,,,,,38706,60365,2706,354,119,57,,0,0,0,0,0,0,,2020-11-24T21:30:47Z,21.17059,R+21,Trump +21,republican,21.17059,83592,24.9,79559,26.79,washington,2020-11-28T00:46:52.495806Z
53007,Chelan,43025,0,91,91,None,100,42387,>98%,>98% reported,edison,8,unknown,,,,,19349,22746,709,156,44,21,,0,0,0,0,0,0,,2020-11-24T22:20:55Z,7.89541,R+8,Trump +8,republican,7.89541,34433,14.8,32250,16.4,washington,2020-11-28T00:46:52.495806Z
53009,Clallam,49025,0,67,67,None,100,48881,>98%,>98% reported,edison,8,unknown,,,,,24721,23062,894,241,63,44,,0,0,0,0,0,0,,2020-11-24T23:10:46Z,3.38399,D+3,Biden +3,democrat,-3.38399,40533,2.8,38066,-0.38,washington,2020-11-28T00:46:52.495806Z
53011,Clark,273451,0,314,314,None,100,272978,>98%,>98% reported,edison,8,unknown,,,,,140324,126303,5320,1126,238,140,,0,0,0,0,0,0,,2020-11-24T13:24:28Z,5.12743,D+5,Biden +5,democrat,-5.12743,208485,-0.2,190805,-0.23,washington,2020-11-28T00:46:52.495806Z
53013,Columbia,2482,0,13,13,None,100,2482,>98%,>98% reported,edison,8,unknown,,,,,668,1754,51,5,1,3,,0,0,0,0,0,0,,2020-11-24T13:24:28Z,43.75504,R+44,Trump +44,republican,43.75504,2229,43.6,2259,40.86,washington,2020-11-28T00:46:52.495806Z
53015,Cowlitz,59969,0,78,78,None,100,59805,>98%,>98% reported,edison,8,unknown,,,,,23938,34424,1274,243,45,45,,0,0,0,0,0,0,,2020-11-24T23:00:46Z,17.4857,R+17,Trump +17,republican,17.4857,47142,13.3,44620,-4.44,washington,2020-11-28T00:46:52.495806Z
53017,Douglas,21183,0,47,47,None,100,21110,>98%,>98% reported,edison,8,unknown,,,,,7811,12955,335,57,13,12,,0,0,0,0,0,0,,2020-11-24T23:20:48Z,24.28362,R+24,Trump +24,republican,24.28362,15901,29.5,14942,28.5,washington,2020-11-28T00:46:52.495806Z
53019,Ferry,4351,0,19,19,None,100,4292,>98%,>98% reported,edison,8,some,,,,,1486,2771,76,10,5,3,,0,0,0,0,0,0,,2020-11-24T20:50:48Z,29.53344,R+30,Trump +30,republican,29.53344,3644,30.3,3440,20.38,washington,2020-11-28T00:46:52.495806Z
