fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
56001,Albany,18617,0,14,14,Released as a separate subtotal as first report of the night,100,18617,>98%,>98% reported,edison,10,unknown,,7554,,,8579,9092,595,178,173,0,0,0,0,0,2020-11-24T13:23:15Z,2.75555,D+3,Biden +3,democrat,-2.75555,17060,4.2,16300,2.5,wyoming,2020-11-28T00:48:09.115242Z
56003,Big Horn,5752,0,13,13,Merged into voters' home precincts and released with cumulative results,100,5752,>98%,>98% reported,edison,10,unknown,,1650,,,4806,788,74,46,38,0,0,0,0,0,2020-11-24T13:23:16Z,69.85396,R+70,Trump +70,republican,69.85396,5317,65.1,5324,64.18,wyoming,2020-11-28T00:48:09.115242Z
56005,Campbell,19566,19564,37,37,Merged into voters' home precincts and released with cumulative results,100,19566,>98%,>98% reported,edison,10,unknown,,8522,,,16975,1935,434,120,102,16973,1935,434,120,102,2020-11-24T13:23:17Z,76.86804,R+77,Trump +77,republican,76.86804,18199,79.4,17571,72.79,wyoming,2020-11-28T00:48:09.115242Z
56007,Carbon,6664,2865,19,19,Merged into voters' home precincts and released with cumulative results,100,6664,>98%,>98% reported,edison,10,unknown,,2373,,,5014,1427,142,49,32,1817,970,43,23,12,2020-11-24T13:23:18Z,53.82653,R+54,Trump +54,republican,53.82653,6374,49.1,6509,31.31,wyoming,2020-11-28T00:48:09.115242Z
56009,Converse,6970,0,19,19,Merged into voters' home precincts and released with cumulative results,100,6970,>98%,>98% reported,edison,10,unknown,,2742,,,5917,861,121,43,28,0,0,0,0,0,2020-11-24T13:23:18Z,72.53945,R+73,Trump +73,republican,72.53945,6654,72.9,6343,62.34,wyoming,2020-11-28T00:48:09.115242Z
56011,Crook,4119,0,17,17,Merged into voters' home precincts and released with cumulative results,100,4119,>98%,>98% reported,edison,10,unknown,,1090,,,3651,378,57,19,14,0,0,0,0,0,2020-11-24T13:23:19Z,79.46103,R+79,Trump +79,republican,79.46103,3826,80.4,3685,72.81,wyoming,2020-11-28T00:48:09.115242Z
56013,Fremont,18111,0,33,33,Merged into voters' home precincts and released with cumulative results,100,18111,>98%,>98% reported,edison,10,unknown,,5466,,,12007,5519,321,157,107,0,0,0,0,0,2020-11-24T13:23:20Z,35.82353,R+36,Trump +36,republican,35.82353,17023,40.9,16939,33.9,wyoming,2020-11-28T00:48:09.115242Z
56015,Goshen,6241,0,25,25,Merged into voters' home precincts and released with cumulative results,100,6241,>98%,>98% reported,edison,10,unknown,,1994,,,4878,1203,86,43,31,0,0,0,0,0,2020-11-24T13:23:21Z,58.88479,R+59,Trump +59,republican,58.88479,5796,60.3,5806,46.85,wyoming,2020-11-28T00:48:09.115242Z
56017,Hot Springs,2577,0,4,4,Merged into voters' home precincts and released with cumulative results,100,2577,>98%,>98% reported,edison,10,unknown,,862,,,1999,482,61,24,11,0,0,0,0,0,2020-11-24T13:23:22Z,58.8669,R+59,Trump +59,republican,58.8669,2586,59.5,2515,54.55,wyoming,2020-11-28T00:48:09.115242Z
56019,Johnson,4914,0,16,16,Merged into voters' home precincts and released with cumulative results,100,4914,>98%,>98% reported,edison,10,unknown,,1765,,,3881,897,86,27,23,0,0,0,0,0,2020-11-24T13:23:22Z,60.72446,R+61,Trump +61,republican,60.72446,4417,64.3,4259,61.38,wyoming,2020-11-28T00:48:09.115242Z
