fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_hagedornj,results_feehand,results_roodb,results_absentee_hagedornj,results_absentee_feehand,results_absentee_roodb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
27013,Blue Earth,35309,0,54,54,Merged into voters' home precincts and released with cumulative results,100,35309,>98%,>98% reported,edison,10,unknown,5756,14653,18188,2468,0,0,0,2020-11-26T18:25:32Z,10.01161,D+10,Feehan +10,democrat,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27015,Brown,14479,0,32,32,Merged into voters' home precincts and released with cumulative results,100,14479,>98%,>98% reported,edison,10,unknown,2808,8585,5166,728,0,0,0,2020-11-26T18:26:11Z,23.61351,R+24,Hagedorn +24,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27033,Cottonwood,1951,0,9,9,Merged into voters' home precincts and released with cumulative results,100,1951,>98%,>98% reported,edison,10,all,1245,1344,527,80,0,0,0,2020-11-27T04:33:00Z,41.87596,R+42,Hagedorn +42,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27039,Dodge,11988,0,22,22,Merged into voters' home precincts and released with cumulative results,100,11988,>98%,>98% reported,edison,10,all,1812,6797,4352,839,0,0,0,2020-11-27T03:10:42Z,20.3954,R+20,Hagedorn +20,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27043,Faribault,7847,0,33,33,Merged into voters' home precincts and released with cumulative results,100,7847,>98%,>98% reported,edison,10,all,1508,4601,2811,435,0,0,0,2020-11-27T03:12:16Z,22.81127,R+23,Hagedorn +23,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27045,Fillmore,11948,0,37,37,Merged into voters' home precincts and released with cumulative results,100,11948,>98%,>98% reported,edison,10,all,1887,6294,4959,695,0,0,0,2020-11-27T03:13:34Z,11.17342,R+11,Hagedorn +11,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27047,Freeborn,16521,0,41,41,Merged into voters' home precincts and released with cumulative results,100,16521,>98%,>98% reported,edison,10,all,3864,8381,7111,1029,0,0,0,2020-11-27T03:14:36Z,7.68719,R+8,Hagedorn +8,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27055,Houston,11210,0,27,27,Merged into voters' home precincts and released with cumulative results,100,11210,>98%,>98% reported,edison,10,all,1965,5434,5118,658,0,0,0,2020-11-27T03:18:07Z,2.81891,R+3,Hagedorn +3,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27063,Jackson,5764,0,28,28,Merged into voters' home precincts and released with cumulative results,100,5764,>98%,>98% reported,edison,10,all,917,3522,1930,312,0,0,0,2020-11-27T03:21:19Z,27.61971,R+28,Hagedorn +28,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
27079,Le Sueur,16566,0,26,26,Merged into voters' home precincts and released with cumulative results,100,16566,>98%,>98% reported,edison,10,all,2535,9551,6071,944,0,0,0,2020-11-27T03:27:38Z,21.00688,R+21,Hagedorn +21,republican,MN-G-H-1-2020-11-03,mn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,tossup,1,District 1,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",368572,56234,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,698,100% reporting,100%,100,368572,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-27T04:53:35Z,TRUE,3.07782,11344,R+3,Hagedorn +3,republican,TRUE,7,0,1604617878027
