fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_fischbachm,results_petersonc,results_johnsons,results_andersonr,results_absentee_fischbachm,results_absentee_petersonc,results_absentee_johnsons,results_absentee_andersonr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
27005,Becker,19174,6242,48,48,Merged into voters' home precincts and released with cumulative results,100,19174,>98%,>98% reported,edison,10,all,4508,10342,7692,822,318,2374,3589,194,85,2020-11-26T18:22:23Z,13.8208,R+14,Fischbach +14,republican,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27007,Beltrami,14655,0,39,39,Merged into voters' home precincts and released with cumulative results,100,14655,>98%,>98% reported,edison,10,unknown,4845,5827,6967,1337,524,0,0,0,0,2020-11-26T18:23:19Z,7.77892,D+8,Peterson +8,democrat,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27011,Big Stone,2909,0,23,23,Merged into voters' home precincts and released with cumulative results,100,2909,>98%,>98% reported,edison,10,unknown,612,1456,1261,136,56,0,0,0,0,2020-11-26T18:24:46Z,6.70333,R+7,Fischbach +7,republican,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27023,Chippewa,6555,0,25,25,Merged into voters' home precincts and released with cumulative results,100,6555,>98%,>98% reported,edison,10,all,1308,3169,2889,388,109,0,0,0,0,2020-11-27T03:03:02Z,4.27155,R+4,Fischbach +4,republican,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27027,Clay,31550,0,58,58,Merged into voters' home precincts and released with cumulative results,100,31550,>98%,>98% reported,edison,10,all,6609,11653,17254,1927,716,0,0,0,0,2020-11-27T03:05:04Z,17.75277,D+18,Peterson +18,democrat,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27029,Clearwater,4625,0,29,29,Merged into voters' home precincts and released with cumulative results,100,4625,>98%,>98% reported,edison,10,all,869,2909,1473,182,61,0,0,0,0,2020-11-27T03:05:55Z,31.04865,R+31,Fischbach +31,republican,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27033,Cottonwood,4047,0,20,20,Merged into voters' home precincts and released with cumulative results,100,4047,>98%,>98% reported,edison,10,all,1245,2261,1480,229,77,0,0,0,0,2020-11-27T04:33:00Z,19.29825,R+19,Fischbach +19,republican,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27041,Douglas,23726,0,37,37,Merged into voters' home precincts and released with cumulative results,100,23726,>98%,>98% reported,edison,10,all,5981,13939,8565,865,357,0,0,0,0,2020-11-27T03:11:40Z,22.65026,R+23,Fischbach +23,republican,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27051,Grant,3625,0,23,23,Merged into voters' home precincts and released with cumulative results,100,3625,>98%,>98% reported,edison,10,all,855,1751,1686,145,43,0,0,0,0,2020-11-27T03:15:56Z,1.7931,R+1.8,Fischbach +1.8,republican,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
27067,Kandiyohi,23078,0,48,48,Merged into voters' home precincts and released with cumulative results,100,23078,>98%,>98% reported,edison,10,all,5181,12210,9424,1080,364,0,0,0,0,2020-11-27T03:22:45Z,12.0721,R+12,Fischbach +12,republican,MN-G-H-7-2020-11-03,mn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-minnesota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-minnesota.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,"<a href=""https://www.nytimes.com/2019/11/13/us/impeachment-democrat-minnesota.html"">Collin Peterson</a>, a conservative Democrat who was one of just two party members in the House to vote against the impeachment inquiry into President Trump, has represented his rural Minnesota district for almost 30 years. He is a rare Democratic incumbent running in Trump country and faces a stiff challenge from Michelle Fischbach, a Republican and the state’s former lieutenant governor. ",tossup,TRUE,7,District 7,MN,minnesota,Minnesota,Minn.,vertical,0.9,"",FALSE,TRUE,winner,AP,TRUE,democrat,363114,16831,2,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,1312,1312,100% reporting,100%,100,363114,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-27T04:56:48Z,TRUE,13.55635,49225,R+14,Fischbach +14,republican,TRUE,7,0,1604471873290
