fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_simmonsj,results_pierceb,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_simmonsj,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
40001,Adair,7108,1292,17,17,Released as a separate subtotal as first report of the night,100,7108,>98%,>98% reported,edison,10,unknown,,1456,,,5585,1387,62,37,22,15,863,402,15,7,3,2,2020-11-24T13:22:03Z,59.06021,R+59,Trump +59,republican,59.06021,6513,52.3,6508,34.63,oklahoma,2020-11-29T00:49:41.097Z
40003,Alfalfa,2262,532,8,8,Released as a separate subtotal as first report of the night,100,2262,>98%,>98% reported,edison,10,unknown,,512,,,1978,232,31,9,6,6,431,91,8,0,1,1,2020-11-24T13:22:11Z,77.18833,R+77,Trump +77,republican,77.18833,2258,76,2083,69.08,oklahoma,2020-11-29T00:49:41.097Z
40005,Atoka,5389,1567,17,17,Released as a separate subtotal as first report of the night,100,5389,>98%,>98% reported,edison,10,unknown,,1779,,,4557,765,49,8,4,6,1238,311,14,1,1,2,2020-11-24T13:22:14Z,70.36556,R+70,Trump +70,republican,70.36556,5018,65.5,4781,48,oklahoma,2020-11-29T00:49:41.097Z
40007,Beaver,2178,504,7,7,Released as a separate subtotal as first report of the night,100,2178,>98%,>98% reported,edison,10,unknown,,675,,,1968,190,15,2,1,2,423,77,3,0,0,1,2020-11-24T13:22:17Z,81.63453,R+82,Trump +82,republican,81.63453,2243,81,2306,78.84,oklahoma,2020-11-29T00:49:41.097Z
40009,Beckham,7948,2191,13,13,Released as a separate subtotal as first report of the night,100,7948,>98%,>98% reported,edison,10,unknown,,1622,,,6767,1048,100,17,8,8,1755,403,24,3,2,4,2020-11-24T13:22:22Z,71.95521,R+72,Trump +72,republican,71.95521,7552,70.8,6925,59.08,oklahoma,2020-11-29T00:49:41.097Z
40011,Blaine,3901,822,9,9,Released as a separate subtotal as first report of the night,100,3901,>98%,>98% reported,edison,10,unknown,,846,,,3136,688,44,18,8,7,620,188,7,2,4,1,2020-11-24T13:22:25Z,62.75314,R+63,Trump +63,republican,62.75314,3793,57.3,3816,48.01,oklahoma,2020-11-29T00:49:41.097Z
40013,Bryan,15976,3509,22,22,Released as a separate subtotal as first report of the night,100,15976,>98%,>98% reported,edison,10,unknown,,2874,,,12344,3323,230,35,25,19,2228,1229,38,3,6,5,2020-11-24T13:22:29Z,56.46595,R+56,Trump +56,republican,56.46595,13818,55.5,13201,44.23,oklahoma,2020-11-29T00:49:41.097Z
40015,Caddo,9859,1533,20,20,Released as a separate subtotal as first report of the night,100,9859,>98%,>98% reported,edison,10,unknown,,1565,,,7013,2670,97,42,18,19,867,646,12,1,6,1,2020-11-24T13:22:33Z,44.05112,R+44,Trump +44,republican,44.05112,9348,43.5,8851,28.51,oklahoma,2020-11-29T00:49:41.097Z
40017,Canadian,61940,15988,50,50,Released as a separate subtotal as first report of the night,100,61940,>98%,>98% reported,edison,10,unknown,,10027,,,43550,16742,1168,235,145,100,8434,7183,255,46,41,29,2020-11-24T13:22:36Z,43.28059,R+43,Trump +43,republican,43.28059,55278,51.2,46162,54.35,oklahoma,2020-11-29T00:49:41.097Z
40019,Carter,19479,4268,25,25,Released as a separate subtotal as first report of the night,100,19479,>98%,>98% reported,edison,10,unknown,,3955,,,14699,4470,196,66,24,24,2573,1654,26,10,4,1,2020-11-24T13:22:40Z,52.51296,R+53,Trump +53,republican,52.51296,18534,52.6,17122,42.67,oklahoma,2020-11-29T00:49:41.097Z
40021,Cherokee,17714,4735,24,24,Released as a separate subtotal as first report of the night,100,17714,>98%,>98% reported,edison,10,unknown,,5304,,,11223,6027,320,67,51,26,2311,2330,69,9,12,4,2020-11-24T13:22:43Z,29.33273,R+29,Trump +29,republican,29.33273,16490,27.5,14306,14.11,oklahoma,2020-11-29T00:49:41.097Z
40023,Choctaw,5832,1752,17,17,Released as a separate subtotal as first report of the night,100,5832,>98%,>98% reported,edison,10,unknown,,1486,,,4698,1082,34,9,6,3,1342,398,9,1,2,0,2020-11-24T13:22:45Z,62.00274,R+62,Trump +62,republican,62.00274,5426,57.9,5066,41.02,oklahoma,2020-11-29T00:49:41.097Z
40025,Cimarron,1054,407,6,6,Released as a separate subtotal as first report of the night,100,1054,>98%,>98% reported,edison,10,unknown,,672,,,970,70,10,1,2,1,374,24,7,0,1,1,2020-11-24T13:22:50Z,85.38899,R+85,Trump +85,republican,85.38899,1079,82.7,1197,80.79,oklahoma,2020-11-29T00:49:41.097Z
40027,Cleveland,119778,47141,84,84,Released as a separate subtotal as first report of the night,100,119778,>98%,>98% reported,edison,10,unknown,,18829,,,66677,49827,2278,477,309,210,19725,26419,707,110,105,75,2020-11-24T13:22:52Z,14.06769,R+14,Trump +14,republican,14.06769,109450,21.7,93887,25.93,oklahoma,2020-11-29T00:49:41.097Z
40029,Coal,2524,796,9,9,Released as a separate subtotal as first report of the night,100,2524,>98%,>98% reported,edison,10,unknown,,818,,,2091,374,34,12,9,4,640,134,13,1,5,3,2020-11-24T13:22:54Z,68.02694,R+68,Trump +68,republican,68.02694,2399,62,2359,44.98,oklahoma,2020-11-29T00:49:41.097Z
40031,Comanche,35631,10514,39,39,Released as a separate subtotal as first report of the night,100,35631,>98%,>98% reported,edison,10,unknown,,8736,,,20905,13747,699,121,96,63,4516,5766,173,17,25,17,2020-11-24T13:22:58Z,20.08925,R+20,Trump +20,republican,20.08925,32564,23.7,30185,17.04,oklahoma,2020-11-29T00:49:41.097Z
40033,Cotton,2572,799,9,9,Released as a separate subtotal as first report of the night,100,2572,>98%,>98% reported,edison,10,unknown,,760,,,2117,393,34,13,9,6,631,147,11,3,5,2,2020-11-24T13:23:00Z,67.02955,R+67,Trump +67,republican,67.02955,2602,62.6,2453,46.43,oklahoma,2020-11-29T00:49:41.097Z
40035,Craig,6032,1371,12,12,Released as a separate subtotal as first report of the night,100,6032,>98%,>98% reported,edison,10,unknown,,944,,,4686,1217,88,20,10,11,910,443,12,3,3,0,2020-11-24T13:23:01Z,57.50995,R+58,Trump +58,republican,57.50995,5785,52.4,5306,34.15,oklahoma,2020-11-29T00:49:41.097Z
